Title:               Average Hourly Earnings of All Employees: Professional and Business Services in North Carolina
Series ID:           SMU37000006000000003SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE       VALUE
2007-01-01  23.7
2007-02-01  24.3
2007-03-01  23.9
2007-04-01  24.6
2007-05-01  24.2
2007-06-01  24.2
2007-07-01  24.8
2007-08-01  24.5
2007-09-01  24.7
2007-10-01  24.3
2007-11-01  24.6
2007-12-01  24.5
2008-01-01  24.4
2008-02-01  23.6
2008-03-01  23.9
2008-04-01  23.9
2008-05-01    24
2008-06-01  24.3
2008-07-01  24.0
2008-08-01  24.3
2008-09-01  24.2
2008-10-01  25.7
2008-11-01  26.9
2008-12-01  26.3
2009-01-01  25.9
2009-02-01  26.1
2009-03-01  26.5
2009-04-01  26.7
2009-05-01  26.8
2009-06-01  27.1
2009-07-01  27.2
2009-08-01  27.3
2009-09-01    27
2009-10-01    27
2009-11-01  27.5
2009-12-01  27.2
2010-01-01  28.4
2010-02-01  28.5
2010-03-01  28.5
2010-04-01    28
2010-05-01  27.9
2010-06-01  27.0
2010-07-01  27.1
2010-08-01  27.3
2010-09-01  27.1
2010-10-01  27.1
2010-11-01  26.6
2010-12-01  26.4
2011-01-01  27.1
2011-02-01  26.5
2011-03-01  26.3
2011-04-01    26
2011-05-01  26.7
2011-06-01  26.2
2011-07-01  26.7
2011-08-01  26.6
2011-09-01  26.5
2011-10-01  27.0
2011-11-01  26.5
2011-12-01  26.3
2012-01-01  26.2
2012-02-01  26.3
2012-03-01  26.2
2012-04-01  26.8
2012-05-01  26.5
2012-06-01  26.7
2012-07-01    27
2012-08-01  26.6
2012-09-01  26.7
2012-10-01  26.1
2012-11-01  26.2
2012-12-01  26.6
2013-01-01  26.0
2013-02-01  25.9
2013-03-01  26.0
2013-04-01  25.7
2013-05-01  25.6
2013-06-01  26.0
2013-07-01  25.6
2013-08-01  25.7
2013-09-01  25.7
2013-10-01  25.6
2013-11-01  25.6
2013-12-01  26.0
2014-01-01  25.5
2014-02-01  26.8
2014-03-01  26.9
2014-04-01  26.3
2014-05-01  26.1
2014-06-01  26.4
2014-07-01  26.1
2014-08-01  26.2
2014-09-01  26.2
2014-10-01  26.4
2014-11-01  26.8
2014-12-01  26.4
2015-01-01  26.3
2015-02-01  26.7
2015-03-01  26.1
2015-04-01  26.2
2015-05-01  26.6
2015-06-01  26.3
2015-07-01  26.9
2015-08-01  27.6
2015-09-01  27.0
2015-10-01  26.8
2015-11-01  27.5
2015-12-01  27.3
2016-01-01  27.5
2016-02-01  27.6
2016-03-01  28.3
2016-04-01  28.3
2016-05-01  28.7
2016-06-01  28.6
2016-07-01  28.5
2016-08-01  28.7
2016-09-01  28.8
2016-10-01  29.0
2016-11-01  28.6
2016-12-01  28.5
2017-01-01  28.9
2017-02-01  28.6
2017-03-01  28.7
2017-04-01  29.0
2017-05-01  28.4
2017-06-01  28.4
2017-07-01  28.8
2017-08-01  28.2
2017-09-01  28.3
2017-10-01  29.0
2017-11-01  28.5
2017-12-01  28.9
2018-01-01  29.0
2018-02-01  29.2
2018-03-01  29.1
2018-04-01  29.5
2018-05-01  29.5
2018-06-01  29.8
2018-07-01  30.1
2018-08-01  30.3
2018-09-01  31.2
2018-10-01  30.7
