Title:               All Employees: Professional, Scientific, and Technical Services in North Carolina
Series ID:           SMU37000006054000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE        VALUE
1990-01-01   87.1
1990-02-01   89.4
1990-03-01   89.8
1990-04-01   90.5
1990-05-01   88.3
1990-06-01   88.6
1990-07-01   88.5
1990-08-01   89.1
1990-09-01   88.0
1990-10-01   88.5
1990-11-01   88.8
1990-12-01   88.4
1991-01-01   87.9
1991-02-01   89.5
1991-03-01   89.3
1991-04-01   89.6
1991-05-01   87.9
1991-06-01   87.4
1991-07-01   86.0
1991-08-01   86.7
1991-09-01   86.1
1991-10-01   87.7
1991-11-01   87.5
1991-12-01   87.9
1992-01-01   91.1
1992-02-01   92.9
1992-03-01   92.5
1992-04-01   93.1
1992-05-01   91.0
1992-06-01   92.2
1992-07-01   92.2
1992-08-01   92.4
1992-09-01   92.3
1992-10-01   93.0
1992-11-01   92.7
1992-12-01   93.7
1993-01-01   95.8
1993-02-01   98.1
1993-03-01   97.6
1993-04-01   97.8
1993-05-01   95.2
1993-06-01   94.9
1993-07-01   95.3
1993-08-01   94.6
1993-09-01   95.0
1993-10-01   95.3
1993-11-01   96.4
1993-12-01   96.7
1994-01-01   97.3
1994-02-01   99.5
1994-03-01   98.7
1994-04-01  100.3
1994-05-01   96.5
1994-06-01   97.8
1994-07-01   98.0
1994-08-01   98.4
1994-09-01   99.0
1994-10-01   99.3
1994-11-01   99.6
1994-12-01  100.6
1995-01-01  102.2
1995-02-01  105.3
1995-03-01  104.7
1995-04-01  104.3
1995-05-01  102.2
1995-06-01  102.6
1995-07-01  102.1
1995-08-01  102.7
1995-09-01  103.2
1995-10-01  103.9
1995-11-01  104.2
1995-12-01  106.1
1996-01-01  107.3
1996-02-01  110.6
1996-03-01  110.9
1996-04-01  111.8
1996-05-01  110.4
1996-06-01  110.6
1996-07-01  110.3
1996-08-01  111.9
1996-09-01  111.6
1996-10-01  112.7
1996-11-01  113.4
1996-12-01  114.8
1997-01-01  116.9
1997-02-01  119.8
1997-03-01  119.6
1997-04-01  119.5
1997-05-01  117.7
1997-06-01  119.3
1997-07-01  119.4
1997-08-01  120.1
1997-09-01  120.7
1997-10-01  120.9
1997-11-01  122.3
1997-12-01  124.7
1998-01-01  124.6
1998-02-01  127.2
1998-03-01  126.9
1998-04-01  127.9
1998-05-01  126.1
1998-06-01  128.2
1998-07-01  128.7
1998-08-01  129.7
1998-09-01  129.7
1998-10-01  130.8
1998-11-01  131.8
1998-12-01  134.1
1999-01-01  135.9
1999-02-01  138.5
1999-03-01  138.1
1999-04-01  141.0
1999-05-01  138.4
1999-06-01  140.1
1999-07-01  137.9
1999-08-01  138.0
1999-09-01  137.4
1999-10-01  139.4
1999-11-01  140.0
1999-12-01  141.8
2000-01-01  142.1
2000-02-01  144.2
2000-03-01  144.7
2000-04-01  145.7
2000-05-01  142.4
2000-06-01  144.4
2000-07-01  144.2
2000-08-01  144.8
2000-09-01  144.7
2000-10-01  145.3
2000-11-01  146.0
2000-12-01  146.6
2001-01-01  147.4
2001-02-01  152.4
2001-03-01  152.2
2001-04-01  151.6
2001-05-01  149.2
2001-06-01  148.4
2001-07-01  145.8
2001-08-01  145.3
2001-09-01  143.5
2001-10-01  144.1
2001-11-01  143.2
2001-12-01  145.2
2002-01-01  146.4
2002-02-01  147.3
2002-03-01  146.8
2002-04-01  148.1
2002-05-01  144.5
2002-06-01  144.6
2002-07-01  144.4
2002-08-01  144.4
2002-09-01  144.0
2002-10-01  144.3
2002-11-01  144.9
2002-12-01  146.6
2003-01-01  146.8
2003-02-01  148.0
2003-03-01  147.1
2003-04-01  147.1
2003-05-01  144.6
2003-06-01  144.7
2003-07-01  142.0
2003-08-01  142.4
2003-09-01  142.2
2003-10-01  144.0
2003-11-01  145.2
2003-12-01  147.3
2004-01-01  149.4
2004-02-01  151.6
2004-03-01  150.7
2004-04-01  150.2
2004-05-01  146.4
2004-06-01  146.9
2004-07-01  147.8
2004-08-01  148.6
2004-09-01  147.7
2004-10-01  149.6
2004-11-01  151.2
2004-12-01  153.2
2005-01-01  156.0
2005-02-01  158.1
2005-03-01  157.1
2005-04-01  158.3
2005-05-01  154.1
2005-06-01  153.9
2005-07-01  155.5
2005-08-01  156.2
2005-09-01  156.5
2005-10-01  158.0
2005-11-01  159.5
2005-12-01  161.6
2006-01-01  167.3
2006-02-01  168.9
2006-03-01  168.6
2006-04-01  169.3
2006-05-01  165.9
2006-06-01  167.1
2006-07-01  169.2
2006-08-01  170.3
2006-09-01  170.6
2006-10-01  173.3
2006-11-01  175.5
2006-12-01  177.1
2007-01-01  178.9
2007-02-01  181.7
2007-03-01  181.2
2007-04-01  182.6
2007-05-01  179.8
2007-06-01  180.4
2007-07-01  181.2
2007-08-01  181.8
2007-09-01  180.7
2007-10-01  183.9
2007-11-01  184.8
2007-12-01  187.9
2008-01-01  189.4
2008-02-01  192.0
2008-03-01  190.2
2008-04-01  189.7
2008-05-01  185.9
2008-06-01  185.3
2008-07-01  184.4
2008-08-01  184.8
2008-09-01  183.0
2008-10-01  184.0
2008-11-01  183.1
2008-12-01  184.4
2009-01-01  184.3
2009-02-01  184.6
2009-03-01  181.2
2009-04-01  179.8
2009-05-01  174.3
2009-06-01  172.7
2009-07-01  173.7
2009-08-01  173.1
2009-09-01  172.3
2009-10-01  175.7
2009-11-01  178.2
2009-12-01  179.6
2010-01-01  179.1
2010-02-01  180.6
2010-03-01  179.9
2010-04-01  179.7
2010-05-01  175.0
2010-06-01  174.9
2010-07-01  176.8
2010-08-01  176.5
2010-09-01  175.1
2010-10-01  179.8
2010-11-01  180.9
2010-12-01  183.0
2011-01-01  185.7
2011-02-01  188.3
2011-03-01  187.3
2011-04-01  187.8
2011-05-01  182.7
2011-06-01  182.9
2011-07-01  185.3
2011-08-01  186.1
2011-09-01  185.6
2011-10-01  188.4
2011-11-01  189.9
2011-12-01  191.2
2012-01-01  192.1
2012-02-01  195.4
2012-03-01  193.5
2012-04-01  195.0
2012-05-01  192.0
2012-06-01  191.8
2012-07-01  192.1
2012-08-01  193.5
2012-09-01  192.2
2012-10-01  195.0
2012-11-01  196.6
2012-12-01  197.2
2013-01-01  197.2
2013-02-01  201.1
2013-03-01  200.8
2013-04-01  201.9
2013-05-01  198.0
2013-06-01  197.3
2013-07-01  197.0
2013-08-01  198.8
2013-09-01  197.8
2013-10-01  201.0
2013-11-01  202.4
2013-12-01  203.1
2014-01-01  204.2
2014-02-01  205.9
2014-03-01  205.8
2014-04-01  208.0
2014-05-01  204.2
2014-06-01  205.0
2014-07-01  207.6
2014-08-01  208.5
2014-09-01  207.4
2014-10-01  211.3
2014-11-01  212.7
2014-12-01  214.9
2015-01-01  215.8
2015-02-01  218.9
2015-03-01  217.8
2015-04-01  218.6
2015-05-01  216.3
2015-06-01  216.8
2015-07-01  217.7
2015-08-01  219.5
2015-09-01  218.4
2015-10-01  221.5
2015-11-01  223.0
2015-12-01  224.4
2016-01-01  224.4
2016-02-01  227.4
2016-03-01  227.4
2016-04-01  228.8
2016-05-01  225.6
2016-06-01  226.2
2016-07-01  228.3
2016-08-01  229.2
2016-09-01  228.7
2016-10-01  232.0
2016-11-01  233.1
2016-12-01  233.1
2017-01-01  234.7
2017-02-01  238.4
2017-03-01  237.8
2017-04-01  239.7
2017-05-01  236.6
2017-06-01  238.1
2017-07-01  239.5
2017-08-01  240.3
2017-09-01  238.2
2017-10-01  243.7
2017-11-01  243.7
2017-12-01  243.9
2018-01-01  244.8
2018-02-01  246.7
2018-03-01  244.5
2018-04-01  244.9
2018-05-01  246.5
2018-06-01  247.1
2018-07-01  250.4
2018-08-01  250.4
2018-09-01  250.6
2018-10-01  256.3
