Title:               All Employees: Employment Services in North Carolina
Series ID:           SMU37000006056130001SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
1990-01-01   39.2
1990-02-01   39.3
1990-03-01   39.3
1990-04-01   39.3
1990-05-01   39.9
1990-06-01   39.2
1990-07-01   38.7
1990-08-01   37.7
1990-09-01   36.5
1990-10-01   35.8
1990-11-01   36.1
1990-12-01   36.5
1991-01-01   38.5
1991-02-01   36.1
1991-03-01   36.3
1991-04-01   36.2
1991-05-01   35.7
1991-06-01   36.5
1991-07-01   37.1
1991-08-01     38
1991-09-01   39.4
1991-10-01   39.8
1991-11-01   40.7
1991-12-01   41.3
1992-01-01   44.8
1992-02-01   43.8
1992-03-01   45.8
1992-04-01   44.7
1992-05-01   45.2
1992-06-01   46.3
1992-07-01   48.1
1992-08-01   48.8
1992-09-01   48.8
1992-10-01   52.4
1992-11-01   52.4
1992-12-01   53.5
1993-01-01   54.6
1993-02-01   56.2
1993-03-01   56.9
1993-04-01   59.2
1993-05-01   60.2
1993-06-01   60.5
1993-07-01   60.7
1993-08-01     61
1993-09-01     61
1993-10-01   60.7
1993-11-01   61.3
1993-12-01   62.1
1994-01-01   63.6
1994-02-01     62
1994-03-01   64.9
1994-04-01   68.2
1994-05-01   67.3
1994-06-01   67.6
1994-07-01   67.3
1994-08-01   67.5
1994-09-01   67.3
1994-10-01   68.4
1994-11-01   68.7
1994-12-01   69.2
1995-01-01   69.2
1995-02-01   68.9
1995-03-01   68.7
1995-04-01   67.5
1995-05-01   67.5
1995-06-01   67.7
1995-07-01   67.2
1995-08-01     68
1995-09-01   69.4
1995-10-01   72.3
1995-11-01   71.4
1995-12-01   71.7
1996-01-01   69.5
1996-02-01   73.4
1996-03-01   74.2
1996-04-01   74.9
1996-05-01   75.7
1996-06-01   76.6
1996-07-01   77.8
1996-08-01   78.7
1996-09-01   79.5
1996-10-01   79.9
1996-11-01   80.5
1996-12-01   81.1
1997-01-01   80.7
1997-02-01   81.3
1997-03-01   82.5
1997-04-01   83.9
1997-05-01     84
1997-06-01   83.5
1997-07-01   87.9
1997-08-01   88.7
1997-09-01   91.6
1997-10-01   88.7
1997-11-01   88.7
1997-12-01   89.9
1998-01-01   89.3
1998-02-01   88.6
1998-03-01   87.6
1998-04-01   91.3
1998-05-01   93.4
1998-06-01   94.1
1998-07-01   93.8
1998-08-01   94.3
1998-09-01   94.5
1998-10-01   93.9
1998-11-01   94.4
1998-12-01   94.9
1999-01-01   95.6
1999-02-01   97.9
1999-03-01   97.9
1999-04-01   98.2
1999-05-01   97.8
1999-06-01   97.6
1999-07-01   98.4
1999-08-01   98.9
1999-09-01   99.3
1999-10-01  104.2
1999-11-01  104.3
1999-12-01  104.9
2000-01-01  107.0
2000-02-01  105.9
2000-03-01  105.8
2000-04-01  104.4
2000-05-01  103.1
2000-06-01  102.5
2000-07-01  103.7
2000-08-01  102.8
2000-09-01  102.3
2000-10-01  102.2
2000-11-01  102.2
2000-12-01   99.1
2001-01-01   97.6
2001-02-01   97.8
2001-03-01   96.5
2001-04-01   98.3
2001-05-01   98.3
2001-06-01   98.2
2001-07-01   95.8
2001-08-01   95.8
