Title:               All Employees: Health Care and Social Assistance in North Carolina
Series ID:           SMU37000006562000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE        VALUE
1990-01-01  202.4
1990-02-01  205.0
1990-03-01  206.3
1990-04-01  207.2
1990-05-01  208.2
1990-06-01  210.0
1990-07-01  211.5
1990-08-01  214.1
1990-09-01  214.6
1990-10-01  214.7
1990-11-01  216.2
1990-12-01  217.1
1991-01-01  216.9
1991-02-01  217.9
1991-03-01  218.8
1991-04-01  219.5
1991-05-01  220.7
1991-06-01  222.1
1991-07-01  223.5
1991-08-01  225.5
1991-09-01  227.4
1991-10-01  227.4
1991-11-01  228.7
1991-12-01  229.8
1992-01-01  230.1
1992-02-01  231.4
1992-03-01  233.1
1992-04-01  233.6
1992-05-01  235.8
1992-06-01  238.2
1992-07-01  240.5
1992-08-01  241.8
1992-09-01  242.7
1992-10-01  243.8
1992-11-01  244.7
1992-12-01  246.3
1993-01-01  245.5
1993-02-01  247.2
1993-03-01  248.6
1993-04-01  250.1
1993-05-01  251.0
1993-06-01  252.8
1993-07-01  254.4
1993-08-01  255.3
1993-09-01  256.3
1993-10-01  256.7
1993-11-01  257.3
1993-12-01  258.3
1994-01-01  255.3
1994-02-01  256.4
1994-03-01  258.4
1994-04-01  260.7
1994-05-01  262.0
1994-06-01  264.2
1994-07-01  264.9
1994-08-01  266.3
1994-09-01  267.8
1994-10-01  267.9
1994-11-01  269.5
1994-12-01  270.7
1995-01-01  268.7
1995-02-01  270.5
1995-03-01  272.7
1995-04-01  273.1
1995-05-01  275.4
1995-06-01  278.2
1995-07-01  277.5
1995-08-01  279.0
1995-09-01  280.1
1995-10-01  281.3
1995-11-01  283.0
1995-12-01  284.5
1996-01-01  281.0
1996-02-01  283.0
1996-03-01  286.3
1996-04-01  286.2
1996-05-01  289.2
1996-06-01  290.6
1996-07-01  290.9
1996-08-01  293.1
1996-09-01  292.9
1996-10-01  294.5
1996-11-01  296.6
1996-12-01  298.2
1997-01-01  298.0
1997-02-01  300.2
1997-03-01  302.6
1997-04-01  303.9
1997-05-01  306.5
1997-06-01  308.3
1997-07-01  308.5
1997-08-01  309.7
1997-09-01  311.5
1997-10-01  312.2
1997-11-01  313.4
1997-12-01  314.9
1998-01-01  313.4
1998-02-01  314.1
1998-03-01  315.5
1998-04-01  315.7
1998-05-01  318.0
1998-06-01  318.7
1998-07-01  318.8
1998-08-01  320.8
1998-09-01  320.4
1998-10-01  320.9
1998-11-01  322.5
1998-12-01  323.2
1999-01-01  322.1
1999-02-01  323.8
1999-03-01  324.9
1999-04-01  327.0
1999-05-01  327.7
1999-06-01  329.5
