Title:               Average Weekly Earnings of All Employees: Leisure and Hospitality in North Carolina
Series ID:           SMU37000007000000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2007-01-01  298.8
2007-02-01  293.5
2007-03-01  296.5
2007-04-01  297.0
2007-05-01  318.7
2007-06-01  301.8
2007-07-01  300.5
2007-08-01  294.7
2007-09-01  293.0
2007-10-01  293.9
2007-11-01  288.7
2007-12-01  295.6
2008-01-01  293.2
2008-02-01  298.2
2008-03-01  296.3
2008-04-01  300.9
2008-05-01  284.7
2008-06-01  290.9
2008-07-01  281.2
2008-08-01  294.6
2008-09-01  302.3
2008-10-01  298.8
2008-11-01  304.4
2008-12-01  301.5
2009-01-01  302.3
2009-02-01  314.6
2009-03-01  291.4
2009-04-01  309.5
2009-05-01  306.4
2009-06-01  307.7
2009-07-01  307.9
2009-08-01  309.3
2009-09-01  309.3
2009-10-01  309.8
2009-11-01  309.4
2009-12-01  305.4
2010-01-01  308.8
2010-02-01  306.9
2010-03-01  303.7
2010-04-01  306.4
2010-05-01  308.5
2010-06-01  304.5
2010-07-01  305.2
2010-08-01  308.3
2010-09-01  302.8
2010-10-01  299.4
2010-11-01  299.6
2010-12-01  294.9
2011-01-01  293.1
2011-02-01  297.0
2011-03-01  299.5
2011-04-01  302.2
2011-05-01  306.1
2011-06-01  305.7
2011-07-01  311.2
2011-08-01  313.2
2011-09-01  312.0
2011-10-01  323.0
2011-11-01  317.3
2011-12-01  321.6
2012-01-01  331.1
2012-02-01  324.3
2012-03-01  325.7
2012-04-01  322.0
2012-05-01  325.3
2012-06-01  328.6
2012-07-01  327.2
2012-08-01  323.3
2012-09-01  328.6
2012-10-01  327.3
2012-11-01  326.6
2012-12-01  332.6
2013-01-01  330.3
2013-02-01  332.0
2013-03-01  332.1
2013-04-01  326.5
2013-05-01  324.1
2013-06-01  326.3
2013-07-01  322.4
2013-08-01  319.2
2013-09-01  321.4
2013-10-01  320.3
2013-11-01  320.6
2013-12-01  319.6
2014-01-01  325.5
2014-02-01  307.5
2014-03-01  325.5
2014-04-01  320.2
2014-05-01  316.7
2014-06-01  320.4
2014-07-01  318.7
2014-08-01  324.1
2014-09-01  327.5
2014-10-01  323.6
2014-11-01  325.6
2014-12-01  325.8
2015-01-01  332.4
2015-02-01  322.6
2015-03-01  322.1
2015-04-01  321.0
2015-05-01  321.5
2015-06-01  320.7
2015-07-01  320.0
2015-08-01  325.0
2015-09-01  319.3
2015-10-01  320.5
2015-11-01  322.3
2015-12-01  326.4
2016-01-01  327.1
2016-02-01  326.1
2016-03-01  329.2
2016-04-01  328.5
2016-05-01  330.4
2016-06-01  329.2
2016-07-01  333.8
2016-08-01  333.6
2016-09-01  334.3
2016-10-01  334.5
2016-11-01  337.3
2016-12-01  333.7
2017-01-01  335.0
2017-02-01  333.8
2017-03-01  335.1
2017-04-01  339.8
2017-05-01  339.4
2017-06-01  344.1
2017-07-01  350.0
2017-08-01  345.1
2017-09-01  347.1
2017-10-01  350.7
2017-11-01  355.4
2017-12-01  352.0
2018-01-01  356.2
2018-02-01  363.5
2018-03-01  363.6
2018-04-01  366.0
2018-05-01  370.1
2018-06-01  368.6
2018-07-01  369.0
2018-08-01  370.3
2018-09-01  360.2
2018-10-01  373.3
