Title:               All Employees: Food Services and Drinking Places in North Carolina
Series ID:           SMU37000007072200001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               

DATE        VALUE
1990-01-01  160.1
1990-02-01  162.9
1990-03-01  165.8
1990-04-01  173.2
1990-05-01  176.4
1990-06-01  179.2
1990-07-01  178.4
1990-08-01  180.4
1990-09-01  179.4
1990-10-01  175.2
1990-11-01  173.9
1990-12-01  172.7
1991-01-01  163.5
1991-02-01  163.2
1991-03-01  166.6
1991-04-01  171.5
1991-05-01  177.4
1991-06-01  178.4
1991-07-01  176.7
1991-08-01  177.8
1991-09-01  176.4
1991-10-01  176.3
1991-11-01  174.5
1991-12-01  173.1
1992-01-01  171.4
1992-02-01  172.9
1992-03-01  177.0
1992-04-01  181.2
1992-05-01  187.4
1992-06-01  189.4
1992-07-01  189.1
1992-08-01  191.6
1992-09-01  191.2
1992-10-01  188.9
1992-11-01  188.3
1992-12-01  186.3
1993-01-01  180.4
1993-02-01  183.4
1993-03-01  185.8
1993-04-01  192.5
1993-05-01  196.9
1993-06-01  198.1
1993-07-01  197.3
1993-08-01  199.0
1993-09-01  196.4
1993-10-01  195.8
1993-11-01  195.0
1993-12-01  194.1
1994-01-01  187.8
1994-02-01  188.5
1994-03-01  192.2
1994-04-01  197.3
1994-05-01  201.5
1994-06-01  204.2
1994-07-01  204.7
1994-08-01  206.7
1994-09-01  206.1
1994-10-01  203.8
1994-11-01  203.8
1994-12-01  203.5
1995-01-01  195.9
1995-02-01  198.1
1995-03-01  201.9
1995-04-01  206.6
1995-05-01  212.5
1995-06-01  216.1
1995-07-01  215.2
1995-08-01  216.0
1995-09-01  214.7
1995-10-01  212.9
1995-11-01  213.0
1995-12-01  211.6
1996-01-01  202.2
1996-02-01  204.5
1996-03-01  210.5
1996-04-01  213.9
1996-05-01  220.5
1996-06-01  220.9
1996-07-01  219.2
1996-08-01  221.3
1996-09-01  219.8
1996-10-01  217.8
1996-11-01  216.1
1996-12-01  216.4
1997-01-01  209.2
1997-02-01  211.7
1997-03-01  216.4
1997-04-01  222.0
1997-05-01  228.1
1997-06-01  229.6
1997-07-01  224.6
1997-08-01  227.0
1997-09-01  226.4
1997-10-01  220.5
1997-11-01  221.7
1997-12-01  221.2
1998-01-01  216.6
1998-02-01  218.4
1998-03-01  223.3
1998-04-01  222.0
1998-05-01  226.9
1998-06-01  230.3
1998-07-01  228.9
1998-08-01  231.7
1998-09-01  229.2
1998-10-01  227.9
1998-11-01  228.3
