Title:               All Employees: Food Services and Drinking Places in North Carolina
Series ID:           SMU37000007072200001SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:00 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
1990-01-01  168.7
1990-02-01  169.6
1990-03-01  170.5
1990-04-01  173.5
1990-05-01  172.4
1990-06-01  173.8
1990-07-01  174.4
1990-08-01  175.2
1990-09-01  175.8
1990-10-01  174.2
1990-11-01  174.3
1990-12-01  174.7
1991-01-01  172.1
1991-02-01  169.9
1991-03-01  171.3
1991-04-01  171.7
1991-05-01  173.5
1991-06-01  173.1
1991-07-01  172.8
1991-08-01  172.7
1991-09-01  173.0
1991-10-01  175.3
1991-11-01  174.9
1991-12-01  175.0
1992-01-01  180.3
1992-02-01  180.0
1992-03-01  181.9
1992-04-01  181.4
1992-05-01  183.3
1992-06-01  183.9
1992-07-01  184.9
1992-08-01  186.2
1992-09-01  187.7
1992-10-01  187.8
1992-11-01  188.7
1992-12-01  188.2
1993-01-01  189.6
1993-02-01  191.0
1993-03-01  190.6
1993-04-01  192.8
1993-05-01  192.6
1993-06-01  192.4
1993-07-01  193.0
1993-08-01  193.6
1993-09-01  193.0
1993-10-01  194.8
1993-11-01  195.3
1993-12-01  196.0
1994-01-01  197.2
1994-02-01  196.2
1994-03-01  196.9
1994-04-01  197.6
1994-05-01  197.1
1994-06-01  198.4
1994-07-01  200.3
1994-08-01  201.3
1994-09-01  202.7
1994-10-01  202.9
1994-11-01  204.2
1994-12-01  205.3
1995-01-01  205.5
1995-02-01  206.1
1995-03-01  206.4
1995-04-01  206.8
1995-05-01  207.8
1995-06-01  210.1
1995-07-01  210.8
1995-08-01  210.7
1995-09-01  211.4
1995-10-01  212.3
1995-11-01  213.5
1995-12-01  213.3
1996-01-01  211.9
1996-02-01  212.4
1996-03-01  214.8
1996-04-01  213.9
1996-05-01  215.6
1996-06-01  214.8
1996-07-01  214.9
1996-08-01  216.2
1996-09-01  216.7
1996-10-01  217.4
1996-11-01  216.8
1996-12-01  218.0
1997-01-01  219.0
1997-02-01  219.4
1997-03-01  220.3
1997-04-01  221.8
1997-05-01  223.1
1997-06-01  223.4
1997-07-01  220.5
1997-08-01  222.1
1997-09-01  223.6
1997-10-01  220.2
1997-11-01  222.6
1997-12-01  222.7
1998-01-01  226.5
1998-02-01  226.0
1998-03-01  227.0
1998-04-01  221.5
1998-05-01  222.0
1998-06-01  224.2
1998-07-01  224.9
1998-08-01  226.9
1998-09-01  226.7
1998-10-01  227.8
1998-11-01  229.4
1998-12-01  229.6
1999-01-01  229.8
1999-02-01  231.2
1999-03-01  231.1
1999-04-01  232.2
1999-05-01  231.6
1999-06-01  231.6
1999-07-01  234.5
1999-08-01  233.5
1999-09-01  233.7
1999-10-01  237.0
1999-11-01  237.5
1999-12-01  238.3
2000-01-01  237.2
2000-02-01  236.8
2000-03-01  238.0
2000-04-01  237.6
2000-05-01  238.2
2000-06-01  238.9
2000-07-01  237.5
2000-08-01  237.7
2000-09-01  238.5
2000-10-01  239.4
2000-11-01  239.6
2000-12-01  238.0
2001-01-01  242.5
2001-02-01  243.0
2001-03-01  242.9
2001-04-01  242.0
2001-05-01  241.6
2001-06-01  242.1
2001-07-01  241.2
2001-08-01  241.8
2001-09-01  240.8
2001-10-01  239.9
2001-11-01  240.4
2001-12-01  238.2
2002-01-01  243.5
2002-02-01  244.8
2002-03-01  245.9
2002-04-01  249.1
2002-05-01  249.0
2002-06-01  249.7
2002-07-01  251.0
