Title:               Average Weekly Earnings of All Employees: Other Services in North Carolina
Series ID:           SMU37000008000000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2007-01-01  552.3
2007-02-01  553.6
2007-03-01  558.2
2007-04-01  557.7
2007-05-01  556.2
2007-06-01  557.0
2007-07-01  548.9
2007-08-01  529.4
2007-09-01  531.3
2007-10-01  514.1
2007-11-01  517.5
2007-12-01  529.9
2008-01-01  524.2
2008-02-01  443.3
2008-03-01  483.3
2008-04-01  485.7
2008-05-01  443.9
2008-06-01  467.1
2008-07-01  476.6
2008-08-01  438.5
2008-09-01  470.5
2008-10-01  480.2
2008-11-01  478.1
2008-12-01  475.9
2009-01-01  480.1
2009-02-01  481.0
2009-03-01  480.4
2009-04-01  481.4
2009-05-01  476.4
2009-06-01  466.2
2009-07-01  467.1
2009-08-01  473.2
2009-09-01  471.4
2009-10-01  471.9
2009-11-01  472.8
2009-12-01  478.5
2010-01-01  480.2
2010-02-01  490.5
2010-03-01  482.2
2010-04-01  489.9
2010-05-01  499.8
2010-06-01  506.8
2010-07-01  504.5
2010-08-01  508.5
2010-09-01  492.6
2010-10-01  497.1
2010-11-01  493.7
2010-12-01  491.8
2011-01-01  491.7
2011-02-01  498.4
2011-03-01  497.3
2011-04-01  504.7
2011-05-01  525.1
2011-06-01  507.1
2011-07-01  517.8
2011-08-01  517.3
2011-09-01  526.4
2011-10-01  521.8
2011-11-01  528.0
2011-12-01  529.2
2012-01-01  538.2
2012-02-01  527.1
2012-03-01  533.7
2012-04-01  552.7
2012-05-01  533.4
2012-06-01  533.5
2012-07-01  535.2
2012-08-01  515.0
2012-09-01  536.3
2012-10-01  545.6
2012-11-01  544.1
2012-12-01  562.3
2013-01-01  562.2
2013-02-01  562.3
2013-03-01  560.2
2013-04-01  557.6
2013-05-01  544.8
2013-06-01  565.2
2013-07-01  550.2
2013-08-01  558.9
2013-09-01  573.8
2013-10-01  560.7
2013-11-01  556.9
2013-12-01  553.8
2014-01-01  542.4
2014-02-01  537.3
2014-03-01  550.5
2014-04-01  544.1
2014-05-01  552.2
2014-06-01  556.4
2014-07-01  556.0
2014-08-01  555.0
2014-09-01  557.3
2014-10-01  569.2
2014-11-01  590.9
2014-12-01  558.8
2015-01-01  580.1
2015-02-01  591.6
2015-03-01  595.4
2015-04-01  567.2
2015-05-01  588.5
2015-06-01  581.0
2015-07-01  586.8
2015-08-01  598.5
2015-09-01  585.7
2015-10-01  575.5
2015-11-01  594.6
2015-12-01  579.5
2016-01-01  594.5
2016-02-01  586.7
2016-03-01  590.8
2016-04-01  606.8
2016-05-01  619.2
2016-06-01  618.7
2016-07-01  613.4
2016-08-01  613.0
2016-09-01  616.6
2016-10-01  618.6
2016-11-01  619.3
2016-12-01  625.0
2017-01-01  639.4
2017-02-01  653.4
2017-03-01  655.4
2017-04-01  683.3
2017-05-01  646.4
2017-06-01  653.7
2017-07-01  667.1
2017-08-01  667.5
2017-09-01  669.7
2017-10-01  680.9
2017-11-01  679.9
2017-12-01  693.8
2018-01-01  677.8
2018-02-01  694.3
2018-03-01  701.2
2018-04-01  728.1
2018-05-01  725.9
2018-06-01  733.5
2018-07-01  757.3
2018-08-01  730.6
2018-09-01  812.8
2018-10-01  792.7
