Title:               All Employees: Service-Providing in Asheville, NC (MSA)
Series ID:           SMU37117000700000001SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
1990-01-01   91.5
1990-02-01   91.2
1990-03-01   91.0
1990-04-01   90.5
1990-05-01   90.4
1990-06-01   90.8
1990-07-01   91.0
1990-08-01   91.3
1990-09-01   91.4
1990-10-01   92.0
1990-11-01   91.5
1990-12-01   91.9
1991-01-01   92.0
1991-02-01   92.3
1991-03-01   92.6
1991-04-01   93.3
1991-05-01   93.9
1991-06-01   94.0
1991-07-01   94.4
1991-08-01   94.7
1991-09-01   94.8
1991-10-01   94.9
1991-11-01   95.3
1991-12-01   94.7
1992-01-01   95.2
1992-02-01   95.4
1992-03-01   95.5
1992-04-01   95.7
1992-05-01   95.8
1992-06-01   96.5
1992-07-01   97.6
1992-08-01   97.0
1992-09-01   97.3
1992-10-01   96.8
1992-11-01   96.9
1992-12-01   97.6
1993-01-01   98.5
1993-02-01   99.4
1993-03-01   98.1
1993-04-01   99.0
1993-05-01   99.5
1993-06-01   99.7
1993-07-01  101.2
1993-08-01  100.7
1993-09-01  100.7
1993-10-01  101.5
1993-11-01  101.6
1993-12-01  102.0
1994-01-01  101.0
1994-02-01  102.0
1994-03-01  102.6
1994-04-01  103.2
1994-05-01  103.6
1994-06-01  104.0
1994-07-01  104.3
1994-08-01  104.5
1994-09-01  104.9
1994-10-01  105.0
1994-11-01  105.5
1994-12-01  105.7
1995-01-01  106.3
1995-02-01  105.9
1995-03-01  106.2
1995-04-01  105.6
1995-05-01  105.6
1995-06-01  105.9
1995-07-01  106.9
1995-08-01  107.1
1995-09-01  107.4
1995-10-01  108.0
1995-11-01  108.2
1995-12-01  108.4
1996-01-01  107.6
1996-02-01  108.6
1996-03-01  108.5
1996-04-01  109.1
1996-05-01  109.5
1996-06-01  109.6
1996-07-01  109.6
1996-08-01  109.9
1996-09-01  110.5
1996-10-01  111.3
1996-11-01  112.0
1996-12-01  112.6
1997-01-01  113.2
1997-02-01  113.8
1997-03-01  114.2
1997-04-01  114.8
1997-05-01  115.8
1997-06-01  116.0
1997-07-01  115.8
1997-08-01  116.0
1997-09-01  116.4
1997-10-01  115.4
1997-11-01  116.2
1997-12-01  116.4
1998-01-01  116.5
1998-02-01  116.4
1998-03-01  116.6
1998-04-01  117.2
1998-05-01  117.0
1998-06-01  117.6
1998-07-01  118.0
1998-08-01  118.5
1998-09-01  119.1
1998-10-01  119.2
1998-11-01  119.7
1998-12-01  120.0
1999-01-01  119.1
1999-02-01  120.5
1999-03-01  120.9
1999-04-01  121.6
1999-05-01  121.1
1999-06-01  120.2
1999-07-01  121.0
1999-08-01  120.7
1999-09-01  121.5
1999-10-01  121.7
1999-11-01  122.0
1999-12-01  122.1
2000-01-01  122.4
2000-02-01  122.2
2000-03-01  122.5
2000-04-01  122.1
2000-05-01  122.0
2000-06-01  122.0
2000-07-01  121.3
2000-08-01  122.3
2000-09-01  122.3
2000-10-01  122.3
2000-11-01  122.1
2000-12-01  121.7
2001-01-01  123.5
2001-02-01  122.8
2001-03-01  122.8
2001-04-01  123.1
2001-05-01  123.4
2001-06-01  123.6
2001-07-01  124.0
2001-08-01  124.5
2001-09-01  124.1
2001-10-01  125.2
2001-11-01  125.3
2001-12-01  125.7
2002-01-01  125.6
2002-02-01  126.4
2002-03-01  126.7
2002-04-01  126.8
2002-05-01  128.0
2002-06-01  127.2
2002-07-01  127.1
2002-08-01  127.1
2002-09-01  127.1
2002-10-01  127.5
2002-11-01  127.9
2002-12-01  128.0
2003-01-01  128.0
2003-02-01  128.0
2003-03-01  127.9
2003-04-01  128.4
2003-05-01  128.6
2003-06-01  128.8
2003-07-01  129.4
2003-08-01  129.7
2003-09-01  130.2
2003-10-01  129.9
2003-11-01  129.8
2003-12-01  129.7
2004-01-01  129.2
2004-02-01  129.0
2004-03-01  129.5
2004-04-01  130.2
2004-05-01  130.4
2004-06-01  130.6
2004-07-01  131.1
2004-08-01  131.2
2004-09-01  130.7
2004-10-01  130.6
2004-11-01  131.4
2004-12-01  132.2
2005-01-01  133.1
2005-02-01  133.6
2005-03-01  134.0
2005-04-01  132.8
2005-05-01  132.7
2005-06-01  132.0
2005-07-01  132.9
2005-08-01  134.2
2005-09-01  134.3
2005-10-01  134.3
2005-11-01  134.4
2005-12-01  134.6
2006-01-01  135.6
2006-02-01  135.7
2006-03-01  136.6
2006-04-01  137.3
2006-05-01  137.4
2006-06-01  137.8
2006-07-01  138.3
2006-08-01  138.3
2006-09-01  138.7
2006-10-01  139.8
2006-11-01  140.4
2006-12-01  140.6
2007-01-01  140.6
2007-02-01  141.0
2007-03-01  141.6
2007-04-01  141.3
2007-05-01  142.2
2007-06-01  142.8
2007-07-01  142.7
2007-08-01  142.8
2007-09-01  143.6
2007-10-01  142.9
2007-11-01  142.9
2007-12-01  143.7
2008-01-01  144.2
2008-02-01  145.1
2008-03-01  144.5
2008-04-01  144.4
2008-05-01  144.4
2008-06-01  144.3
2008-07-01  144.3
2008-08-01  144.1
2008-09-01  143.8
2008-10-01  142.9
2008-11-01  142.3
2008-12-01  141.8
2009-01-01  140.8
2009-02-01  140.3
2009-03-01  139.4
