Title:               Average Weekly Earnings of All Employees: Total Private in Burlington, NC (MSA)
Series ID:           SMU37155000500000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE         VALUE
2007-01-01  635.40
2007-02-01  599.62
2007-03-01  596.01
2007-04-01  601.70
2007-05-01  580.80
2007-06-01  581.70
2007-07-01  583.54
2007-08-01  567.22
2007-09-01  592.92
2007-10-01  553.70
2007-11-01  573.13
2007-12-01  578.53
2008-01-01  560.20
2008-02-01  555.71
2008-03-01  560.54
2008-04-01  571.43
2008-05-01  567.30
2008-06-01  582.82
2008-07-01  508.09
2008-08-01  539.76
2008-09-01  542.97
2008-10-01  598.75
2008-11-01  601.35
2008-12-01  588.70
2009-01-01  561.46
2009-02-01  577.06
2009-03-01  572.76
2009-04-01  569.43
2009-05-01  574.24
2009-06-01  590.95
2009-07-01  641.19
2009-08-01  659.64
2009-09-01  645.69
2009-10-01  643.69
2009-11-01  639.62
2009-12-01  639.68
2010-01-01  640.46
2010-02-01  643.22
2010-03-01  637.82
2010-04-01  625.10
2010-05-01  627.63
2010-06-01  649.79
2010-07-01  631.87
2010-08-01  625.43
2010-09-01  624.81
2010-10-01  624.36
2010-11-01  627.99
2010-12-01  628.56
2011-01-01  599.95
2011-02-01  607.60
2011-03-01  604.82
2011-04-01  604.81
2011-05-01  618.80
2011-06-01  624.36
2011-07-01  631.55
2011-08-01  627.98
2011-09-01  641.45
2011-10-01  653.41
2011-11-01  666.11
2011-12-01  681.09
2012-01-01  693.20
2012-02-01  680.04
2012-03-01  698.19
2012-04-01  704.27
2012-05-01  688.76
2012-06-01  683.82
2012-07-01  691.54
2012-08-01  706.38
2012-09-01  730.99
2012-10-01  717.08
2012-11-01  713.41
2012-12-01  741.97
2013-01-01  738.61
2013-02-01  743.91
2013-03-01  740.41
2013-04-01  752.60
2013-05-01  756.16
2013-06-01  774.52
2013-07-01  735.30
2013-08-01  758.68
2013-09-01  776.19
2013-10-01  747.59
2013-11-01  764.20
2013-12-01  792.75
2014-01-01  750.45
2014-02-01  723.14
2014-03-01  773.90
2014-04-01  768.34
2014-05-01  757.12
2014-06-01  776.57
2014-07-01  760.06
2014-08-01  791.91
2014-09-01  787.18
2014-10-01  783.03
2014-11-01  801.09
2014-12-01  784.45
2015-01-01  768.50
2015-02-01  814.13
2015-03-01  804.46
2015-04-01  792.36
2015-05-01  805.39
2015-06-01  799.99
2015-07-01  806.97
2015-08-01  815.35
2015-09-01  786.41
2015-10-01  772.10
2015-11-01  790.46
2015-12-01  779.59
2016-01-01  764.12
2016-02-01  777.58
2016-03-01  764.70
2016-04-01  760.42
2016-05-01  775.38
2016-06-01  782.32
2016-07-01  781.18
2016-08-01  781.20
2016-09-01  776.16
2016-10-01  794.11
2016-11-01  780.40
2016-12-01  767.83
2017-01-01  758.16
2017-02-01  767.96
2017-03-01  785.07
2017-04-01  755.06
2017-05-01  746.18
2017-06-01  737.10
2017-07-01  732.17
2017-08-01  711.26
2017-09-01  718.24
2017-10-01  719.33
2017-11-01  707.70
2017-12-01  710.69
2018-01-01  684.79
2018-02-01  715.33
2018-03-01  695.30
2018-04-01  724.71
2018-05-01  681.60
2018-06-01  686.95
2018-07-01  689.43
2018-08-01  679.20
2018-09-01  686.81
2018-10-01  680.34
