Title:               Average Weekly Earnings of All Employees: Total Private in Burlington, NC (MSA)
Series ID:           SMU37155000500000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2007-01-01  635.6
2007-02-01  605.7
2007-03-01  603.2
2007-04-01  606.3
2007-05-01  590.3
2007-06-01  575.0
2007-07-01  575.5
2007-08-01  574.1
2007-09-01  593.8
2007-10-01  554.2
2007-11-01  564.3
2007-12-01  566.0
2008-01-01  561.1
2008-02-01  561.1
2008-03-01  567.4
2008-04-01  576.9
2008-05-01  576.2
2008-06-01  576.1
2008-07-01  500.7
2008-08-01  546.3
2008-09-01  543.9
2008-10-01  599.0
2008-11-01  592.8
2008-12-01  576.3
2009-01-01  563.5
2009-02-01  581.3
2009-03-01  578.4
2009-04-01  575.9
2009-05-01  582.7
2009-06-01  583.7
2009-07-01  635.8
2009-08-01  665.9
2009-09-01  645.5
2009-10-01  643.3
2009-11-01  631.7
2009-12-01  628.1
2010-01-01  643.6
2010-02-01  646.2
2010-03-01  642.5
2010-04-01  632.2
2010-05-01  635.6
2010-06-01  642.2
2010-07-01  629.0
2010-08-01  630.9
2010-09-01  621.8
2010-10-01  624.5
2010-11-01  621.6
2010-12-01  619.1
2011-01-01  603.5
2011-02-01  609.6
2011-03-01  607.6
2011-04-01  611.0
2011-05-01  626.3
2011-06-01  616.2
2011-07-01  633.1
2011-08-01  631.5
2011-09-01  635.9
2011-10-01  654.9
2011-11-01  660.2
2011-12-01  674.0
2012-01-01  697.6
2012-02-01  681.1
2012-03-01  699.7
2012-04-01  709.2
2012-05-01  694.8
2012-06-01  676.4
2012-07-01  695.5
2012-08-01  707.3
2012-09-01  724.2
2012-10-01  721.1
2012-11-01  707.6
2012-12-01  737.6
2013-01-01  743.9
2013-02-01  744.2
2013-03-01  740.4
2013-04-01  756.0
2013-05-01  760.5
2013-06-01  767.8
2013-07-01  740.8
2013-08-01  757.2
2013-09-01  770.0
2013-10-01  753.3
2013-11-01  757.6
2013-12-01  790.5
2014-01-01  757.6
2014-02-01  721.5
2014-03-01  773.6
2014-04-01  771.5
2014-05-01  759.7
2014-06-01  770.9
2014-07-01  763.9
2014-08-01  789.6
2014-09-01  782.2
2014-10-01  789.1
2014-11-01  794.8
2014-12-01  784.1
2015-01-01  777.7
2015-02-01  809.9
2015-03-01  803.6
2015-04-01  795.5
2015-05-01  807.5
2015-06-01  795.2
2015-07-01  808.7
2015-08-01  813.1
2015-09-01  783.2
2015-10-01  776.8
2015-11-01  784.7
2015-12-01  780.3
2016-01-01  775.0
2016-02-01  771.3
2016-03-01  763.9
2016-04-01  763.5
2016-05-01  776.4
2016-06-01  779.1
2016-07-01  780.0
2016-08-01  780.6
2016-09-01  775.0
2016-10-01  797.1
2016-11-01  775.8
2016-12-01  768.2
2017-01-01  769.4
2017-02-01  760.6
2017-03-01  784.3
2017-04-01  757.5
2017-05-01  747.0
2017-06-01  735.1
2017-07-01  729.6
2017-08-01  712.5
2017-09-01  718.1
2017-10-01  720.5
2017-11-01  704.3
2017-12-01  710.5
2018-01-01  695.3
2018-02-01  707.9
2018-03-01  694.9
2018-04-01  726.1
2018-05-01  682.2
2018-06-01  685.6
2018-07-01  686.6
2018-08-01  682.5
2018-09-01  686.6
2018-10-01  680.3
