Title:               Average Hourly Earnings of All Employees: Total Private in Durham-Chapel Hill, NC (MSA)
Series ID:           SMU37205000500000003
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 3:59 PM CST
Notes:               

DATE        VALUE
2007-01-01  19.92
2007-02-01  20.84
2007-03-01  22.41
2007-04-01  19.86
2007-05-01  19.68
2007-06-01  19.48
2007-07-01  19.98
2007-08-01  20.09
2007-09-01  20.50
2007-10-01  20.18
2007-11-01  19.91
2007-12-01  20.55
2008-01-01  20.64
2008-02-01  20.88
2008-03-01  21.47
2008-04-01  21.99
2008-05-01  22.90
2008-06-01  22.78
2008-07-01  24.43
2008-08-01  22.24
2008-09-01  21.43
2008-10-01  22.55
2008-11-01  23.58
2008-12-01  23.03
2009-01-01  22.86
2009-02-01  23.30
2009-03-01  23.94
2009-04-01  23.10
2009-05-01  22.37
2009-06-01  22.83
2009-07-01  23.00
2009-08-01  23.14
2009-09-01  23.20
2009-10-01  23.05
2009-11-01  22.77
2009-12-01  23.03
2010-01-01  23.11
2010-02-01  23.03
2010-03-01  23.29
2010-04-01  23.48
2010-05-01  23.95
2010-06-01  23.82
2010-07-01  24.13
2010-08-01  24.54
2010-09-01  24.32
2010-10-01  24.18
2010-11-01  24.34
2010-12-01  24.65
2011-01-01  24.74
2011-02-01  24.74
2011-03-01  24.51
2011-04-01  24.55
2011-05-01  25.39
2011-06-01  25.10
2011-07-01  25.76
2011-08-01  25.84
2011-09-01  26.12
2011-10-01  26.28
2011-11-01  26.01
2011-12-01  26.48
2012-01-01  26.51
2012-02-01  26.95
2012-03-01  26.73
2012-04-01  27.37
2012-05-01  26.61
2012-06-01  26.59
2012-07-01  26.80
2012-08-01  26.53
2012-09-01  27.11
2012-10-01  26.42
2012-11-01  26.66
2012-12-01  27.75
2013-01-01  27.02
2013-02-01  27.40
2013-03-01  26.98
2013-04-01  27.14
2013-05-01  26.38
2013-06-01  27.06
2013-07-01  26.42
2013-08-01  26.64
2013-09-01  26.90
2013-10-01  26.42
2013-11-01  26.62
2013-12-01  27.31
2014-01-01  26.51
2014-02-01  28.10
2014-03-01  27.94
2014-04-01  27.10
2014-05-01  26.88
2014-06-01  27.32
2014-07-01  27.06
2014-08-01  27.02
2014-09-01  28.97
2014-10-01  28.51
2014-11-01  28.82
2014-12-01  27.78
2015-01-01  27.70
2015-02-01  28.13
2015-03-01  29.13
2015-04-01  28.72
2015-05-01  28.76
2015-06-01  28.23
2015-07-01  28.05
2015-08-01  28.38
2015-09-01  27.95
2015-10-01  28.03
2015-11-01  28.21
2015-12-01  27.48
2016-01-01  28.06
2016-02-01  27.97
2016-03-01  27.59
2016-04-01  27.67
2016-05-01  27.90
2016-06-01  27.55
2016-07-01  27.59
2016-08-01  28.12
2016-09-01  27.77
2016-10-01  28.23
2016-11-01  28.55
2016-12-01  27.67
2017-01-01  28.32
2017-02-01  28.01
2017-03-01  28.47
2017-04-01  28.64
2017-05-01  27.90
2017-06-01  26.91
2017-07-01  27.21
2017-08-01  26.83
2017-09-01  27.11
2017-10-01  27.02
2017-11-01  26.59
2017-12-01  26.55
2018-01-01  26.59
2018-02-01  27.04
2018-03-01  26.85
2018-04-01  26.98
2018-05-01  26.27
2018-06-01  25.80
2018-07-01  26.44
2018-08-01  27.21
2018-09-01  28.30
2018-10-01  28.56
