Title:               Average Weekly Earnings of All Employees: Total Private in Durham-Chapel Hill, NC (MSA)
Series ID:           SMU37205000500000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 3:59 PM CST
Notes:               

DATE          VALUE
2007-01-01   687.24
2007-02-01   716.90
2007-03-01   773.15
2007-04-01   689.14
2007-05-01   673.06
2007-06-01   674.01
2007-07-01   679.32
2007-08-01   664.98
2007-09-01   686.75
2007-10-01   682.08
2007-11-01   631.15
2007-12-01   667.88
2008-01-01   674.93
2008-02-01   703.66
2008-03-01   723.54
2008-04-01   738.86
2008-05-01   764.86
2008-06-01   797.30
2008-07-01   857.49
2008-08-01   765.06
2008-09-01   743.62
2008-10-01   753.17
2008-11-01   787.57
2008-12-01   762.29
2009-01-01   747.52
2009-02-01   775.89
2009-03-01   778.05
2009-04-01   743.82
2009-05-01   747.16
2009-06-01   748.82
2009-07-01   765.90
2009-08-01   791.39
2009-09-01   763.28
2009-10-01   765.26
2009-11-01   778.73
2009-12-01   766.90
2010-01-01   767.25
2010-02-01   762.29
2010-03-01   768.57
2010-04-01   784.23
2010-05-01   821.49
2010-06-01   793.21
2010-07-01   798.70
2010-08-01   849.08
2010-09-01   819.58
2010-10-01   822.12
2010-11-01   822.69
2010-12-01   835.64
2011-01-01   846.11
2011-02-01   838.69
2011-03-01   818.63
2011-04-01   822.43
2011-05-01   865.80
2011-06-01   848.38
2011-07-01   868.11
2011-08-01   883.73
2011-09-01   885.47
2011-10-01   917.17
2011-11-01   892.14
2011-12-01   924.15
2012-01-01   925.20
2012-02-01   932.47
2012-03-01   927.53
2012-04-01   960.69
2012-05-01   928.69
2012-06-01   935.97
2012-07-01   951.40
2012-08-01   928.55
2012-09-01   965.12
2012-10-01   916.77
2012-11-01   935.77
2012-12-01   999.00
2013-01-01   945.70
2013-02-01   964.48
2013-03-01   955.09
2013-04-01   955.33
2013-05-01   923.30
2013-06-01   963.34
2013-07-01   924.70
2013-08-01   924.41
2013-09-01   963.02
2013-10-01   922.06
2013-11-01   923.71
2013-12-01   944.93
2014-01-01   901.34
2014-02-01   935.73
2014-03-01   986.28
2014-04-01   937.66
2014-05-01   921.98
2014-06-01   958.93
2014-07-01   941.69
2014-08-01   953.81
2014-09-01  1002.36
2014-10-01   980.74
2014-11-01  1017.35
2014-12-01   952.85
2015-01-01   925.18
2015-02-01   959.23
2015-03-01  1010.81
2015-04-01   964.99
2015-05-01   972.09
2015-06-01   957.00
2015-07-01   950.90
2015-08-01   996.14
2015-09-01   950.30
2015-10-01   955.82
2015-11-01   964.78
2015-12-01   942.56
2016-01-01   954.04
2016-02-01   945.39
2016-03-01   940.82
2016-04-01   946.31
2016-05-01   976.50
2016-06-01   955.99
2016-07-01   960.13
2016-08-01   984.20
2016-09-01   969.17
2016-10-01   985.23
2016-11-01   987.83
2016-12-01   971.22
2017-01-01   991.20
2017-02-01   971.95
2017-03-01   990.76
2017-04-01  1005.26
2017-05-01   973.71
2017-06-01   928.40
2017-07-01   955.07
2017-08-01   931.00
2017-09-01   938.01
2017-10-01   959.21
2017-11-01   909.38
2017-12-01   921.29
2018-01-01   898.74
2018-02-01   932.88
2018-03-01   918.27
2018-04-01   947.00
2018-05-01   911.57
2018-06-01   900.42
2018-07-01   912.18
2018-08-01   925.14
2018-09-01   953.71
2018-10-01   976.75
