Title:               Average Weekly Earnings of All Employees: Total Private in Goldsboro, NC (MSA)
Series ID:           SMU37241400500000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE         VALUE
2007-01-01  527.95
2007-02-01  539.14
2007-03-01  519.83
2007-04-01  573.05
2007-05-01  536.41
2007-06-01  565.49
2007-07-01  564.97
2007-08-01  553.18
2007-09-01  604.99
2007-10-01  567.51
2007-11-01  570.19
2007-12-01  599.76
2008-01-01  515.44
2008-02-01  586.16
2008-03-01  578.67
2008-04-01  563.55
2008-05-01  561.68
2008-06-01  549.66
2008-07-01  545.10
2008-08-01  536.62
2008-09-01  527.06
2008-10-01  522.73
2008-11-01  512.11
2008-12-01  509.36
2009-01-01  509.36
2009-02-01  518.06
2009-03-01  493.99
2009-04-01  504.74
2009-05-01  546.80
2009-06-01  551.31
2009-07-01  518.87
2009-08-01  533.20
2009-09-01  528.16
2009-10-01  509.22
2009-11-01  520.96
2009-12-01  513.12
2010-01-01  510.00
2010-02-01  503.28
2010-03-01  497.95
2010-04-01  525.44
2010-05-01  523.02
2010-06-01  523.39
2010-07-01  537.12
2010-08-01  539.74
2010-09-01  530.87
2010-10-01  526.34
2010-11-01  516.28
2010-12-01  515.23
2011-01-01  509.65
2011-02-01  519.42
2011-03-01  520.52
2011-04-01  530.45
2011-05-01  527.30
2011-06-01  532.23
2011-07-01  539.84
2011-08-01  541.10
2011-09-01  554.90
2011-10-01  571.59
2011-11-01  574.99
2011-12-01  593.48
2012-01-01  589.25
2012-02-01  597.84
2012-03-01  585.53
2012-04-01  603.38
2012-05-01  603.89
2012-06-01  605.92
2012-07-01  596.78
2012-08-01  609.39
2012-09-01  622.73
2012-10-01  620.00
2012-11-01  625.72
2012-12-01  638.25
2013-01-01  627.48
2013-02-01  638.52
2013-03-01  636.15
2013-04-01  655.56
2013-05-01  650.15
2013-06-01  654.42
2013-07-01  644.00
2013-08-01  660.56
2013-09-01  679.95
2013-10-01  685.18
2013-11-01  683.78
2013-12-01  689.72
2014-01-01  650.28
2014-02-01  663.45
2014-03-01  657.82
2014-04-01  634.34
2014-05-01  650.85
2014-06-01  652.26
2014-07-01  662.52
2014-08-01  666.36
2014-09-01  675.95
2014-10-01  655.42
2014-11-01  684.80
2014-12-01  664.21
2015-01-01  648.44
2015-02-01  648.54
2015-03-01  654.78
2015-04-01  643.38
2015-05-01  642.51
2015-06-01  639.94
2015-07-01  632.93
2015-08-01  643.26
2015-09-01  657.30
2015-10-01  662.00
2015-11-01  648.28
2015-12-01  656.29
2016-01-01  637.07
2016-02-01  638.58
2016-03-01  658.08
2016-04-01  669.05
2016-05-01  653.77
2016-06-01  670.56
2016-07-01  685.22
2016-08-01  659.12
2016-09-01  692.37
2016-10-01  671.97
2016-11-01  678.86
2016-12-01  658.46
2017-01-01  658.80
2017-02-01  663.04
2017-03-01  670.87
2017-04-01  677.48
2017-05-01  660.30
2017-06-01  672.29
2017-07-01  678.19
2017-08-01  686.34
2017-09-01  751.52
2017-10-01  738.32
2017-11-01  680.31
2017-12-01  697.50
2018-01-01  700.84
2018-02-01  687.00
2018-03-01  689.68
2018-04-01  689.69
2018-05-01  683.74
2018-06-01  685.98
2018-07-01  702.67
2018-08-01  705.73
2018-09-01  651.02
2018-10-01  715.90
