Title:               All Employees: Total Private in Greensboro-High Point, NC (MSA)
Series ID:           SMU37246600500000001SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 3:59 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
1990-01-01  278.6
1990-02-01  279.6
1990-03-01  279.9
1990-04-01  278.8
1990-05-01  278.5
1990-06-01  278.8
1990-07-01  277.9
1990-08-01  278.3
1990-09-01  278.4
1990-10-01  276.0
1990-11-01  275.5
1990-12-01  274.3
1991-01-01  274.3
1991-02-01  273.3
1991-03-01  272.3
1991-04-01  272.1
1991-05-01  272.3
1991-06-01  271.9
1991-07-01  271.7
1991-08-01  272.1
1991-09-01  271.9
1991-10-01  272.3
1991-11-01  272.2
1991-12-01  272.7
1992-01-01  272.6
1992-02-01  272.8
1992-03-01  273.1
1992-04-01  273.5
1992-05-01  273.7
1992-06-01  274.0
1992-07-01  274.9
1992-08-01  273.9
1992-09-01  275.5
1992-10-01  276.9
1992-11-01  277.4
1992-12-01  278.2
1993-01-01  278.3
1993-02-01  279.2
1993-03-01  279.5
1993-04-01  280.7
1993-05-01  281.5
1993-06-01  282.4
1993-07-01  284.8
1993-08-01  284.9
1993-09-01  285.7
1993-10-01  287.0
1993-11-01  287.6
1993-12-01  288.5
1994-01-01  289.4
1994-02-01  290.1
1994-03-01  291.0
1994-04-01  292.2
1994-05-01  292.9
1994-06-01  293.8
1994-07-01  294.5
1994-08-01  294.9
1994-09-01  296.7
1994-10-01  296.3
1994-11-01  297.4
1994-12-01  298.3
1995-01-01  300.5
1995-02-01  301.6
1995-03-01  302.8
1995-04-01  304.5
1995-05-01  304.1
1995-06-01  305.1
1995-07-01  304.9
1995-08-01  306.4
1995-09-01  307.1
1995-10-01  307.0
1995-11-01  308.1
1995-12-01  308.8
1996-01-01  306.9
1996-02-01  309.2
1996-03-01  309.6
1996-04-01  309.2
1996-05-01  311.2
1996-06-01  311.7
1996-07-01  309.7
1996-08-01  310.8
1996-09-01  310.9
1996-10-01  312.8
1996-11-01  313.5
1996-12-01  314.1
1997-01-01  314.4
1997-02-01  314.8
1997-03-01  315.8
1997-04-01  314.5
1997-05-01  315.8
1997-06-01  316.2
1997-07-01  317.1
1997-08-01  317.2
1997-09-01  318.7
1997-10-01  317.9
1997-11-01  317.9
1997-12-01  318.7
1998-01-01  319.6
1998-02-01  319.6
1998-03-01  319.7
1998-04-01  321.1
1998-05-01  321.8
1998-06-01  322.9
1998-07-01  323.6
1998-08-01  324.5
1998-09-01  324.4
1998-10-01  325.7
1998-11-01  326.1
1998-12-01  326.5
1999-01-01  325.1
1999-02-01  326.3
1999-03-01  326.9
1999-04-01  328.2
1999-05-01  327.0
1999-06-01  326.9
1999-07-01  328.6
1999-08-01  329.1
1999-09-01  329.5
1999-10-01  332.6
1999-11-01  331.8
1999-12-01  332.1
2000-01-01  332.7
2000-02-01  333.3
2000-03-01  334.1
2000-04-01  332.8
2000-05-01  333.1
2000-06-01  332.8
2000-07-01  333.1
2000-08-01  332.9
2000-09-01  333.1
2000-10-01  332.6
2000-11-01  332.3
2000-12-01  331.9
2001-01-01  332.1
2001-02-01  332.1
2001-03-01  329.8
2001-04-01  328.2
2001-05-01  327.2
2001-06-01  326.1
2001-07-01  324.3
2001-08-01  322.9
2001-09-01  321.8
2001-10-01  319.4
2001-11-01  317.9
2001-12-01  317.1
2002-01-01  314.5
2002-02-01  314.2
2002-03-01  313.6
2002-04-01  315.8
2002-05-01  315.8
2002-06-01  316.2
2002-07-01  317.1
2002-08-01  317.4
2002-09-01  316.9
2002-10-01  317.2
2002-11-01  317.3
2002-12-01  317.0
2003-01-01  317.0
2003-02-01  316.0
2003-03-01  315.9
2003-04-01  313.0
2003-05-01  311.1
2003-06-01  310.9
2003-07-01  307.2
2003-08-01  307.1
2003-09-01  307.0
2003-10-01  307.4
2003-11-01  307.1
2003-12-01  306.2
2004-01-01  307.3
2004-02-01  307.3
2004-03-01  308.3
2004-04-01  311.6
2004-05-01  312.5
2004-06-01  313.1
2004-07-01  313.4
