Title:               Average Hourly Earnings of All Employees: Total Private in Hickory-Lenoir-Morganton, NC (MSA)
Series ID:           SMU37258600500000003
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 3:59 PM CST
Notes:               

DATE        VALUE
2007-01-01  16.71
2007-02-01  16.75
2007-03-01  16.99
2007-04-01  17.05
2007-05-01  16.76
2007-06-01  16.52
2007-07-01  16.80
2007-08-01  16.64
2007-09-01  16.76
2007-10-01  16.92
2007-11-01  16.71
2007-12-01  17.02
2008-01-01  17.25
2008-02-01  17.56
2008-03-01  17.31
2008-04-01  17.39
2008-05-01  17.55
2008-06-01  17.46
2008-07-01  17.53
2008-08-01  17.60
2008-09-01  17.30
2008-10-01  17.61
2008-11-01  17.60
2008-12-01  17.90
2009-01-01  18.25
2009-02-01  18.36
2009-03-01  18.40
2009-04-01  18.38
2009-05-01  18.12
2009-06-01  18.05
2009-07-01  18.30
2009-08-01  18.22
2009-09-01  18.32
2009-10-01  18.67
2009-11-01  18.61
2009-12-01  18.37
2010-01-01  18.19
2010-02-01  18.29
2010-03-01  18.35
2010-04-01  18.08
2010-05-01  18.30
2010-06-01  18.03
2010-07-01  17.96
2010-08-01  17.84
2010-09-01  18.18
2010-10-01  18.52
2010-11-01  18.55
2010-12-01  18.70
2011-01-01  18.54
2011-02-01  18.55
2011-03-01  18.61
2011-04-01  18.82
2011-05-01  18.64
2011-06-01  18.29
2011-07-01  18.71
2011-08-01  18.32
2011-09-01  18.79
2011-10-01  18.87
2011-11-01  18.89
2011-12-01  18.96
2012-01-01  19.32
2012-02-01  19.24
2012-03-01  19.28
2012-04-01  19.38
2012-05-01  18.99
2012-06-01  19.05
2012-07-01  19.22
2012-08-01  19.03
2012-09-01  19.04
2012-10-01  19.05
2012-11-01  18.87
2012-12-01  19.15
2013-01-01  19.25
2013-02-01  19.09
2013-03-01  19.25
2013-04-01  19.40
2013-05-01  19.02
2013-06-01  19.21
2013-07-01  19.01
2013-08-01  18.91
2013-09-01  19.26
2013-10-01  19.09
2013-11-01  19.06
2013-12-01  19.34
2014-01-01  19.21
2014-02-01  19.51
2014-03-01  19.57
2014-04-01  19.18
2014-05-01  19.24
2014-06-01  19.37
2014-07-01  19.50
2014-08-01  19.08
2014-09-01  19.54
2014-10-01  19.11
2014-11-01  19.10
2014-12-01  19.15
2015-01-01  19.29
2015-02-01  19.25
2015-03-01  18.78
2015-04-01  19.14
2015-05-01  19.11
2015-06-01  19.10
2015-07-01  19.15
2015-08-01  18.82
2015-09-01  19.17
2015-10-01  19.34
2015-11-01  19.18
2015-12-01  19.57
2016-01-01  19.90
2016-02-01  19.82
2016-03-01  20.05
2016-04-01  19.97
2016-05-01  20.17
2016-06-01  20.26
2016-07-01  20.36
2016-08-01  20.36
2016-09-01  20.48
2016-10-01  20.42
2016-11-01  20.60
2016-12-01  20.74
2017-01-01  21.17
2017-02-01  20.82
2017-03-01  21.04
2017-04-01  21.28
2017-05-01  21.49
2017-06-01  21.04
2017-07-01  21.25
2017-08-01  21.21
2017-09-01  21.54
2017-10-01  21.74
2017-11-01  21.70
2017-12-01  21.46
2018-01-01  21.54
2018-02-01  21.43
2018-03-01  21.56
2018-04-01  20.93
2018-05-01  20.70
2018-06-01  20.70
2018-07-01  21.13
2018-08-01  20.98
2018-09-01  21.31
2018-10-01  21.25
