Title:               Average Weekly Earnings of All Employees: Total Private in Hickory-Lenoir-Morganton, NC (MSA)
Series ID:           SMU37258600500000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE         VALUE
2007-01-01  584.85
2007-02-01  579.55
2007-03-01  586.16
2007-04-01  584.82
2007-05-01  583.25
2007-06-01  588.11
2007-07-01  589.68
2007-08-01  584.06
2007-09-01  601.68
2007-10-01  585.43
2007-11-01  581.51
2007-12-01  590.59
2008-01-01  586.50
2008-02-01  584.75
2008-03-01  571.23
2008-04-01  570.39
2008-05-01  573.89
2008-06-01  595.39
2008-07-01  573.23
2008-08-01  589.60
2008-09-01  570.90
2008-10-01  591.70
2008-11-01  580.80
2008-12-01  596.07
2009-01-01  591.30
2009-02-01  598.54
2009-03-01  596.16
2009-04-01  593.67
2009-05-01  594.34
2009-06-01  599.26
2009-07-01  591.09
2009-08-01  601.26
2009-09-01  600.90
2009-10-01  621.71
2009-11-01  629.02
2009-12-01  615.40
2010-01-01  603.91
2010-02-01  601.74
2010-03-01  611.06
2010-04-01  603.87
2010-05-01  609.39
2010-06-01  602.20
2010-07-01  601.66
2010-08-01  611.91
2010-09-01  630.85
2010-10-01  646.35
2010-11-01  638.12
2010-12-01  645.15
2011-01-01  634.07
2011-02-01  632.56
2011-03-01  647.63
2011-04-01  658.70
2011-05-01  663.58
2011-06-01  647.47
2011-07-01  654.85
2011-08-01  643.03
2011-09-01  642.62
2011-10-01  652.90
2011-11-01  649.82
2011-12-01  661.70
2012-01-01  666.54
2012-02-01  654.16
2012-03-01  665.16
2012-04-01  680.24
2012-05-01  668.45
2012-06-01  680.09
2012-07-01  682.31
2012-08-01  677.47
2012-09-01  700.67
2012-10-01  681.99
2012-11-01  686.87
2012-12-01  691.32
2013-01-01  677.60
2013-02-01  679.60
2013-03-01  689.15
2013-04-01  696.46
2013-05-01  679.01
2013-06-01  691.56
2013-07-01  680.56
2013-08-01  694.00
2013-09-01  704.92
2013-10-01  698.69
2013-11-01  703.31
2013-12-01  715.58
2014-01-01  701.17
2014-02-01  688.70
2014-03-01  743.66
2014-04-01  726.92
2014-05-01  719.58
2014-06-01  728.31
2014-07-01  721.50
2014-08-01  711.68
2014-09-01  730.80
2014-10-01  703.25
2014-11-01  710.52
2014-12-01  708.55
2015-01-01  704.09
2015-02-01  681.45
2015-03-01  683.59
2015-04-01  692.87
2015-05-01  689.87
2015-06-01  691.42
2015-07-01  695.15
2015-08-01  685.05
2015-09-01  684.37
2015-10-01  696.24
2015-11-01  684.73
2015-12-01  702.56
2016-01-01  690.53
2016-02-01  689.74
2016-03-01  695.74
2016-04-01  694.96
2016-05-01  699.90
2016-06-01  709.10
2016-07-01  712.60
2016-08-01  710.56
2016-09-01  714.75
2016-10-01  720.83
2016-11-01  723.06
2016-12-01  734.20
2017-01-01  730.37
2017-02-01  714.13
2017-03-01  725.88
2017-04-01  727.78
2017-05-01  730.66
2017-06-01  730.09
2017-07-01  735.25
2017-08-01  733.87
2017-09-01  749.59
2017-10-01  763.07
2017-11-01  750.82
2017-12-01  744.66
2018-01-01  725.90
2018-02-01  745.76
2018-03-01  743.82
2018-04-01  743.02
2018-05-01  730.71
2018-06-01  745.20
2018-07-01  739.55
2018-08-01  742.69
2018-09-01  758.64
2018-10-01  762.88
