Title:               Average Weekly Earnings of All Employees: Total Private in Jacksonville, NC (MSA)
Series ID:           SMU37273400500000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE         VALUE
2007-01-01  389.30
2007-02-01  386.19
2007-03-01  406.33
2007-04-01  427.91
2007-05-01  406.10
2007-06-01  407.57
2007-07-01  433.95
2007-08-01  436.15
2007-09-01  449.90
2007-10-01  431.66
2007-11-01  451.10
2007-12-01  475.37
2008-01-01  499.69
2008-02-01  541.39
2008-03-01  516.03
2008-04-01  523.36
2008-05-01  535.79
2008-06-01  478.96
2008-07-01  412.60
2008-08-01  402.38
2008-09-01  496.63
2008-10-01  511.87
2008-11-01  486.80
2008-12-01  491.75
2009-01-01  491.75
2009-02-01  477.44
2009-03-01  461.58
2009-04-01  482.89
2009-05-01  485.60
2009-06-01  497.80
2009-07-01  530.74
2009-08-01  532.30
2009-09-01  539.58
2009-10-01  525.64
2009-11-01  546.04
2009-12-01  554.29
2010-01-01  562.10
2010-02-01  560.52
2010-03-01  576.20
2010-04-01  560.17
2010-05-01  577.15
2010-06-01  566.58
2010-07-01  552.57
2010-08-01  573.84
2010-09-01  555.56
2010-10-01  573.10
2010-11-01  571.20
2010-12-01  586.86
2011-01-01  578.95
2011-02-01  587.51
2011-03-01  576.30
2011-04-01  568.98
2011-05-01  579.14
2011-06-01  557.44
2011-07-01  558.83
2011-08-01  552.57
2011-09-01  546.12
2011-10-01  545.38
2011-11-01  543.04
2011-12-01  550.12
2012-01-01  530.42
2012-02-01  548.27
2012-03-01  547.47
2012-04-01  562.99
2012-05-01  562.69
2012-06-01  572.50
2012-07-01  550.40
2012-08-01  564.65
2012-09-01  574.25
2012-10-01  563.84
2012-11-01  578.14
2012-12-01  593.48
2013-01-01  576.88
2013-02-01  586.47
2013-03-01  579.15
2013-04-01  575.55
2013-05-01  582.12
2013-06-01  592.74
2013-07-01  580.94
2013-08-01  602.32
2013-09-01  621.18
2013-10-01  613.05
2013-11-01  599.11
2013-12-01  613.87
2014-01-01  584.64
2014-02-01  570.81
2014-03-01  643.33
2014-04-01  631.93
2014-05-01  610.39
2014-06-01  644.11
2014-07-01  613.86
2014-08-01  630.04
2014-09-01  616.64
2014-10-01  614.72
2014-11-01  602.64
2014-12-01  592.07
2015-01-01  575.25
2015-02-01  583.57
2015-03-01  579.22
2015-04-01  553.80
2015-05-01  556.55
2015-06-01  549.18
2015-07-01  563.80
2015-08-01  556.71
2015-09-01  512.63
2015-10-01  520.93
2015-11-01  522.35
2015-12-01  518.01
2016-01-01  521.77
2016-02-01  511.90
2016-03-01  519.12
2016-04-01  546.14
2016-05-01  522.93
2016-06-01  547.45
2016-07-01  548.90
2016-08-01  566.89
2016-09-01  563.76
2016-10-01  541.16
2016-11-01  571.20
2016-12-01  544.50
2017-01-01  553.87
2017-02-01  544.95
2017-03-01  543.61
2017-04-01  579.26
2017-05-01  573.59
2017-06-01  588.89
2017-07-01  610.74
2017-08-01  574.43
2017-09-01  571.89
2017-10-01  575.59
2017-11-01  562.77
2017-12-01  558.03
2018-01-01  530.80
2018-02-01  556.53
2018-03-01  539.65
2018-04-01  556.16
2018-05-01  574.22
2018-06-01  571.18
2018-07-01  578.49
2018-08-01  567.49
2018-09-01  674.33
2018-10-01  590.20
