Title:               Average Weekly Hours of All Employees: Total Private in New Bern, NC (MSA)
Series ID:           SMU37351000500000002SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Hours per Week
Date Range:          2011-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE       VALUE
2011-01-01  31.8
2011-02-01  31.9
2011-03-01  33.1
2011-04-01  32.9
2011-05-01  33.3
2011-06-01  32.9
2011-07-01  33.5
2011-08-01  33.6
2011-09-01  33.1
2011-10-01  34.0
2011-11-01  32.9
2011-12-01  32.9
2012-01-01  33.4
2012-02-01  34.5
2012-03-01  33.5
2012-04-01  33.4
2012-05-01  33.4
2012-06-01  33.3
2012-07-01  33.5
2012-08-01  33.5
2012-09-01  34.2
2012-10-01  34.3
2012-11-01  34.5
2012-12-01  34.1
2013-01-01  34.2
2013-02-01  33.9
2013-03-01  33.5
2013-04-01  32.5
2013-05-01  33.1
2013-06-01  33.7
2013-07-01  33.3
2013-08-01  32.9
2013-09-01  33.7
2013-10-01  32.4
2013-11-01  32.0
2013-12-01  32.4
2014-01-01  32.4
2014-02-01  30.7
2014-03-01  32.5
2014-04-01  33.0
2014-05-01  33.0
2014-06-01  33.8
2014-07-01  32.6
2014-08-01  33.0
2014-09-01  33.9
2014-10-01  34.0
2014-11-01  34.7
2014-12-01  35.5
2015-01-01  35.0
2015-02-01  35.2
2015-03-01  35.2
2015-04-01  35.0
2015-05-01  35.2
2015-06-01  35.0
2015-07-01  35.3
2015-08-01  35.6
2015-09-01  34.9
2015-10-01  34.8
2015-11-01  35.6
2015-12-01  34.4
2016-01-01  34.3
2016-02-01  34.0
2016-03-01  34.0
2016-04-01  34.4
2016-05-01  34.5
2016-06-01  34.2
2016-07-01  34.1
2016-08-01  34.3
2016-09-01  33.9
2016-10-01  33.5
2016-11-01  34.4
2016-12-01  32.9
2017-01-01  33.0
2017-02-01  33.2
2017-03-01  32.5
2017-04-01  32.9
2017-05-01  32.3
2017-06-01  32.4
2017-07-01  33.4
2017-08-01  32.7
2017-09-01  32.9
2017-10-01  33.7
2017-11-01  33.1
2017-12-01  33.8
2018-01-01  33.5
2018-02-01  33.9
2018-03-01  34.2
2018-04-01  33.5
2018-05-01  33.8
2018-06-01  33.5
2018-07-01  33.1
2018-08-01  33.1
2018-09-01  31.1
2018-10-01  33.6
