Title:               Average Weekly Earnings of All Employees: Total Private in New Bern, NC (MSA)
Series ID:           SMU37351000500000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2011-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2011-01-01  536.7
2011-02-01  543.2
2011-03-01  568.7
2011-04-01  562.4
2011-05-01  577.5
2011-06-01  571.8
2011-07-01  573.8
2011-08-01  584.7
2011-09-01  572.5
2011-10-01  615.4
2011-11-01  581.3
2011-12-01  599.6
2012-01-01  604.9
2012-02-01  608.5
2012-03-01  602.3
2012-04-01  618.7
2012-05-01  610.8
2012-06-01  607.1
2012-07-01  623.3
2012-08-01  613.7
2012-09-01  635.1
2012-10-01  631.4
2012-11-01  634.1
2012-12-01  618.3
2013-01-01  611.7
2013-02-01  592.9
2013-03-01  585.3
2013-04-01  569.6
2013-05-01  572.5
2013-06-01  593.0
2013-07-01  580.6
2013-08-01  581.4
2013-09-01  583.9
2013-10-01  557.6
2013-11-01  541.5
2013-12-01  552.1
2014-01-01  549.8
2014-02-01  535.7
2014-03-01  566.0
2014-04-01  579.9
2014-05-01  577.5
2014-06-01  583.5
2014-07-01  563.5
2014-08-01  591.4
2014-09-01  605.4
2014-10-01  607.4
2014-11-01  632.1
2014-12-01  647.0
2015-01-01  655.2
2015-02-01  670.8
2015-03-01  675.4
2015-04-01  666.2
2015-05-01  677.0
2015-06-01  674.9
2015-07-01  680.0
2015-08-01  702.7
2015-09-01  674.5
2015-10-01  683.0
2015-11-01  694.9
2015-12-01  686.0
2016-01-01  691.1
2016-02-01  692.4
2016-03-01  700.2
2016-04-01  710.7
2016-05-01  720.2
2016-06-01  721.9
2016-07-01  720.9
2016-08-01  718.9
2016-09-01  720.6
2016-10-01  729.8
2016-11-01  734.1
2016-12-01  716.0
2017-01-01  736.2
2017-02-01  736.1
2017-03-01  711.3
2017-04-01  740.0
2017-05-01  704.3
2017-06-01  714.8
2017-07-01  719.7
2017-08-01  711.4
2017-09-01  717.2
2017-10-01  720.0
2017-11-01  697.4
2017-12-01  720.9
2018-01-01  688.1
2018-02-01  692.0
2018-03-01  691.3
2018-04-01  679.2
2018-05-01  683.2
2018-06-01  668.1
2018-07-01  666.8
2018-08-01  675.5
2018-09-01  670.5
2018-10-01  681.1
