Title:               Average Weekly Earnings of All Employees: Total Private in Raleigh, NC (MSA)
Series ID:           SMU37395800500000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 3:59 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2007-01-01  726.4
2007-02-01  740.0
2007-03-01  743.3
2007-04-01  743.5
2007-05-01  734.5
2007-06-01  746.9
2007-07-01  753.3
2007-08-01  745.1
2007-09-01  768.3
2007-10-01  768.0
2007-11-01  778.0
2007-12-01  799.1
2008-01-01  802.6
2008-02-01  801.6
2008-03-01  823.6
2008-04-01  835.0
2008-05-01  840.3
2008-06-01  833.0
2008-07-01  851.7
2008-08-01  849.0
2008-09-01  816.5
2008-10-01  846.7
2008-11-01  881.0
2008-12-01  847.9
2009-01-01  811.4
2009-02-01  837.7
2009-03-01  840.1
2009-04-01  831.1
2009-05-01  828.0
2009-06-01  851.3
2009-07-01  847.9
2009-08-01  868.4
2009-09-01  864.5
2009-10-01  870.4
2009-11-01  880.9
2009-12-01  860.4
2010-01-01  899.5
2010-02-01  907.4
2010-03-01  890.5
2010-04-01  904.9
2010-05-01  927.7
2010-06-01  911.1
2010-07-01  901.2
2010-08-01  921.2
2010-09-01  896.5
2010-10-01  894.4
2010-11-01  880.0
2010-12-01  871.5
2011-01-01  889.7
2011-02-01  886.9
2011-03-01  884.9
2011-04-01  876.8
2011-05-01  894.0
2011-06-01  870.6
2011-07-01  881.0
2011-08-01  861.4
2011-09-01  868.0
2011-10-01  915.2
2011-11-01  876.6
2011-12-01  884.9
2012-01-01  880.6
2012-02-01  868.5
2012-03-01  850.7
2012-04-01  868.9
2012-05-01  847.5
2012-06-01  846.1
2012-07-01  858.1
2012-08-01  843.9
2012-09-01  852.6
2012-10-01  843.7
2012-11-01  843.6
2012-12-01  819.2
2013-01-01  810.3
2013-02-01  801.9
2013-03-01  810.8
2013-04-01  806.3
2013-05-01  800.3
2013-06-01  813.0
2013-07-01  790.9
2013-08-01  802.0
2013-09-01  817.0
2013-10-01  804.1
2013-11-01  809.2
2013-12-01  833.1
2014-01-01  820.2
2014-02-01  831.6
2014-03-01  845.5
2014-04-01  828.0
2014-05-01  834.1
2014-06-01  845.6
2014-07-01  826.0
2014-08-01  835.1
2014-09-01  824.3
2014-10-01  829.8
2014-11-01  852.6
2014-12-01  834.0
2015-01-01  835.3
2015-02-01  854.9
2015-03-01  855.2
2015-04-01  844.2
2015-05-01  858.7
2015-06-01  846.1
2015-07-01  867.5
2015-08-01  897.5
2015-09-01  868.6
2015-10-01  869.5
2015-11-01  889.7
2015-12-01  867.3
2016-01-01  864.5
2016-02-01  861.3
2016-03-01  870.2
2016-04-01  880.8
2016-05-01  914.8
2016-06-01  880.7
2016-07-01  875.5
2016-08-01  877.9
2016-09-01  884.4
2016-10-01  902.1
2016-11-01  882.6
2016-12-01  902.0
2017-01-01  907.0
2017-02-01  901.6
2017-03-01  898.0
2017-04-01  936.2
2017-05-01  914.0
2017-06-01  936.9
2017-07-01  953.7
2017-08-01  927.4
2017-09-01  938.6
2017-10-01  955.1
2017-11-01  936.0
2017-12-01  945.2
2018-01-01  953.3
2018-02-01  966.0
2018-03-01  956.5
2018-04-01  958.6
2018-05-01  948.9
2018-06-01  944.1
2018-07-01  960.2
2018-08-01  950.7
2018-09-01  955.9
2018-10-01  938.3
