Title:               Average Hourly Earnings of All Employees: Total Private in Wilmington, NC (MSA)
Series ID:           SMU37489000500000003
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 3:59 PM CST
Notes:               

DATE        VALUE
2007-01-01  18.47
2007-02-01  18.76
2007-03-01  18.19
2007-04-01  18.20
2007-05-01  18.51
2007-06-01  18.25
2007-07-01  19.02
2007-08-01  18.59
2007-09-01  19.05
2007-10-01  19.17
2007-11-01  19.13
2007-12-01  19.65
2008-01-01  20.02
2008-02-01  20.21
2008-03-01  20.43
2008-04-01  20.86
2008-05-01  18.79
2008-06-01  19.22
2008-07-01  17.78
2008-08-01  17.98
2008-09-01  17.67
2008-10-01  20.20
2008-11-01  21.04
2008-12-01  20.46
2009-01-01  20.98
2009-02-01  22.47
2009-03-01  20.43
2009-04-01  21.79
2009-05-01  21.68
2009-06-01  20.38
2009-07-01  20.36
2009-08-01  20.62
2009-09-01  20.54
2009-10-01  20.47
2009-11-01  22.23
2009-12-01  21.42
2010-01-01  20.75
2010-02-01  20.65
2010-03-01  21.16
2010-04-01  20.48
2010-05-01  20.80
2010-06-01  21.05
2010-07-01  21.22
2010-08-01  21.01
2010-09-01  21.09
2010-10-01  20.88
2010-11-01  20.30
2010-12-01  20.44
2011-01-01  20.91
2011-02-01  20.71
2011-03-01  20.24
2011-04-01  20.70
2011-05-01  19.96
2011-06-01  19.55
2011-07-01  19.68
2011-08-01  19.68
2011-09-01  20.21
2011-10-01  20.62
2011-11-01  20.84
2011-12-01  20.85
2012-01-01  21.69
2012-02-01  21.18
2012-03-01  21.04
2012-04-01  21.10
2012-05-01  20.84
2012-06-01  20.66
2012-07-01  20.09
2012-08-01  20.18
2012-09-01  20.66
2012-10-01  20.32
2012-11-01  20.53
2012-12-01  20.18
2013-01-01  19.85
2013-02-01  19.86
2013-03-01  19.76
2013-04-01  19.60
2013-05-01  19.47
2013-06-01  19.05
2013-07-01  18.79
2013-08-01  18.95
2013-09-01  19.08
2013-10-01  19.10
2013-11-01  18.92
2013-12-01  19.14
2014-01-01  18.88
2014-02-01  18.83
2014-03-01  18.60
2014-04-01  18.59
2014-05-01  18.37
2014-06-01  18.25
2014-07-01  17.40
2014-08-01  18.19
2014-09-01  18.33
2014-10-01  18.30
2014-11-01  18.55
2014-12-01  18.26
2015-01-01  18.68
2015-02-01  18.84
2015-03-01  18.55
2015-04-01  18.84
2015-05-01  19.21
2015-06-01  19.18
2015-07-01  18.95
2015-08-01  19.57
2015-09-01  19.88
2015-10-01  20.21
2015-11-01  21.11
2015-12-01  20.93
2016-01-01  21.34
2016-02-01  21.42
2016-03-01  21.21
2016-04-01  21.20
2016-05-01  21.69
2016-06-01  21.24
2016-07-01  21.07
2016-08-01  21.11
2016-09-01  21.85
2016-10-01  22.24
2016-11-01  21.94
2016-12-01  21.99
2017-01-01  22.26
2017-02-01  22.33
2017-03-01  22.24
2017-04-01  22.02
2017-05-01  21.02
2017-06-01  21.10
2017-07-01  21.22
2017-08-01  21.08
2017-09-01  21.49
2017-10-01  21.71
2017-11-01  21.75
2017-12-01  21.83
2018-01-01  22.38
2018-02-01  22.33
2018-03-01  22.40
2018-04-01  22.67
2018-05-01  22.23
2018-06-01  22.79
2018-07-01  22.58
2018-08-01  22.49
2018-09-01  25.02
2018-10-01  22.49
