Title:               Average Weekly Earnings of All Employees: Total Private in Wilmington, NC (MSA)
Series ID:           SMU37489000500000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 3:59 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2007-01-01  621.3
2007-02-01  629.4
2007-03-01  619.7
2007-04-01  621.1
2007-05-01  639.8
2007-06-01  651.7
2007-07-01  683.3
2007-08-01  666.3
2007-09-01  684.5
2007-10-01  669.8
2007-11-01  628.0
2007-12-01  683.2
2008-01-01  692.7
2008-02-01  680.4
2008-03-01  697.9
2008-04-01  698.3
2008-05-01  653.5
2008-06-01  701.5
2008-07-01  631.4
2008-08-01  639.5
2008-09-01  603.3
2008-10-01  702.3
2008-11-01  684.9
2008-12-01  674.5
2009-01-01  691.3
2009-02-01  749.3
2009-03-01  663.7
2009-04-01  716.4
2009-05-01  729.7
2009-06-01  708.7
2009-07-01  704.3
2009-08-01  727.3
2009-09-01  705.4
2009-10-01  708.9
2009-11-01  732.8
2009-12-01  735.2
2010-01-01  701.4
2010-02-01  698.3
2010-03-01  703.4
2010-04-01  691.9
2010-05-01  722.3
2010-06-01  738.8
2010-07-01  744.7
2010-08-01  736.9
2010-09-01  721.6
2010-10-01  707.5
2010-11-01  660.8
2010-12-01  669.8
2011-01-01  671.0
2011-02-01  674.3
2011-03-01  650.9
2011-04-01  662.6
2011-05-01  643.4
2011-06-01  634.4
2011-07-01  642.0
2011-08-01  634.3
2011-09-01  632.5
2011-10-01  657.9
2011-11-01  646.7
2011-12-01  649.8
2012-01-01  694.2
2012-02-01  671.8
2012-03-01  676.1
2012-04-01  679.7
2012-05-01  674.5
2012-06-01  662.4
2012-07-01  670.0
2012-08-01  655.2
2012-09-01  670.9
2012-10-01  650.8
2012-11-01  656.5
2012-12-01  648.2
2013-01-01  639.7
2013-02-01  627.3
2013-03-01  624.4
2013-04-01  623.0
2013-05-01  621.8
2013-06-01  622.6
2013-07-01  611.6
2013-08-01  608.9
2013-09-01  610.1
2013-10-01  609.8
2013-11-01  598.0
2013-12-01  603.3
2014-01-01  584.4
2014-02-01  572.5
2014-03-01  590.9
2014-04-01  580.6
2014-05-01  574.2
2014-06-01  583.2
2014-07-01  559.9
2014-08-01  583.7
2014-09-01  579.6
2014-10-01  569.3
2014-11-01  574.8
2014-12-01  574.3
2015-01-01  575.0
2015-02-01  582.1
2015-03-01  588.9
2015-04-01  589.3
2015-05-01  609.5
2015-06-01  615.1
2015-07-01  616.9
2015-08-01  640.8
2015-09-01  633.9
2015-10-01  637.9
2015-11-01  663.2
2015-12-01  663.5
2016-01-01  684.2
2016-02-01  682.1
2016-03-01  691.0
2016-04-01  682.0
2016-05-01  728.3
2016-06-01  713.5
2016-07-01  712.1
2016-08-01  718.2
2016-09-01  725.7
2016-10-01  730.9
2016-11-01  726.3
2016-12-01  733.4
2017-01-01  741.9
2017-02-01  750.2
2017-03-01  738.8
2017-04-01  738.1
2017-05-01  725.2
2017-06-01  720.8
2017-07-01  734.9
2017-08-01  719.3
2017-09-01  721.5
2017-10-01  735.6
2017-11-01  730.9
2017-12-01  730.9
2018-01-01  728.0
2018-02-01  738.7
2018-03-01  743.0
2018-04-01  754.6
2018-05-01  750.8
2018-06-01  764.3
2018-07-01  766.6
2018-08-01  770.1
2018-09-01  772.9
2018-10-01  778.3
