Title:               All Employees: Total Private in Winston-Salem, NC (MSA)
Series ID:           SMU37491800500000001SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
1990-01-01  200.3
1990-02-01  200.5
1990-03-01  200.8
1990-04-01  200.4
1990-05-01  199.6
1990-06-01  199.3
1990-07-01  199.3
1990-08-01  199.7
1990-09-01  199.9
1990-10-01  199.9
1990-11-01  199.5
1990-12-01  198.5
1991-01-01  198.4
1991-02-01  197.7
1991-03-01  197.1
1991-04-01  197.0
1991-05-01  197.1
1991-06-01  197.5
1991-07-01  197.8
1991-08-01  198.5
1991-09-01  198.1
1991-10-01  198.5
1991-11-01  199.0
1991-12-01  198.6
1992-01-01  202.0
1992-02-01  201.3
1992-03-01  201.2
1992-04-01  200.5
1992-05-01  200.8
1992-06-01  200.7
1992-07-01  200.9
1992-08-01  200.9
1992-09-01  202.1
1992-10-01  202.8
1992-11-01  202.4
1992-12-01  202.8
1993-01-01  203.4
1993-02-01  203.9
1993-03-01  203.6
1993-04-01  205.7
1993-05-01  206.8
1993-06-01  205.9
1993-07-01  206.4
1993-08-01  206.1
1993-09-01  206.1
1993-10-01  205.8
1993-11-01  206.6
1993-12-01  206.9
1994-01-01  207.3
1994-02-01  207.2
1994-03-01  208.3
1994-04-01  210.8
1994-05-01  210.6
1994-06-01  211.4
1994-07-01  211.5
1994-08-01  211.0
1994-09-01  212.2
1994-10-01  213.3
1994-11-01  214.2
1994-12-01  215.1
1995-01-01  214.1
1995-02-01  214.2
1995-03-01  214.4
1995-04-01  213.4
1995-05-01  213.5
1995-06-01  214.2
1995-07-01  212.8
1995-08-01  214.2
1995-09-01  214.7
1995-10-01  215.1
1995-11-01  215.3
1995-12-01  215.4
1996-01-01  216.1
1996-02-01  217.1
1996-03-01  218.1
1996-04-01  219.1
1996-05-01  219.3
1996-06-01  219.5
1996-07-01  220.5
1996-08-01  221.1
1996-09-01  221.0
1996-10-01  221.6
1996-11-01  221.2
1996-12-01  221.8
1997-01-01  223.6
1997-02-01  223.9
1997-03-01  223.8
1997-04-01  223.2
1997-05-01  223.6
1997-06-01  224.2
1997-07-01  224.8
1997-08-01  225.3
1997-09-01  225.9
1997-10-01  224.8
1997-11-01  225.5
1997-12-01  225.8
1998-01-01  225.6
1998-02-01  225.7
1998-03-01  226.0
1998-04-01  226.2
1998-05-01  226.7
1998-06-01  226.4
1998-07-01  227.6
1998-08-01  227.7
1998-09-01  228.2
1998-10-01  228.7
1998-11-01  229.4
1998-12-01  229.6
1999-01-01  228.7
1999-02-01  229.9
1999-03-01  230.3
1999-04-01  232.1
1999-05-01  232.3
1999-06-01  232.0
1999-07-01  230.1
1999-08-01  230.5
1999-09-01  230.5
1999-10-01  231.8
1999-11-01  232.5
1999-12-01  232.7
2000-01-01  232.4
2000-02-01  232.7
2000-03-01  233.0
2000-04-01  232.2
2000-05-01  232.3
2000-06-01  233.0
2000-07-01  232.4
2000-08-01  233.1
2000-09-01  233.0
2000-10-01  232.6
2000-11-01  232.0
2000-12-01  232.2
2001-01-01  232.0
2001-02-01  231.3
2001-03-01  229.9
2001-04-01  229.7
2001-05-01  228.6
