Title:               Average Hourly Earnings of All Employees: Total Private in Winston-Salem, NC (MSA)
Series ID:           SMU37491800500000003
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Hour
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 3:59 PM CST
Notes:               

DATE        VALUE
2007-01-01  17.92
2007-02-01  18.96
2007-03-01  18.20
2007-04-01  18.94
2007-05-01  19.60
2007-06-01  19.25
2007-07-01  19.33
2007-08-01  18.81
2007-09-01  19.09
2007-10-01  19.06
2007-11-01  18.79
2007-12-01  18.15
2008-01-01  17.88
2008-02-01  17.66
2008-03-01  17.80
2008-04-01  17.99
2008-05-01  17.93
2008-06-01  17.42
2008-07-01  16.18
2008-08-01  16.03
2008-09-01  16.04
2008-10-01  17.48
2008-11-01  18.55
2008-12-01  18.32
2009-01-01  18.39
2009-02-01  18.24
2009-03-01  18.38
2009-04-01  17.95
2009-05-01  17.96
2009-06-01  17.94
2009-07-01  17.75
2009-08-01  17.71
2009-09-01  17.40
2009-10-01  17.64
2009-11-01  17.77
2009-12-01  18.02
2010-01-01  18.22
2010-02-01  18.48
2010-03-01  18.09
2010-04-01  18.40
2010-05-01  18.58
2010-06-01  18.59
2010-07-01  18.27
2010-08-01  18.54
2010-09-01  18.93
2010-10-01  18.88
2010-11-01  18.94
2010-12-01  19.22
2011-01-01  20.22
2011-02-01  19.84
2011-03-01  19.16
2011-04-01  19.63
2011-05-01  19.58
2011-06-01  19.62
2011-07-01  19.84
2011-08-01  19.71
2011-09-01  20.03
2011-10-01  20.34
2011-11-01  20.67
2011-12-01  21.17
2012-01-01  20.94
2012-02-01  21.05
2012-03-01  20.83
2012-04-01  21.27
2012-05-01  21.16
2012-06-01  21.18
2012-07-01  21.08
2012-08-01  20.93
2012-09-01  21.24
2012-10-01  21.34
2012-11-01  21.47
2012-12-01  21.92
2013-01-01  20.94
2013-02-01  20.73
2013-03-01  20.16
2013-04-01  20.29
2013-05-01  20.64
2013-06-01  20.62
2013-07-01  20.72
2013-08-01  20.57
2013-09-01  20.78
2013-10-01  20.72
2013-11-01  21.22
2013-12-01  22.03
2014-01-01  21.47
2014-02-01  21.67
2014-03-01  21.57
2014-04-01  21.01
2014-05-01  21.12
2014-06-01  21.12
2014-07-01  21.07
2014-08-01  21.36
2014-09-01  21.49
2014-10-01  21.65
2014-11-01  21.54
2014-12-01  21.40
2015-01-01  21.65
2015-02-01  21.99
2015-03-01  21.78
2015-04-01  21.60
2015-05-01  21.85
2015-06-01  21.80
2015-07-01  21.85
2015-08-01  22.21
2015-09-01  22.43
2015-10-01  22.62
2015-11-01  22.90
2015-12-01  22.04
2016-01-01  22.08
2016-02-01  23.07
2016-03-01  22.61
2016-04-01  22.89
2016-05-01  23.05
2016-06-01  22.70
2016-07-01  22.90
2016-08-01  23.28
2016-09-01  22.78
2016-10-01  22.50
2016-11-01  22.86
2016-12-01  22.68
2017-01-01  23.05
2017-02-01  24.08
2017-03-01  23.54
2017-04-01  23.60
2017-05-01  23.84
2017-06-01  23.30
2017-07-01  23.89
2017-08-01  23.75
2017-09-01  23.78
2017-10-01  23.87
2017-11-01  23.98
2017-12-01  23.93
2018-01-01  24.06
2018-02-01  24.00
2018-03-01  23.92
2018-04-01  23.60
2018-05-01  23.78
2018-06-01  23.82
2018-07-01  23.97
2018-08-01  24.26
2018-09-01  24.49
2018-10-01  24.63
