Title:               All Employees: Private Service Providing in Winston-Salem, NC (MSA)
Series ID:           SMU37491800800000001SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
1990-01-01  128.4
1990-02-01  128.2
1990-03-01  128.5
1990-04-01  128.3
1990-05-01  128.6
1990-06-01  128.9
1990-07-01  128.9
1990-08-01  128.9
1990-09-01  129.0
1990-10-01  129.6
1990-11-01  130.5
1990-12-01  129.1
1991-01-01  128.8
1991-02-01  128.7
1991-03-01  128.6
1991-04-01  128.3
1991-05-01  128.8
1991-06-01  129.0
1991-07-01  129.1
1991-08-01  129.8
1991-09-01  129.7
1991-10-01  129.7
1991-11-01  130.1
1991-12-01  129.2
1992-01-01  131.8
1992-02-01  131.4
1992-03-01  131.3
1992-04-01  130.7
1992-05-01  130.6
1992-06-01  130.7
1992-07-01  130.8
1992-08-01  130.8
1992-09-01  131.4
1992-10-01  132.0
1992-11-01  131.7
1992-12-01  132.2
1993-01-01  132.4
1993-02-01  132.9
1993-03-01  132.9
1993-04-01  134.6
1993-05-01  135.5
1993-06-01  134.4
1993-07-01  135.1
1993-08-01  135.2
1993-09-01  135.2
1993-10-01  135.2
1993-11-01  135.8
1993-12-01  136.0
1994-01-01  136.8
1994-02-01  136.0
1994-03-01  137.0
1994-04-01  138.9
1994-05-01  139.0
1994-06-01  139.9
1994-07-01  140.0
1994-08-01  139.6
1994-09-01  140.6
1994-10-01  141.2
1994-11-01  142.2
1994-12-01  142.9
1995-01-01  142.2
1995-02-01  142.2
1995-03-01  142.5
1995-04-01  141.7
1995-05-01  142.2
1995-06-01  143.1
1995-07-01  141.8
1995-08-01  143.0
1995-09-01  143.7
1995-10-01  143.9
1995-11-01  144.0
1995-12-01  144.0
1996-01-01  144.6
1996-02-01  145.5
1996-03-01  146.5
1996-04-01  146.7
1996-05-01  147.3
1996-06-01  147.2
1996-07-01  147.9
1996-08-01  148.6
1996-09-01  148.5
1996-10-01  149.1
1996-11-01  148.7
1996-12-01  149.2
1997-01-01  150.2
1997-02-01  150.7
1997-03-01  150.8
1997-04-01  150.6
1997-05-01  150.8
1997-06-01  151.6
1997-07-01  152.3
1997-08-01  152.7
1997-09-01  152.9
1997-10-01  152.4
1997-11-01  153.0
1997-12-01  153.1
1998-01-01  153.4
1998-02-01  153.7
1998-03-01  153.9
1998-04-01  154.5
1998-05-01  154.7
1998-06-01  154.6
1998-07-01  155.4
1998-08-01  155.4
1998-09-01  155.8
1998-10-01  156.0
1998-11-01  156.9
1998-12-01  157.3
1999-01-01  156.5
1999-02-01  157.6
1999-03-01  158.1
1999-04-01  159.4
1999-05-01  159.7
1999-06-01  159.6
1999-07-01  158.5
1999-08-01  158.7
1999-09-01  159.1
1999-10-01  160.8
1999-11-01  161.7
1999-12-01  162.0
2000-01-01  161.8
2000-02-01  162.2
2000-03-01  162.2
2000-04-01  162.1
2000-05-01  162.3
2000-06-01  163.0
2000-07-01  162.8
2000-08-01  163.0
2000-09-01  163.0
2000-10-01  162.9
2000-11-01  162.3
2000-12-01  162.6
2001-01-01  162.9
2001-02-01  162.8
2001-03-01  162.9
2001-04-01  161.7
2001-05-01  161.0
2001-06-01  161.7
2001-07-01  162.0
2001-08-01  162.1
2001-09-01  161.8
2001-10-01  161.4
2001-11-01  161.4
2001-12-01  161.1
2002-01-01  161.5
2002-02-01  161.7
2002-03-01  161.7
2002-04-01  162.9
2002-05-01  163.1
2002-06-01  163.0
2002-07-01  163.7
2002-08-01  164.4
2002-09-01  164.5
2002-10-01  164.5
2002-11-01  164.7
2002-12-01  164.6
2003-01-01  162.6
2003-02-01  163.3
2003-03-01  163.2
2003-04-01  163.4
2003-05-01  163.3
2003-06-01  163.2
2003-07-01  161.2
2003-08-01  162.3
2003-09-01  163.1
2003-10-01  162.9
2003-11-01  162.7
2003-12-01  163.4
2004-01-01  163.7
2004-02-01  163.7
2004-03-01  164.0
2004-04-01  164.4
2004-05-01  164.8
2004-06-01  165.2
2004-07-01  165.4
2004-08-01  166.6
2004-09-01  165.9
2004-10-01  166.2
2004-11-01  166.4
2004-12-01  166.8
2005-01-01  167.6
2005-02-01  168.3
2005-03-01  168.2
2005-04-01  168.1
2005-05-01  167.4
2005-06-01  168.7
2005-07-01  169.6
2005-08-01  169.7
2005-09-01  169.0
2005-10-01  170.6
2005-11-01  171.0
2005-12-01  170.6
2006-01-01  171.6
2006-02-01  172.0
2006-03-01  172.4
2006-04-01  173.1
2006-05-01  174.0
2006-06-01  174.3
2006-07-01  174.5
2006-08-01  174.8
2006-09-01  175.1
2006-10-01  175.9
2006-11-01  176.6
2006-12-01  176.9
2007-01-01  177.0
2007-02-01  177.8
2007-03-01  178.4
2007-04-01  178.4
2007-05-01  178.6
2007-06-01  178.7
2007-07-01  178.6
2007-08-01  178.5
2007-09-01  178.9
2007-10-01  179.1
2007-11-01  179.7
2007-12-01  180.1
2008-01-01  180.5
2008-02-01  180.5
2008-03-01  180.5
2008-04-01  180.1
2008-05-01  179.7
2008-06-01  180.1
2008-07-01  180.2
2008-08-01  179.6
2008-09-01  179.3
2008-10-01  178.0
2008-11-01  177.2
2008-12-01  177.0
2009-01-01  175.7
2009-02-01  174.4
2009-03-01  173.2
2009-04-01  171.5
2009-05-01  171.5
2009-06-01  171.0
2009-07-01  170.9
2009-08-01  170.7
2009-09-01  170.1
2009-10-01  169.9
2009-11-01  169.9
2009-12-01  169.1
2010-01-01  168.9
2010-02-01  168.3
2010-03-01  168.3
2010-04-01  169.8
2010-05-01  169.5
2010-06-01  169.9
2010-07-01  169.1
2010-08-01  169.0
2010-09-01  169.1
2010-10-01  171.0
2010-11-01  170.4
2010-12-01  169.6
2011-01-01  167.8
2011-02-01  169.4
2011-03-01  169.3
2011-04-01  170.1
2011-05-01  170.8
2011-06-01  171.0
2011-07-01  171.8
2011-08-01  172.3
2011-09-01  172.1
2011-10-01  172.5
2011-11-01  172.8
2011-12-01  173.7
2012-01-01  174.6
2012-02-01  175.8
2012-03-01  176.2
2012-04-01  175.8
2012-05-01  175.9
2012-06-01  175.6
2012-07-01  175.5
2012-08-01  175.8
2012-09-01  176.8
2012-10-01  177.3
2012-11-01  177.7
2012-12-01  178.1
2013-01-01  178.9
2013-02-01  179.7
2013-03-01  179.5
2013-04-01  179.1
2013-05-01  178.8
2013-06-01  179.4
2013-07-01  179.9
2013-08-01  180.6
