Title:               All Employees: Total Private in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           SMU51472600500000001SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-26 10:22 AM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
1990-01-01  464.5
1990-02-01  464.5
1990-03-01  466.3
1990-04-01  463.3
1990-05-01  463.3
1990-06-01  464.1
1990-07-01  463.2
1990-08-01  463.3
1990-09-01  461.8
1990-10-01  462.8
1990-11-01  463.1
1990-12-01  463.4
1991-01-01  459.4
1991-02-01  454.5
1991-03-01  456.4
1991-04-01  457.4
1991-05-01  457.9
1991-06-01  458.7
1991-07-01  458.3
1991-08-01  458.9
1991-09-01  460.1
1991-10-01  458.8
1991-11-01  457.4
1991-12-01  460.4
1992-01-01  459.5
1992-02-01  460.0
1992-03-01  460.3
1992-04-01  460.5
1992-05-01  460.8
1992-06-01  460.1
1992-07-01  461.7
1992-08-01  462.1
1992-09-01  463.3
1992-10-01  462.6
1992-11-01  465.2
1992-12-01  464.9
1993-01-01  466.7
1993-02-01  468.7
1993-03-01  467.2
1993-04-01  469.0
1993-05-01  469.0
1993-06-01  468.9
1993-07-01  468.4
1993-08-01  468.3
1993-09-01  468.4
1993-10-01  471.2
1993-11-01  471.6
1993-12-01  474.1
1994-01-01  475.7
1994-02-01  475.6
1994-03-01  478.9
1994-04-01  480.0
1994-05-01  480.6
1994-06-01  480.1
1994-07-01  487.3
1994-08-01  489.7
1994-09-01  491.7
1994-10-01  486.5
1994-11-01  487.2
1994-12-01  490.2
1995-01-01  492.9
1995-02-01  494.8
1995-03-01  495.6
1995-04-01  497.9
1995-05-01  501.0
1995-06-01  502.3
1995-07-01  500.7
1995-08-01  500.2
1995-09-01  502.8
1995-10-01  505.0
1995-11-01  505.8
1995-12-01  507.0
1996-01-01  508.3
1996-02-01  509.3
1996-03-01  511.7
1996-04-01  512.9
1996-05-01  512.8
1996-06-01  514.3
1996-07-01  518.7
1996-08-01  521.0
1996-09-01  522.8
1996-10-01  523.7
1996-11-01  525.6
1996-12-01  526.3
1997-01-01  529.8
1997-02-01  530.3
1997-03-01  531.7
1997-04-01  532.1
1997-05-01  533.3
1997-06-01  533.9
1997-07-01  534.2
1997-08-01  534.1
1997-09-01  536.3
1997-10-01  539.4
