Title:               Average Weekly Earnings of All Employees: Total Private in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           SMU51472600500000011
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-11-01
Last Updated:        2018-12-26 10:22 AM CST
Notes:               

DATE         VALUE
2007-01-01  662.40
2007-02-01  681.29
2007-03-01  660.74
2007-04-01  700.25
2007-05-01  695.65
2007-06-01  684.86
2007-07-01  695.06
2007-08-01  696.16
2007-09-01  719.12
2007-10-01  692.96
2007-11-01  707.77
2007-12-01  716.75
2008-01-01  698.71
2008-02-01  764.83
2008-03-01  780.05
2008-04-01  767.64
2008-05-01  767.89
2008-06-01  767.08
2008-07-01  754.92
2008-08-01  735.36
2008-09-01  755.19
2008-10-01  769.79
2008-11-01  780.44
2008-12-01  783.49
2009-01-01  781.90
2009-02-01  791.11
2009-03-01  785.62
2009-04-01  788.55
2009-05-01  780.27
2009-06-01  809.32
2009-07-01  814.78
2009-08-01  821.98
2009-09-01  801.00
2009-10-01  794.56
2009-11-01  791.83
2009-12-01  807.62
2010-01-01  796.37
2010-02-01  801.24
2010-03-01  778.98
2010-04-01  803.14
2010-05-01  820.80
2010-06-01  792.01
2010-07-01  795.30
2010-08-01  804.96
2010-09-01  782.95
2010-10-01  801.29
2010-11-01  793.43
2010-12-01  799.82
2011-01-01  788.25
2011-02-01  772.42
2011-03-01  756.46
2011-04-01  759.08
2011-05-01  764.83
2011-06-01  748.13
2011-07-01  758.03
2011-08-01  761.87
2011-09-01  777.57
2011-10-01  782.50
2011-11-01  760.62
2011-12-01  763.00
2012-01-01  743.72
2012-02-01  737.88
2012-03-01  728.59
2012-04-01  753.59
2012-05-01  726.75
2012-06-01  735.89
2012-07-01  724.81
2012-08-01  711.05
2012-09-01  718.30
2012-10-01  699.73
2012-11-01  705.20
2012-12-01  725.58
2013-01-01  690.20
2013-02-01  691.52
2013-03-01  701.78
2013-04-01  708.62
2013-05-01  702.12
2013-06-01  706.57
2013-07-01  705.41
2013-08-01  712.64
2013-09-01  726.07
2013-10-01  705.41
2013-11-01  715.11
2013-12-01  724.44
2014-01-01  720.44
2014-02-01  739.36
2014-03-01  742.07
2014-04-01  729.07
2014-05-01  728.51
2014-06-01  719.26
2014-07-01  718.59
2014-08-01  723.86
2014-09-01  727.49
2014-10-01  729.64
2014-11-01  750.95
2014-12-01  744.31
2015-01-01  737.86
2015-02-01  758.21
2015-03-01  777.10
2015-04-01  777.98
2015-05-01  771.21
2015-06-01  765.68
2015-07-01  761.94
2015-08-01  779.54
2015-09-01  766.68
2015-10-01  790.70
2015-11-01  794.47
2015-12-01  787.23
2016-01-01  803.09
2016-02-01  799.68
2016-03-01  809.53
2016-04-01  809.14
2016-05-01  816.68
2016-06-01  804.44
2016-07-01  814.31
2016-08-01  821.13
2016-09-01  822.35
2016-10-01  842.61
2016-11-01  824.30
2016-12-01  838.10
2017-01-01  846.02
2017-02-01  842.63
2017-03-01  839.93
2017-04-01  859.56
2017-05-01  823.71
2017-06-01  818.40
2017-07-01  841.80
2017-08-01  825.93
2017-09-01  835.85
2017-10-01  854.22
2017-11-01  835.21
2017-12-01  852.89
2018-01-01  834.49
2018-02-01  844.40
2018-03-01  845.50
2018-04-01  865.57
2018-05-01  832.38
2018-06-01  825.94
2018-07-01  843.21
2018-08-01  831.44
2018-09-01  818.71
2018-10-01  823.54
2018-11-01  825.26
