Title:               Average Weekly Earnings of All Employees: Total Private in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           SMU51472600500000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-11-01
Last Updated:        2018-12-26 10:22 AM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2007-01-01  664.9
2007-02-01  670.4
2007-03-01  671.1
2007-04-01  693.4
2007-05-01  688.4
2007-06-01  684.1
2007-07-01  695.1
2007-08-01  692.1
2007-09-01  728.5
2007-10-01  699.5
2007-11-01  711.2
2007-12-01  713.7
2008-01-01  700.4
2008-02-01  755.1
2008-03-01  790.8
2008-04-01  761.5
2008-05-01  760.7
2008-06-01  767.4
2008-07-01  755.1
2008-08-01  731.1
2008-09-01  763.2
2008-10-01  775.1
2008-11-01  783.0
2008-12-01  779.4
2009-01-01  783.0
2009-02-01  783.8
2009-03-01  796.9
2009-04-01  783.5
2009-05-01  774.5
2009-06-01  810.0
2009-07-01  815.1
2009-08-01  817.9
2009-09-01  806.7
2009-10-01  798.3
2009-11-01  793.1
2009-12-01  801.8
2010-01-01  797.5
2010-02-01  797.9
2010-03-01  789.6
2010-04-01  799.2
2010-05-01  817.1
2010-06-01  793.0
2010-07-01  795.5
2010-08-01  801.3
2010-09-01  784.5
2010-10-01  804.8
2010-11-01  794.2
2010-12-01  792.9
2011-01-01  790.1
2011-02-01  772.1
2011-03-01  765.0
2011-04-01  754.9
2011-05-01  763.0
2011-06-01  749.5
2011-07-01  758.8
2011-08-01  759.4
2011-09-01  776.4
2011-10-01  785.9
2011-11-01  760.5
2011-12-01  756.0
2012-01-01  747.0
2012-02-01  739.4
2012-03-01  732.9
2012-04-01  748.6
2012-05-01  725.9
2012-06-01  738.3
2012-07-01  727.0
2012-08-01  710.1
2012-09-01  715.1
2012-10-01  703.7
2012-11-01  704.6
2012-12-01  720.5
2013-01-01  694.4
2013-02-01  692.7
2013-03-01  701.1
2013-04-01  702.0
2013-05-01  701.6
2013-06-01  709.8
2013-07-01  709.7
2013-08-01  713.8
2013-09-01  723.9
2013-10-01  708.6
2013-11-01  714.2
2013-12-01  721.6
2014-01-01  724.3
2014-02-01  739.4
2014-03-01  736.5
2014-04-01  721.2
2014-05-01  728.6
2014-06-01  724.3
2014-07-01  723.9
2014-08-01  726.5
2014-09-01  727.2
2014-10-01  730.9
2014-11-01  751.3
2014-12-01  742.6
2015-01-01  740.5
2015-02-01  756.5
2015-03-01  769.1
2015-04-01  768.6
2015-05-01  772.0
2015-06-01  773.3
2015-07-01  766.7
2015-08-01  783.2
2015-09-01  769.9
2015-10-01  789.2
2015-11-01  795.7
2015-12-01  785.4
2016-01-01  804.3
2016-02-01  796.8
2016-03-01  801.2
2016-04-01  798.5
2016-05-01  818.6
2016-06-01  814.5
2016-07-01  817.8
2016-08-01  825.3
2016-09-01  827.8
2016-10-01  839.0
2016-11-01  826.1
2016-12-01  835.5
2017-01-01  845.9
2017-02-01  839.4
2017-03-01  833.2
2017-04-01  848.0
2017-05-01  826.9
2017-06-01  829.6
2017-07-01  843.3
2017-08-01  830.5
2017-09-01  842.5
2017-10-01  849.7
2017-11-01  837.4
2017-12-01  849.3
2018-01-01  833.4
2018-02-01  841.2
2018-03-01  840.6
2018-04-01  853.3
2018-05-01  836.9
2018-06-01  837.4
2018-07-01  842.8
2018-08-01  836.3
2018-09-01  825.3
2018-10-01  819.3
2018-11-01  828.0
