Title:               All Employees: Service-Providing in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           SMU51472600700000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-26 10:22 AM CST
Notes:               

DATE        VALUE
1990-01-01  489.4
1990-02-01  491.2
1990-03-01  496.4
1990-04-01  498.5
1990-05-01  506.0
1990-06-01  513.1
1990-07-01  505.5
1990-08-01  506.7
1990-09-01  507.0
1990-10-01  506.5
1990-11-01  507.5
1990-12-01  508.9
1991-01-01  490.6
1991-02-01  487.9
1991-03-01  493.5
1991-04-01  495.9
1991-05-01  503.5
1991-06-01  511.0
1991-07-01  505.1
1991-08-01  506.1
1991-09-01  508.4
1991-10-01  506.3
1991-11-01  505.7
1991-12-01  509.4
1992-01-01  493.6
1992-02-01  496.5
1992-03-01  500.7
1992-04-01  506.1
1992-05-01  513.6
1992-06-01  518.5
1992-07-01  514.1
1992-08-01  515.3
1992-09-01  517.7
1992-10-01  515.9
1992-11-01  519.2
1992-12-01  519.0
1993-01-01  505.1
1993-02-01  507.8
1993-03-01  511.0
1993-04-01  516.2
1993-05-01  521.7
1993-06-01  528.1
1993-07-01  521.4
1993-08-01  522.0
1993-09-01  524.9
1993-10-01  524.0
1993-11-01  525.9
1993-12-01  528.7
1994-01-01  514.4
1994-02-01  516.5
1994-03-01  523.1
1994-04-01  528.2
1994-05-01  534.4
1994-06-01  541.6
1994-07-01  540.3
1994-08-01  543.3
1994-09-01  546.3
1994-10-01  538.2
1994-11-01  539.7
1994-12-01  541.8
1995-01-01  527.6
1995-02-01  530.6
1995-03-01  535.3
1995-04-01  539.7
1995-05-01  547.9
1995-06-01  554.3
1995-07-01  546.3
1995-08-01  547.9
1995-09-01  550.8
1995-10-01  549.8
1995-11-01  551.8
1995-12-01  552.6
1996-01-01  536.8
1996-02-01  537.7
1996-03-01  544.6
1996-04-01  548.5
1996-05-01  554.7
1996-06-01  562.4
1996-07-01  558.1
1996-08-01  561.4
1996-09-01  565.4
1996-10-01  564.1
1996-11-01  567.4
1996-12-01  568.5
1997-01-01  552.5
1997-02-01  554.1
1997-03-01  561.1
1997-04-01  565.6
1997-05-01  572.5
1997-06-01  580.3
1997-07-01  571.5
1997-08-01  573.0
1997-09-01  577.6
1997-10-01  579.1
1997-11-01  582.9
1997-12-01  584.2
1998-01-01  565.5
1998-02-01  568.2
1998-03-01  574.1
1998-04-01  577.9
1998-05-01  588.5
1998-06-01  594.2
1998-07-01  595.1
