Title:               All Employees: Service-Providing in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           SMU51472600700000001SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-26 10:22 AM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
1990-01-01  501.1
1990-02-01  501.5
1990-03-01  503.2
1990-04-01  502.2
1990-05-01  503.0
1990-06-01  504.1
1990-07-01  502.9
1990-08-01  503.5
1990-09-01  502.5
1990-10-01  503.9
1990-11-01  503.6
1990-12-01  505.1
1991-01-01  502.3
1991-02-01  498.1
1991-03-01  500.2
1991-04-01  499.4
1991-05-01  500.6
1991-06-01  502.0
1991-07-01  502.6
1991-08-01  503.0
1991-09-01  503.9
1991-10-01  503.8
1991-11-01  502.0
1991-12-01  505.7
1992-01-01  505.3
1992-02-01  506.8
1992-03-01  507.5
1992-04-01  509.4
1992-05-01  510.6
1992-06-01  509.4
1992-07-01  511.6
1992-08-01  512.2
1992-09-01  513.0
1992-10-01  513.4
1992-11-01  515.5
1992-12-01  515.3
1993-01-01  517.0
1993-02-01  518.3
1993-03-01  517.7
1993-04-01  519.3
1993-05-01  518.7
1993-06-01  519.1
1993-07-01  519.0
1993-08-01  519.0
1993-09-01  520.1
1993-10-01  521.5
1993-11-01  522.1
1993-12-01  525.0
1994-01-01  526.4
1994-02-01  527.2
1994-03-01  529.8
1994-04-01  531.2
1994-05-01  531.4
1994-06-01  532.4
1994-07-01  538.1
1994-08-01  540.2
1994-09-01  541.3
1994-10-01  535.5
1994-11-01  535.7
1994-12-01  537.9
1995-01-01  539.9
1995-02-01  541.8
1995-03-01  541.9
1995-04-01  542.7
1995-05-01  545.0
1995-06-01  545.0
1995-07-01  544.4
1995-08-01  544.6
1995-09-01  545.8
1995-10-01  547.0
1995-11-01  547.5
1995-12-01  548.4
1996-01-01  549.4
1996-02-01  549.3
1996-03-01  551.3
1996-04-01  551.6
1996-05-01  551.8
1996-06-01  553.0
1996-07-01  556.4
1996-08-01  557.8
1996-09-01  560.4
1996-10-01  561.1
1996-11-01  562.8
1996-12-01  563.8
1997-01-01  565.7
1997-02-01  566.2
1997-03-01  568.0
1997-04-01  568.9
1997-05-01  569.5
1997-06-01  570.6
1997-07-01  569.9
1997-08-01  569.0
1997-09-01  572.6
1997-10-01  576.2
1997-11-01  577.9
1997-12-01  579.2
1998-01-01  579.3
1998-02-01  580.7
1998-03-01  581.2
1998-04-01  581.1
1998-05-01  585.4
1998-06-01  584.2
1998-07-01  593.4
1998-08-01  593.2
1998-09-01  593.3
1998-10-01  591.0
1998-11-01  593.5
1998-12-01  595.4
1999-01-01  593.4
1999-02-01  597.1
1999-03-01  598.8
1999-04-01  603.2
1999-05-01  601.9
1999-06-01  601.3
1999-07-01  601.1
1999-08-01  602.4
1999-09-01  603.4
1999-10-01  604.6
1999-11-01  604.9
1999-12-01  606.6
2000-01-01  607.7
2000-02-01  609.2
2000-03-01  612.0
2000-04-01  608.7
2000-05-01  608.5
2000-06-01  610.4
2000-07-01  609.7
2000-08-01  611.7
2000-09-01  613.1
2000-10-01  613.8
2000-11-01  615.3
2000-12-01  615.0
2001-01-01  616.1
2001-02-01  616.3
2001-03-01  617.9
2001-04-01  620.6
2001-05-01  621.6
2001-06-01  623.4
2001-07-01  624.1
2001-08-01  623.9
2001-09-01  625.0
2001-10-01  624.6
2001-11-01  626.5
2001-12-01  625.8
2002-01-01  625.3
2002-02-01  627.5
2002-03-01  628.0
2002-04-01  628.4
2002-05-01  629.8
2002-06-01  631.3
2002-07-01  625.9
2002-08-01  627.5
2002-09-01  628.3
2002-10-01  632.4
2002-11-01  632.5
2002-12-01  633.9
2003-01-01  633.2
2003-02-01  632.3
2003-03-01  631.9
2003-04-01  628.0
2003-05-01  628.9
2003-06-01  628.7
2003-07-01  631.2
2003-08-01  630.7
2003-09-01  630.7
2003-10-01  631.8
2003-11-01  632.8
2003-12-01  633.9
2004-01-01  638.1
2004-02-01  638.0
2004-03-01  638.8
2004-04-01  640.0
2004-05-01  640.0
2004-06-01  639.8
2004-07-01  641.7
2004-08-01  642.9
2004-09-01  643.2
2004-10-01  643.4
2004-11-01  644.5
2004-12-01  646.5
2005-01-01  645.0
2005-02-01  646.1
2005-03-01  647.2
2005-04-01  650.5
2005-05-01  651.1
2005-06-01  652.6
2005-07-01  653.1
2005-08-01  654.5
2005-09-01  657.1
2005-10-01  650.5
2005-11-01  653.2
2005-12-01  653.1
2006-01-01  655.8
2006-02-01  656.0
2006-03-01  657.4
2006-04-01  658.3
2006-05-01  658.1
2006-06-01  659.7
2006-07-01  659.0
2006-08-01  657.7
2006-09-01  657.9
2006-10-01  661.4
2006-11-01  664.4
2006-12-01  665.0
2007-01-01  667.6
2007-02-01  668.0
2007-03-01  669.0
2007-04-01  667.8
2007-05-01  668.1
2007-06-01  668.2
2007-07-01  673.9
2007-08-01  672.1
2007-09-01  672.2
2007-10-01  666.8
2007-11-01  669.7
2007-12-01  669.7
2008-01-01  667.1
2008-02-01  668.7
2008-03-01  668.8
2008-04-01  666.6
2008-05-01  667.9
2008-06-01  667.7
2008-07-01  668.2
2008-08-01  667.6
2008-09-01  665.2
2008-10-01  661.9
2008-11-01  660.0
2008-12-01  658.2
2009-01-01  658.2
2009-02-01  655.9
2009-03-01  653.4
2009-04-01  651.3
2009-05-01  652.0
2009-06-01  650.3
2009-07-01  646.5
2009-08-01  646.6
2009-09-01  646.4
2009-10-01  648.5
2009-11-01  647.7
2009-12-01  647.4
2010-01-01  647.2
2010-02-01  644.9
2010-03-01  646.1
2010-04-01  649.2
2010-05-01  650.1
2010-06-01  648.8
2010-07-01  649.1
2010-08-01  648.7
2010-09-01  648.7
2010-10-01  650.0
2010-11-01  649.4
2010-12-01  649.8
2011-01-01  649.4
2011-02-01  649.2
2011-03-01  651.0
2011-04-01  653.2
2011-05-01  652.2
2011-06-01  653.4
2011-07-01  655.6
2011-08-01  654.5
2011-09-01  656.0
2011-10-01  654.4
2011-11-01  654.9
2011-12-01  655.4
2012-01-01  655.9
2012-02-01  657.3
2012-03-01  657.8
2012-04-01  657.6
2012-05-01  657.2
2012-06-01  658.2
2012-07-01  656.3
2012-08-01  657.3
2012-09-01  657.6
2012-10-01  662.4
2012-11-01  663.7
2012-12-01  664.5
2013-01-01  666.3
2013-02-01  666.5
2013-03-01  667.0
2013-04-01  666.0
2013-05-01  666.2
2013-06-01  666.5
2013-07-01  668.1
2013-08-01  668.9
2013-09-01  667.5
2013-10-01  667.9
2013-11-01  668.5
2013-12-01  668.9
2014-01-01  669.0
2014-02-01  666.4
2014-03-01  667.5
2014-04-01  668.9
2014-05-01  670.4
2014-06-01  669.3
2014-07-01  669.3
2014-08-01  670.9
2014-09-01  670.0
2014-10-01  669.3
2014-11-01  669.5
2014-12-01  670.5
2015-01-01  674.9
2015-02-01  672.8
2015-03-01  671.4
2015-04-01  673.9
2015-05-01  675.6
2015-06-01  674.9
2015-07-01  678.5
2015-08-01  679.3
2015-09-01  679.7
2015-10-01  682.0
2015-11-01  683.0
2015-12-01  684.2
2016-01-01  683.5
2016-02-01  682.3
2016-03-01  683.9
2016-04-01  685.6
2016-05-01  683.5
2016-06-01  683.9
2016-07-01  684.0
2016-08-01  684.2
2016-09-01  686.3
2016-10-01  686.7
2016-11-01  688.3
2016-12-01  688.0
2017-01-01  688.8
2017-02-01  691.3
2017-03-01  691.5
2017-04-01  691.5
2017-05-01  690.2
2017-06-01  691.7
2017-07-01  690.5
2017-08-01  690.3
2017-09-01  690.9
2017-10-01  689.8
2017-11-01  688.2
2017-12-01  687.6
2018-01-01  688.1
2018-02-01  690.1
2018-03-01  689.7
2018-04-01  688.5
2018-05-01  692.7
2018-06-01  695.4
2018-07-01  695.3
2018-08-01  695.4
2018-09-01  695.8
2018-10-01  697.1
2018-11-01  698.3
