Title:               All Employees: Private Service Providing in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           SMU51472600800000001SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-26 10:22 AM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
1990-01-01  359.4
1990-02-01  359.8
1990-03-01  361.2
1990-04-01  359.3
1990-05-01  358.8
1990-06-01  359.3
1990-07-01  359.1
1990-08-01  359.8
1990-09-01  359.1
1990-10-01  361.0
1990-11-01  360.7
1990-12-01  362.3
1991-01-01  359.4
1991-02-01  355.5
1991-03-01  357.9
1991-04-01  358.0
1991-05-01  358.8
1991-06-01  359.1
1991-07-01  358.9
1991-08-01  359.2
1991-09-01  360.5
1991-10-01  359.7
1991-11-01  357.8
1991-12-01  361.6
1992-01-01  361.5
1992-02-01  362.4
1992-03-01  363.1
1992-04-01  363.8
1992-05-01  364.5
1992-06-01  364.3
1992-07-01  366.2
1992-08-01  366.4
1992-09-01  366.6
1992-10-01  366.3
1992-11-01  368.5
1992-12-01  368.3
1993-01-01  369.4
1993-02-01  370.8
1993-03-01  369.8
1993-04-01  371.4
1993-05-01  371.7
1993-06-01  371.9
1993-07-01  371.8
1993-08-01  372.2
1993-09-01  372.7
1993-10-01  374.9
1993-11-01  375.3
1993-12-01  378.2
1994-01-01  380.3
1994-02-01  380.7
1994-03-01  383.0
1994-04-01  383.8
1994-05-01  384.3
1994-06-01  384.3
1994-07-01  391.1
1994-08-01  393.2
1994-09-01  394.3
1994-10-01  389.5
1994-11-01  389.6
1994-12-01  392.0
1995-01-01  393.7
1995-02-01  395.9
1995-03-01  396.2
1995-04-01  398.0
1995-05-01  400.2
1995-06-01  400.6
1995-07-01  399.9
1995-08-01  399.8
1995-09-01  401.6
1995-10-01  402.6
1995-11-01  402.8
1995-12-01  403.7
1996-01-01  405.8
1996-02-01  405.8
1996-03-01  407.8
1996-04-01  408.9
1996-05-01  408.9
1996-06-01  410.4
1996-07-01  414.0
1996-08-01  416.5
1996-09-01  417.5
1996-10-01  418.9
1996-11-01  420.4
1996-12-01  421.1
1997-01-01  423.3
1997-02-01  423.6
1997-03-01  425.5
1997-04-01  425.7
1997-05-01  426.6
1997-06-01  427.4
1997-07-01  428.1
1997-08-01  428.4
1997-09-01  430.2
1997-10-01  432.8
1997-11-01  433.9
1997-12-01  435.4
1998-01-01  435.8
1998-02-01  436.7
1998-03-01  436.8
1998-04-01  437.1
1998-05-01  441.2
1998-06-01  440.9
1998-07-01  447.1
1998-08-01  448.0
1998-09-01  447.6
1998-10-01  447.1
1998-11-01  448.9
1998-12-01  450.8
1999-01-01  450.1
1999-02-01  452.7
1999-03-01  454.5
1999-04-01  458.3
1999-05-01  457.5
1999-06-01  457.4
1999-07-01  455.1
1999-08-01  457.6
1999-09-01  459.4
1999-10-01  460.2
1999-11-01  460.4
1999-12-01  461.9
2000-01-01  462.0
2000-02-01  463.6
2000-03-01  465.8
2000-04-01  462.9
2000-05-01  462.5
2000-06-01  464.9
2000-07-01  463.4
2000-08-01  466.0
2000-09-01  466.5
2000-10-01  467.6
2000-11-01  468.7
2000-12-01  468.7
2001-01-01  469.6
2001-02-01  469.1
2001-03-01  471.0
2001-04-01  473.5
2001-05-01  474.7
2001-06-01  475.5
2001-07-01  475.7
2001-08-01  476.1
2001-09-01  476.6
2001-10-01  476.4
2001-11-01  478.0
2001-12-01  477.5
2002-01-01  476.7
2002-02-01  478.7
2002-03-01  478.7
2002-04-01  479.1
2002-05-01  479.7
2002-06-01  481.0
2002-07-01  477.3
2002-08-01  478.8
2002-09-01  477.9
2002-10-01  481.8
2002-11-01  482.8
2002-12-01  483.8
2003-01-01  482.7
2003-02-01  482.2
2003-03-01  481.7
2003-04-01  479.8
2003-05-01  480.2
2003-06-01  479.4
2003-07-01  481.0
2003-08-01  481.2
2003-09-01  480.1
2003-10-01  483.1
2003-11-01  483.6
2003-12-01  484.1
2004-01-01  487.1
2004-02-01  487.0
2004-03-01  487.6
2004-04-01  489.2
2004-05-01  488.6
2004-06-01  488.4
2004-07-01  490.9
2004-08-01  491.3
2004-09-01  491.0
2004-10-01  491.6
2004-11-01  492.2
2004-12-01  494.3
2005-01-01  494.0
2005-02-01  495.2
2005-03-01  496.2
2005-04-01  498.9
2005-05-01  499.0
2005-06-01  500.4
2005-07-01  501.0
2005-08-01  502.1
2005-09-01  504.4
2005-10-01  499.3
2005-11-01  501.8
2005-12-01  502.0
2006-01-01  503.7
2006-02-01  504.4
2006-03-01  505.7
2006-04-01  505.0
2006-05-01  504.7
2006-06-01  506.6
2006-07-01  504.8
2006-08-01  504.2
2006-09-01  505.5
2006-10-01  507.4
2006-11-01  510.3
2006-12-01  510.4
2007-01-01  512.2
2007-02-01  512.8
2007-03-01  513.7
2007-04-01  512.9
2007-05-01  513.6
2007-06-01  513.8
2007-07-01  517.6
2007-08-01  516.1
2007-09-01  515.7
2007-10-01  511.0
2007-11-01  513.1
2007-12-01  513.0
2008-01-01  510.0
2008-02-01  511.1
2008-03-01  511.1
2008-04-01  510.0
2008-05-01  511.1
2008-06-01  510.4
2008-07-01  509.2
2008-08-01  509.1
2008-09-01  506.6
2008-10-01  502.9
2008-11-01  500.2
2008-12-01  498.8
2009-01-01  498.2
2009-02-01  496.8
2009-03-01  493.6
2009-04-01  491.0
2009-05-01  492.5
2009-06-01  490.3
2009-07-01  488.0
2009-08-01  487.2
2009-09-01  487.0
2009-10-01  487.5
2009-11-01  486.3
2009-12-01  486.6
2010-01-01  486.1
2010-02-01  484.5
2010-03-01  485.1
2010-04-01  487.0
2010-05-01  486.1
2010-06-01  485.8
2010-07-01  487.4
2010-08-01  487.5
2010-09-01  486.7
2010-10-01  488.5
2010-11-01  488.9
2010-12-01  489.0
2011-01-01  488.0
2011-02-01  488.5
2011-03-01  489.4
2011-04-01  491.1
2011-05-01  490.6
2011-06-01  491.5
2011-07-01  492.1
2011-08-01  491.4
2011-09-01  492.6
2011-10-01  491.1
2011-11-01  491.1
2011-12-01  491.4
2012-01-01  492.4
2012-02-01  494.1
2012-03-01  495.3
2012-04-01  494.9
2012-05-01  494.6
2012-06-01  495.3
2012-07-01  493.4
2012-08-01  495.0
2012-09-01  495.2
2012-10-01  499.6
2012-11-01  500.8
2012-12-01  502.1
2013-01-01  504.2
2013-02-01  504.4
2013-03-01  505.0
2013-04-01  504.1
2013-05-01  504.5
2013-06-01  504.9
2013-07-01  506.0
2013-08-01  507.1
2013-09-01  505.9
2013-10-01  506.6
2013-11-01  507.6
2013-12-01  507.7
2014-01-01  508.2
2014-02-01  506.6
2014-03-01  507.6
2014-04-01  508.7
2014-05-01  510.3
2014-06-01  509.5
2014-07-01  508.8
2014-08-01  510.2
2014-09-01  509.7
2014-10-01  510.3
2014-11-01  510.7
2014-12-01  511.5
2015-01-01  515.0
2015-02-01  513.3
2015-03-01  512.8
2015-04-01  514.0
2015-05-01  515.7
2015-06-01  514.8
2015-07-01  518.4
2015-08-01  519.9
2015-09-01  521.1
2015-10-01  521.9
2015-11-01  522.8
2015-12-01  524.5
2016-01-01  523.8
2016-02-01  523.0
2016-03-01  523.8
2016-04-01  525.8
2016-05-01  523.4
2016-06-01  523.6
2016-07-01  524.1
2016-08-01  524.4
2016-09-01  526.1
2016-10-01  526.5
2016-11-01  528.1
2016-12-01  528.0
2017-01-01  528.4
2017-02-01  531.3
2017-03-01  531.6
2017-04-01  531.9
2017-05-01  530.8
2017-06-01  531.5
2017-07-01  530.7
2017-08-01  530.3
2017-09-01  530.6
2017-10-01  529.8
2017-11-01  528.4
2017-12-01  527.8
2018-01-01  528.2
2018-02-01  531.2
2018-03-01  530.6
2018-04-01  529.4
2018-05-01  533.6
2018-06-01  535.8
2018-07-01  536.3
2018-08-01  536.6
2018-09-01  535.5
2018-10-01  537.8
2018-11-01  539.0
