Title:               Quarterly Average of Total Assets for Commercial Banks with Assets under $5B in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           TOTASSETCGR
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:04 AM CST
Notes:               This series represents Quarterly Average of Total Assets call item
                     RCFD3368.
                     
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE          VALUE
1989-01-01  1822207
1989-04-01  1921716
1989-07-01  2004582
1989-10-01  2098208
1990-01-01  2160584
1990-04-01  2195180
1990-07-01  2276489
1990-10-01  2333191
1991-01-01  2362961
1991-04-01  2447011
1991-07-01  2204023
1991-10-01  2156601
1992-01-01  2057897
1992-04-01  2209302
1992-07-01  2297787
1992-10-01  2698833
1993-01-01  2716275
1993-04-01  2784284
1993-07-01  3457209
1993-10-01  3444776
1994-01-01  3468144
1994-04-01  3296834
1994-07-01  3665352
1994-10-01  3760400
1995-01-01  3862833
1995-04-01  2972592
1995-07-01  3250597
1995-10-01  3401582
1996-01-01  3555203
1996-04-01  3935539
1996-07-01  3971656
1996-10-01  4153509
1997-01-01  4348617
1997-04-01  3233737
1997-07-01  3407601
1997-10-01  3583638
1998-01-01  3692765
1998-04-01  3818610
1998-07-01  3749947
1998-10-01  3972841
1999-01-01  5177627
1999-04-01  5287063
1999-07-01  5174711
1999-10-01  5244598
2000-01-01  5080226
2000-04-01  4623657
2000-07-01  4743450
2000-10-01  4926967
2001-01-01  5247057
2001-04-01  5548528
2001-07-01  5762784
2001-10-01  5637126
2002-01-01  5557227
2002-04-01  5745305
2002-07-01  5620598
2002-10-01  5565999
2003-01-01  5761957
2003-04-01  6026855
2003-07-01  6007665
2003-10-01  6184271
2004-01-01  6304825
2004-04-01  6485174
2004-07-01  6627828
2004-10-01  6653720
2005-01-01  6781917
2005-04-01  7061444
2005-07-01  7301874
2005-10-01  6917859
2006-01-01  7415303
2006-04-01  7722322
2006-07-01  7244224
2006-10-01  7456155
2007-01-01  8439277
2007-04-01  8658925
2007-07-01  8834853
2007-10-01  8979461
2008-01-01  9287234
2008-04-01  4682937
2008-07-01  4921408
2008-10-01  4406656
2009-01-01  4544859
2009-04-01  4096855
2009-07-01  4150520
2009-10-01  4189377
2010-01-01  4202866
2010-04-01  4233351
2010-07-01  4319580
2010-10-01  4419091
2011-01-01  4315167
2011-04-01  4215187
2011-07-01  4169237
2011-10-01  5345657
2012-01-01  6027133
2012-04-01  5955725
2012-07-01  5879417
2012-10-01  5322997
2013-01-01  5261704
2013-04-01  7068360
2013-07-01  6879960
2013-10-01  6849552
2014-01-01  6870886
2014-04-01  6796662
2014-07-01  9077305
2014-10-01  9336950
2015-01-01  9397757
2015-04-01  9501824
2015-07-01  9652884
2015-10-01  9773063
2016-01-01  6062612
2016-04-01  6152632
2016-07-01  6204758
2016-10-01  6359862
2017-01-01  6385437
2017-04-01  6509337
2017-07-01  6534375
2017-10-01  3031132
2018-01-01  3069315
2018-04-01  3146863
2018-07-01  2832840
