Title:               Quarterly Average of Total Assets for Commercial Banks with Assets under $5B in Raleigh, NC (MSA)
Series ID:           TOTASSETRCY
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:04 AM CST
Notes:               This series represents Quarterly Average of Total Assets call item
                     RCFD3368.
                     
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE          VALUE
1989-01-01  3722365
1989-04-01  3794491
1989-07-01  3900990
1989-10-01  4022494
1990-01-01  4031293
1990-04-01  4172045
1990-07-01  4334952
1990-10-01  4906310
1991-01-01  5217698
1991-04-01  5209991
1991-07-01   494658
1991-10-01   534402
1992-01-01   555632
1992-04-01   575451
1992-07-01   661767
1992-10-01   691322
1993-01-01   705576
1993-04-01   722313
1993-07-01   726088
1993-10-01   754968
1994-01-01   897133
1994-04-01   917101
1994-07-01   937110
1994-10-01   960978
1995-01-01  1044766
1995-04-01  1360756
1995-07-01  1431185
1995-10-01  1553645
1996-01-01  1603147
1996-04-01  1577232
1996-07-01  1636506
1996-10-01  1794597
1997-01-01  1807641
1997-04-01  1914865
1997-07-01  2034533
1997-10-01  2201282
1998-01-01  2309113
1998-04-01  2454432
1998-07-01  2790991
1998-10-01  2968842
1999-01-01  3061397
1999-04-01  3202376
1999-07-01  3450812
1999-10-01  3584090
2000-01-01  1551578
2000-04-01  1684082
2000-07-01  1761190
2000-10-01  1862914
2001-01-01  1960712
2001-04-01  2069758
2001-07-01  2125074
2001-10-01  2205413
2002-01-01  2447505
2002-04-01  2546621
2002-07-01  2638166
2002-10-01  2796560
2003-01-01  2916587
2003-04-01  3010679
2003-07-01  3203809
2003-10-01  3279667
2004-01-01  3353911
2004-04-01  3458632
2004-07-01  3525368
2004-10-01  3637703
2005-01-01  3713406
2005-04-01  3854512
2005-07-01  4013524
2005-10-01  4140495
2006-01-01  4574868
2006-04-01  4805944
2006-07-01  5065658
2006-10-01  5325984
2007-01-01  5526552
2007-04-01  5988461
2007-07-01  6278496
2007-10-01  6622322
2008-01-01  7082882
2008-04-01  7592004
2008-07-01  7801493
2008-10-01  8209667
2009-01-01  8514683
2009-04-01  8623661
2009-07-01  8749550
2009-10-01  8826915
2010-01-01  8741999
2010-04-01  8624690
2010-07-01  8352697
2010-10-01  8233960
2011-01-01  8010135
2011-04-01  6197936
2011-07-01  6022370
2011-10-01  5950797
2012-01-01  5926600
2012-04-01  5964151
2012-07-01  5970264
2012-10-01  6319365
2013-01-01  6597459
2013-04-01  7389080
2013-07-01  7288332
2013-10-01  7401436
2014-01-01  7473887
2014-04-01  7227323
2014-07-01  5163001
2014-10-01  5242093
2015-01-01  5272196
2015-04-01  5286277
2015-07-01  5325679
2015-10-01  4917178
2016-01-01  4973214
2016-04-01  5099162
2016-07-01  5185708
2016-10-01  5283808
2017-01-01  5401117
2017-04-01  5496013
2017-07-01  5605930
2017-10-01  4969877
2018-01-01  3222984
2018-04-01  3289602
2018-07-01  3320960
