Title:               Quarterly Average of Total Loans for Commercial Banks with Assets under $5B in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           TOTLOANNFK
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:01 AM CST
Notes:               This series represents Quarterly Average of Total Loans, Net of
                     Unearned Income call item RCFD3360.
                     
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE          VALUE
1989-01-01  1925244
1989-04-01  1985967
1989-07-01  2042291
1989-10-01  2059403
1990-01-01  2067850
1990-04-01  2037300
1990-07-01  2056529
1990-10-01  2056598
1991-01-01  1228121
1991-04-01  1231779
1991-07-01  1246987
1991-10-01  1247292
1992-01-01  1251181
1992-04-01  1266988
1992-07-01  1265451
1992-10-01  1276696
1993-01-01  1274397
1993-04-01  1307805
1993-07-01  1329740
1993-10-01  1371804
1994-01-01  1404283
1994-04-01  1455663
1994-07-01  1507664
1994-10-01  1543013
1995-01-01  1604497
1995-04-01  1649531
1995-07-01  1686474
1995-10-01  1732228
1996-01-01  1758600
1996-04-01  1824280
1996-07-01  1881089
1996-10-01  1923300
1997-01-01  1979774
1997-04-01  2033255
1997-07-01  2069042
1997-10-01  2140322
1998-01-01  2258701
1998-04-01  3278271
1998-07-01  3855178
1998-10-01  3901648
1999-01-01  4025637
1999-04-01  4162925
1999-07-01  1914696
1999-10-01  2012612
2000-01-01  5465469
2000-04-01  2255246
2000-07-01  2363495
2000-10-01  2547262
2001-01-01  2619528
2001-04-01  2729795
2001-07-01  2808273
2001-10-01  2837958
2002-01-01  2687794
2002-04-01  2812395
2002-07-01  2912241
2002-10-01  3027901
2003-01-01  3082273
2003-04-01  3244787
2003-07-01  3390330
2003-10-01  2870458
2004-01-01  2785892
2004-04-01  3261560
2004-07-01  3439450
2004-10-01  3620480
2005-01-01  3776811
2005-04-01  3972784
2005-07-01  4237431
2005-10-01  4414984
2006-01-01  4515381
2006-04-01  4791268
2006-07-01  5054981
2006-10-01  5286359
2007-01-01  5467085
2007-04-01  5695664
2007-07-01  5817953
2007-10-01  5988336
2008-01-01  5086300
2008-04-01  5373549
2008-07-01  5696721
2008-10-01  5860019
2009-01-01  6054266
2009-04-01  7998365
2009-07-01  7994300
2009-10-01  7862731
2010-01-01  7817275
2010-04-01  7852999
2010-07-01  7894045
2010-10-01  7694144
2011-01-01  7330899
2011-04-01  7153357
2011-07-01  6158374
2011-10-01  6220896
2012-01-01  6304764
2012-04-01  6400622
2012-07-01  6550752
2012-10-01  6696599
2013-01-01  6684950
2013-04-01  6586239
2013-07-01  6431809
2013-10-01  6441260
2014-01-01  6426657
2014-04-01  6598161
2014-07-01  6610573
2014-10-01  6580271
2015-01-01  3296424
2015-04-01  3432989
2015-07-01  3362135
2015-10-01  3680555
2016-01-01  3497179
2016-04-01  2556477
2016-07-01   982089
2016-10-01   993150
2017-01-01   922826
2017-04-01   967091
2017-07-01  1006536
2017-10-01  1034247
2018-01-01  1056516
2018-04-01  1042981
2018-07-01  1038802
