Title:               Quarterly Average of Total Loans for Commercial Banks with Assets under $5B in Raleigh, NC (MSA)
Series ID:           TOTLOANRCY
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:01 AM CST
Notes:               This series represents Quarterly Average of Total Loans, Net of
                     Unearned Income call item RCFD3360.
                     
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE          VALUE
1989-01-01  2089638
1989-04-01  2174148
1989-07-01  2253796
1989-10-01  2337943
1990-01-01  2448714
1990-04-01  2548569
1990-07-01  2620952
1990-10-01  2897748
1991-01-01  2917772
1991-04-01  2932449
1991-07-01   293777
1991-10-01   305108
1992-01-01   347706
1992-04-01   365629
1992-07-01   432962
1992-10-01   447373
1993-01-01   477883
1993-04-01   491511
1993-07-01   502868
1993-10-01   506585
1994-01-01   616805
1994-04-01   638525
1994-07-01   665642
1994-10-01   702974
1995-01-01   732405
1995-04-01   972252
1995-07-01  1007001
1995-10-01  1086950
1996-01-01  1135234
1996-04-01  1072789
1996-07-01  1105808
1996-10-01  1196982
1997-01-01  1212702
1997-04-01  1287981
1997-07-01  1366076
1997-10-01  1414086
1998-01-01  1446495
1998-04-01  1580103
1998-07-01  1881596
1998-10-01  1964978
1999-01-01  2070427
1999-04-01  2174477
1999-07-01  2310734
1999-10-01  2404879
2000-01-01  1100955
2000-04-01  1184761
2000-07-01  1276785
2000-10-01  1349426
2001-01-01  1395755
2001-04-01  1456252
2001-07-01  1501554
2001-10-01  1584910
2002-01-01  1772966
2002-04-01  1870157
2002-07-01  1944007
2002-10-01  2022791
2003-01-01  2148708
2003-04-01  2202188
2003-07-01  2316527
2003-10-01  2385770
2004-01-01  2468363
2004-04-01  2555837
2004-07-01  2632849
2004-10-01  2697248
2005-01-01  2770110
2005-04-01  2855390
2005-07-01  2940143
2005-10-01  3053010
2006-01-01  3445819
2006-04-01  3620577
2006-07-01  3782391
2006-10-01  3946873
2007-01-01  4118195
2007-04-01  4450301
2007-07-01  4655084
2007-10-01  4994977
2008-01-01  5375851
2008-04-01  5745412
2008-07-01  5974837
2008-10-01  6229419
2009-01-01  6397776
2009-04-01  6450042
2009-07-01  6516376
2009-10-01  6569645
2010-01-01  6444927
2010-04-01  6317845
2010-07-01  6146186
2010-10-01  5963927
2011-01-01  5555397
2011-04-01  4261771
2011-07-01  4138677
2011-10-01  3946642
2012-01-01  3926959
2012-04-01  3884676
2012-07-01  3940066
2012-10-01  4176083
2013-01-01  4178375
2013-04-01  4721692
2013-07-01  4794848
2013-10-01  4824679
2014-01-01  4912875
2014-04-01  4637000
2014-07-01  3301161
2014-10-01  3321153
2015-01-01  3410252
2015-04-01  3502054
2015-07-01  3533163
2015-10-01  3271927
2016-01-01  3335826
2016-04-01  3431992
2016-07-01  3527712
2016-10-01  3641219
2017-01-01  3703859
2017-04-01  3792878
2017-07-01  3897694
2017-10-01  3485759
2018-01-01  2115301
2018-04-01  2158450
2018-07-01  2208705
