Title:               Number of Civilians Unemployed for 15 Weeks or Longer for North Carolina
Series ID:           UNEMP15NC
Source:              U.S. Bureau of Labor Statistics
Release:             Alternative Measures of Labor Underutilization for States
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Persons, 4-Quarter Moving Average
Date Range:          2003-10-01 to 2018-01-01
Last Updated:        2018-04-27 10:31 AM CDT
Notes:               

DATE         VALUE
2003-10-01  113400
2004-01-01  109800
2004-04-01  102500
2004-07-01   88400
2004-10-01   80000
2005-01-01   82200
2005-04-01   78500
2005-07-01   79700
2005-10-01   75900
2006-01-01   69000
2006-04-01   68700
2006-07-01   70800
2006-10-01   75700
2007-01-01   78800
2007-04-01   79600
2007-07-01   77100
2007-10-01   72000
2008-01-01   74800
2008-04-01   81200
2008-07-01   95400
2008-10-01  117300
2009-01-01  150200
2009-04-01  192100
2009-07-01  234000
2009-10-01  273600
2010-01-01  292400
2010-04-01  301200
2010-07-01  306700
2010-10-01  297900
2011-01-01  295300
2011-04-01  295100
2011-07-01  295600
2011-10-01  297500
2012-01-01  294200
2012-04-01  285700
2012-07-01  269000
2012-10-01  266400
2013-01-01  265100
2013-04-01  253800
2013-07-01  240300
2013-10-01  212800
2014-01-01  186500
2014-04-01  172700
2014-07-01  163200
2014-10-01  147800
2015-01-01  139600
2015-04-01  130500
2015-07-01  121500
2015-10-01  123400
2016-01-01  123400
2016-04-01  118500
2016-07-01  110200
2016-10-01  110500
2017-01-01  104700
2017-04-01   96700
2017-07-01   97000
2017-10-01   88700
2018-01-01   81400
