Title:               New Patent Assignments in Durham County, NC
Series ID:           USPTOISSUED037063
Source:              U.S. Patent and Trademark Office
Release:             New Patent Assignments (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Patents
Date Range:          1980-09-01 to 2018-01-01
Last Updated:        2018-05-29 9:51 AM CDT
Notes:               

DATE       VALUE
1980-09-01     4
1980-10-01     3
1980-11-01     2
1980-12-01     .
1981-01-01     2
1981-02-01     3
1981-03-01     5
1981-04-01     .
1981-05-01     3
1981-06-01     2
1981-07-01     1
1981-08-01     5
1981-09-01     4
1981-10-01     1
1981-11-01     6
1981-12-01    12
1982-01-01     1
1982-02-01     5
1982-03-01     2
1982-04-01     1
1982-05-01     .
1982-06-01     4
1982-07-01     6
1982-08-01     2
1982-09-01     3
1982-10-01     1
1982-11-01     3
1982-12-01     4
1983-01-01     3
1983-02-01     4
1983-03-01     2
1983-04-01     3
1983-05-01     3
1983-06-01    17
1983-07-01     2
1983-08-01     5
1983-09-01     5
1983-10-01     4
1983-11-01     8
1983-12-01    10
1984-01-01     3
1984-02-01    10
1984-03-01     4
1984-04-01     2
1984-05-01     3
1984-06-01     4
1984-07-01     6
1984-08-01     8
1984-09-01     2
1984-10-01     3
1984-11-01     5
1984-12-01     7
1985-01-01     3
1985-02-01     2
1985-03-01     9
1985-04-01     6
1985-05-01     4
1985-06-01     8
1985-07-01     4
1985-08-01     4
1985-09-01     6
1985-10-01     4
1985-11-01     4
1985-12-01     8
1986-01-01     5
1986-02-01     2
1986-03-01     2
1986-04-01     5
1986-05-01     2
1986-06-01     8
1986-07-01     3
1986-08-01     5
1986-09-01     9
1986-10-01    11
1986-11-01     6
1986-12-01    10
1987-01-01     8
1987-02-01     1
1987-03-01     7
1987-04-01     4
1987-05-01    11
1987-06-01    15
1987-07-01     3
1987-08-01     9
1987-09-01     1
1987-10-01     6
1987-11-01     6
1987-12-01     4
1988-01-01     4
1988-02-01     5
1988-03-01     5
1988-04-01     8
1988-05-01    16
1988-06-01     7
1988-07-01     1
1988-08-01     5
1988-09-01     1
1988-10-01     5
1988-11-01    12
1988-12-01     5
1989-01-01    11
1989-02-01    17
1989-03-01    12
1989-04-01     5
1989-05-01     9
1989-06-01     8
1989-07-01     6
1989-08-01    13
1989-09-01     4
1989-10-01    13
1989-11-01    12
1989-12-01     6
1990-01-01     9
1990-02-01     5
1990-03-01     9
1990-04-01    10
1990-05-01     9
1990-06-01    13
1990-07-01    16
1990-08-01     5
1990-09-01     8
1990-10-01     8
1990-11-01    13
1990-12-01    11
1991-01-01     8
1991-02-01     8
1991-03-01    14
1991-04-01     9
1991-05-01     4
1991-06-01     9
1991-07-01    11
1991-08-01    17
1991-09-01    14
1991-10-01    11
1991-11-01     6
1991-12-01     7
1992-01-01    13
1992-02-01    12
1992-03-01     8
1992-04-01    18
1992-05-01     3
1992-06-01     6
1992-07-01    10
1992-08-01    17
1992-09-01    11
1992-10-01     7
1992-11-01    17
1992-12-01    14
1993-01-01     8
1993-02-01     5
1993-03-01    17
1993-04-01    22
1993-05-01    21
1993-06-01    10
1993-07-01    14
1993-08-01     6
1993-09-01    16
1993-10-01    12
1993-11-01    12
1993-12-01    17
1994-01-01    18
1994-02-01    15
1994-03-01    20
1994-04-01    10
1994-05-01    19
1994-06-01    16
1994-07-01    17
1994-08-01    26
1994-09-01    13
1994-10-01    18
1994-11-01    25
1994-12-01    13
1995-01-01    17
1995-02-01    15
1995-03-01    20
1995-04-01    25
1995-05-01    32
1995-06-01    31
1995-07-01    21
1995-08-01    56
1995-09-01    34
1995-10-01    48
1995-11-01    19
1995-12-01    22
1996-01-01    14
1996-02-01    25
1996-03-01    35
1996-04-01    24
1996-05-01    41
1996-06-01    32
1996-07-01    38
1996-08-01    45
1996-09-01    48
1996-10-01    39
1996-11-01    34
1996-12-01    43
1997-01-01    37
1997-02-01    43
1997-03-01    54
1997-04-01    35
1997-05-01    43
1997-06-01    38
1997-07-01    35
1997-08-01    24
1997-09-01    40
1997-10-01    43
1997-11-01    59
1997-12-01    22
1998-01-01    33
1998-02-01    35
1998-03-01    50
1998-04-01    49
1998-05-01    49
1998-06-01    87
1998-07-01    65
1998-08-01    47
1998-09-01    51
1998-10-01    82
1998-11-01    48
1998-12-01    70
1999-01-01    31
1999-02-01    40
1999-03-01    74
1999-04-01    45
1999-05-01    59
1999-06-01    53
1999-07-01    52
1999-08-01    49
1999-09-01    42
1999-10-01    70
1999-11-01    56
1999-12-01    51
2000-01-01    55
2000-02-01    58
2000-03-01    68
2000-04-01    62
2000-05-01    58
2000-06-01    54
2000-07-01    86
2000-08-01    93
2000-09-01    57
2000-10-01    61
2000-11-01    39
2000-12-01    33
2001-01-01   102
2001-02-01    54
2001-03-01    72
2001-04-01    95
2001-05-01    73
2001-06-01    65
2001-07-01    78
2001-08-01    92
2001-09-01    79
2001-10-01    76
2001-11-01    33
2001-12-01    54
2002-01-01   130
2002-02-01   118
2002-03-01   111
2002-04-01    99
2002-05-01    87
2002-06-01    86
2002-07-01    98
2002-08-01    87
2002-09-01    94
2002-10-01    97
2002-11-01    78
2002-12-01   125
2003-01-01   110
2003-02-01   108
2003-03-01   116
2003-04-01   101
2003-05-01   115
2003-06-01   106
2003-07-01    94
2003-08-01   119
2003-09-01   115
2003-10-01   127
2003-11-01    64
2003-12-01    61
2004-01-01    56
2004-02-01   100
2004-03-01    80
2004-04-01   136
2004-05-01   133
2004-06-01   186
2004-07-01    93
2004-08-01   166
2004-09-01    83
2004-10-01   131
2004-11-01   111
2004-12-01   111
2005-01-01   113
2005-02-01    87
2005-03-01   122
2005-04-01   133
2005-05-01    96
2005-06-01    92
2005-07-01    82
2005-08-01    91
2005-09-01   113
2005-10-01    96
2005-11-01   114
2005-12-01    92
2006-01-01   104
2006-02-01   117
2006-03-01   111
2006-04-01   102
2006-05-01   128
2006-06-01   117
2006-07-01    88
2006-08-01    85
2006-09-01    86
2006-10-01   110
2006-11-01   107
2006-12-01   113
2007-01-01   131
2007-02-01    91
2007-03-01    89
2007-04-01    74
2007-05-01   111
2007-06-01   112
2007-07-01    70
2007-08-01   108
2007-09-01    89
2007-10-01   105
2007-11-01   111
2007-12-01    62
2008-01-01   114
2008-02-01   114
2008-03-01   145
2008-04-01    91
2008-05-01    76
2008-06-01   100
2008-07-01   103
2008-08-01   120
2008-09-01   125
2008-10-01   110
2008-11-01   101
2008-12-01   105
2009-01-01    89
2009-02-01   152
2009-03-01   141
2009-04-01    88
2009-05-01   106
2009-06-01   111
2009-07-01   130
2009-08-01    89
2009-09-01   103
2009-10-01   163
2009-11-01   116
2009-12-01    99
2010-01-01   101
2010-02-01   141
2010-03-01   136
2010-04-01   104
2010-05-01    98
2010-06-01   125
2010-07-01   153
2010-08-01   150
2010-09-01   117
2010-10-01   177
2010-11-01   121
2010-12-01   103
2011-01-01   159
2011-02-01   153
2011-03-01   131
2011-04-01   180
2011-05-01   118
2011-06-01   110
2011-07-01   112
2011-08-01   242
2011-09-01   150
2011-10-01   179
2011-11-01   119
2011-12-01    97
2012-01-01   181
2012-02-01   171
2012-03-01   138
2012-04-01   124
2012-05-01   146
2012-06-01   160
2012-07-01   155
2012-08-01   179
2012-09-01   131
2012-10-01   133
2012-11-01   152
2012-12-01   144
2013-01-01   138
2013-02-01   154
2013-03-01   204
2013-04-01   177
2013-05-01   186
2013-06-01   156
2013-07-01   192
2013-08-01   174
2013-09-01   152
2013-10-01   154
2013-11-01   156
2013-12-01   110
2014-01-01   186
2014-02-01   169
2014-03-01   207
2014-04-01   213
2014-05-01   154
2014-06-01   155
2014-07-01   175
2014-08-01   169
2014-09-01   166
2014-10-01   145
2014-11-01   124
2014-12-01   144
2015-01-01   161
2015-02-01   162
2015-03-01   203
2015-04-01   174
2015-05-01   118
2015-06-01   143
2015-07-01   229
2015-08-01   174
2015-09-01   275
2015-10-01   213
2015-11-01   195
2015-12-01   203
2016-01-01   197
2016-02-01   286
2016-03-01   239
2016-04-01   133
2016-05-01   198
2016-06-01   198
2016-07-01   121
2016-08-01   132
2016-09-01   190
2016-10-01   156
2016-11-01   127
2016-12-01   156
2017-01-01   130
2017-02-01   118
2017-03-01   241
2017-04-01   116
2017-05-01   165
2017-06-01   106
2017-07-01   106
2017-08-01   164
2017-09-01   102
2017-10-01    71
2017-11-01    52
2017-12-01    32
2018-01-01    18
