Title:               New Patent Assignments in Mecklenburg County, NC
Series ID:           USPTOISSUED037119
Source:              U.S. Patent and Trademark Office
Release:             New Patent Assignments (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Patents
Date Range:          1980-08-01 to 2018-01-01
Last Updated:        2018-05-29 9:51 AM CDT
Notes:               

DATE       VALUE
1980-08-01     1
1980-09-01     9
1980-10-01     8
1980-11-01     8
1980-12-01     5
1981-01-01     6
1981-02-01    11
1981-03-01     9
1981-04-01     7
1981-05-01     6
1981-06-01     8
1981-07-01    10
1981-08-01     5
1981-09-01    10
1981-10-01    29
1981-11-01     7
1981-12-01     5
1982-01-01     8
1982-02-01     7
1982-03-01    16
1982-04-01    10
1982-05-01     6
1982-06-01    12
1982-07-01    10
1982-08-01     6
1982-09-01    19
1982-10-01    14
1982-11-01     5
1982-12-01     6
1983-01-01    10
1983-02-01     9
1983-03-01    12
1983-04-01    12
1983-05-01    17
1983-06-01    18
1983-07-01    12
1983-08-01     7
1983-09-01    12
1983-10-01    10
1983-11-01    22
1983-12-01    19
1984-01-01    16
1984-02-01    18
1984-03-01    14
1984-04-01    17
1984-05-01    26
1984-06-01    13
1984-07-01    15
1984-08-01    16
1984-09-01    16
1984-10-01    12
1984-11-01    16
1984-12-01    18
1985-01-01    11
1985-02-01    19
1985-03-01    17
1985-04-01     9
1985-05-01    17
1985-06-01    19
1985-07-01    11
1985-08-01    17
1985-09-01    24
1985-10-01    13
1985-11-01    24
1985-12-01    11
1986-01-01    19
1986-02-01    18
1986-03-01    10
1986-04-01    16
1986-05-01    28
1986-06-01    16
1986-07-01    14
1986-08-01    15
1986-09-01    15
1986-10-01    29
1986-11-01    22
1986-12-01    14
1987-01-01    27
1987-02-01    24
1987-03-01    17
1987-04-01    13
1987-05-01     8
1987-06-01    19
1987-07-01    14
1987-08-01    27
1987-09-01    20
1987-10-01    22
1987-11-01    15
1987-12-01    22
1988-01-01    26
1988-02-01    17
1988-03-01    26
1988-04-01    10
1988-05-01    24
1988-06-01    32
1988-07-01    22
1988-08-01    20
1988-09-01    31
1988-10-01    26
1988-11-01    25
1988-12-01    30
1989-01-01    12
1989-02-01    29
1989-03-01    32
1989-04-01    32
1989-05-01    39
1989-06-01    36
1989-07-01    24
1989-08-01    40
1989-09-01    12
1989-10-01    24
1989-11-01    25
1989-12-01    28
1990-01-01    18
1990-02-01    42
1990-03-01    28
1990-04-01    23
1990-05-01    22
1990-06-01    27
1990-07-01    45
1990-08-01    49
1990-09-01    20
1990-10-01    19
1990-11-01    45
1990-12-01    31
1991-01-01    28
1991-02-01    36
1991-03-01    25
1991-04-01    39
1991-05-01    32
1991-06-01    32
1991-07-01    34
1991-08-01    22
1991-09-01    33
1991-10-01    34
1991-11-01    37
1991-12-01    32
1992-01-01    26
1992-02-01    35
1992-03-01    35
1992-04-01    38
1992-05-01    28
1992-06-01    42
1992-07-01    37
1992-08-01    45
1992-09-01    40
1992-10-01    32
1992-11-01    36
1992-12-01    42
1993-01-01    50
1993-02-01    31
1993-03-01    53
1993-04-01    34
1993-05-01    38
1993-06-01    35
1993-07-01    46
1993-08-01    39
1993-09-01    35
1993-10-01    32
1993-11-01    46
1993-12-01    54
1994-01-01    36
1994-02-01    45
1994-03-01    47
1994-04-01    39
1994-05-01    56
1994-06-01    62
1994-07-01    50
1994-08-01    65
1994-09-01    42
1994-10-01    49
1994-11-01    39
1994-12-01    37
1995-01-01    48
1995-02-01    35
1995-03-01    69
1995-04-01    55
1995-05-01    51
1995-06-01    31
1995-07-01    30
1995-08-01    58
1995-09-01    50
1995-10-01    57
1995-11-01    53
1995-12-01    46
1996-01-01    40
1996-02-01    48
1996-03-01    67
1996-04-01    59
1996-05-01    57
1996-06-01    47
1996-07-01    68
1996-08-01    95
1996-09-01    76
1996-10-01    68
1996-11-01    67
1996-12-01    65
1997-01-01    47
1997-02-01    78
1997-03-01    98
1997-04-01    59
1997-05-01    88
1997-06-01    75
1997-07-01    41
1997-08-01    51
1997-09-01    57
1997-10-01    48
1997-11-01    36
1997-12-01    36
1998-01-01    52
1998-02-01    52
1998-03-01    96
1998-04-01    53
1998-05-01    75
1998-06-01    67
1998-07-01    69
1998-08-01    79
1998-09-01    70
1998-10-01    75
1998-11-01    70
1998-12-01    78
1999-01-01    55
1999-02-01    70
1999-03-01    66
1999-04-01    68
1999-05-01    81
1999-06-01    79
1999-07-01    52
1999-08-01    78
1999-09-01    93
1999-10-01    71
1999-11-01    78
1999-12-01    92
2000-01-01    58
2000-02-01    53
2000-03-01    65
2000-04-01    63
2000-05-01    62
2000-06-01   102
2000-07-01    70
2000-08-01    80
2000-09-01    66
2000-10-01   101
2000-11-01    64
2000-12-01    78
2001-01-01    74
2001-02-01    77
2001-03-01   104
2001-04-01    76
2001-05-01    67
2001-06-01    90
2001-07-01    78
2001-08-01   116
2001-09-01    68
2001-10-01    96
2001-11-01    42
2001-12-01    49
2002-01-01   109
2002-02-01    88
2002-03-01    90
2002-04-01    84
2002-05-01    88
2002-06-01    96
2002-07-01    93
2002-08-01   106
2002-09-01   109
2002-10-01    88
2002-11-01   140
2002-12-01   130
2003-01-01   112
2003-02-01    97
2003-03-01   108
2003-04-01    90
2003-05-01   110
2003-06-01   124
2003-07-01   107
2003-08-01   110
2003-09-01    97
2003-10-01    87
2003-11-01    98
2003-12-01    88
2004-01-01    93
2004-02-01   105
2004-03-01   137
2004-04-01   115
2004-05-01   113
2004-06-01   139
2004-07-01   112
2004-08-01   144
2004-09-01   107
2004-10-01   135
2004-11-01    98
2004-12-01   107
2005-01-01   102
2005-02-01   102
2005-03-01   144
2005-04-01   113
2005-05-01   141
2005-06-01   156
2005-07-01   119
2005-08-01   144
2005-09-01   109
2005-10-01   148
2005-11-01   106
2005-12-01    85
2006-01-01    76
2006-02-01    93
2006-03-01   108
2006-04-01   108
2006-05-01   124
2006-06-01   149
2006-07-01   123
2006-08-01    89
2006-09-01    87
2006-10-01    90
2006-11-01   126
2006-12-01   134
2007-01-01   101
2007-02-01   134
2007-03-01   182
2007-04-01   221
2007-05-01   157
2007-06-01   123
2007-07-01   108
2007-08-01   151
2007-09-01   118
2007-10-01   131
2007-11-01   104
2007-12-01   154
2008-01-01   133
2008-02-01   131
2008-03-01   102
2008-04-01   135
2008-05-01   136
2008-06-01   134
2008-07-01   127
