Title:               New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           VIRG251BP1FH
Source:              U.S. Bureau of the Census
Release:             Housing Units Authorized By Building Permits (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Units
Date Range:          1993-01-01 to 2018-10-01
Last Updated:        2018-11-28 8:01 AM CST
Notes:               The Saint Louis Federal Reserve Bank uses the most recent Metropolitan
                     Statistical Area definitions released by the Office of Management and
                     Budget. For more information on specific definitions visit
                     https://census.gov/programs-surveys/metro-micro.html.

DATE       VALUE
1993-01-01   569
1993-02-01   597
1993-03-01   676
1993-04-01   692
1993-05-01   616
1993-06-01   753
1993-07-01   683
1993-08-01   887
1993-09-01   679
1993-10-01   730
1993-11-01   650
1993-12-01   573
1994-01-01   530
1994-02-01   538
1994-03-01   828
1994-04-01   757
1994-05-01   726
1994-06-01   702
1994-07-01   523
1994-08-01   515
1994-09-01   648
1994-10-01   531
1994-11-01   486
1994-12-01   443
1995-01-01   418
1995-02-01   405
1995-03-01   634
1995-04-01   504
1995-05-01   547
1995-06-01   616
1995-07-01   599
1995-08-01   618
1995-09-01   534
1995-10-01   497
1995-11-01   519
1995-12-01   440
1996-01-01   390
1996-02-01   553
1996-03-01   623
1996-04-01   759
1996-05-01   571
1996-06-01   706
1996-07-01   525
1996-08-01   628
1996-09-01   482
1996-10-01   553
1996-11-01   447
1996-12-01   444
1997-01-01   467
1997-02-01   573
1997-03-01   523
1997-04-01   593
1997-05-01   551
1997-06-01   572
1997-07-01   577
1997-08-01   515
1997-09-01   601
1997-10-01   595
1997-11-01   480
1997-12-01   481
1998-01-01   536
1998-02-01   562
1998-03-01   688
1998-04-01   642
1998-05-01   544
1998-06-01   621
1998-07-01   569
1998-08-01   544
1998-09-01   718
1998-10-01   632
1998-11-01   516
1998-12-01   578
1999-01-01   491
1999-02-01   654
1999-03-01   740
1999-04-01   723
1999-05-01   883
1999-06-01   747
1999-07-01   593
1999-08-01   582
1999-09-01   590
1999-10-01   508
1999-11-01   522
1999-12-01   455
2000-01-01   417
2000-02-01   581
2000-03-01   720
2000-04-01   556
2000-05-01   656
2000-06-01   531
2000-07-01   462
2000-08-01   559
2000-09-01   558
2000-10-01   526
2000-11-01   481
2000-12-01   412
2001-01-01   501
2001-02-01   497
2001-03-01   681
2001-04-01   633
2001-05-01   581
2001-06-01   563
2001-07-01   528
2001-08-01   572
2001-09-01   451
2001-10-01   580
2001-11-01   711
2001-12-01   485
2002-01-01   486
2002-02-01   627
2002-03-01   691
2002-04-01   757
2002-05-01   728
2002-06-01   604
2002-07-01   657
2002-08-01   670
2002-09-01   617
2002-10-01   690
2002-11-01   557
2002-12-01   561
2003-01-01   624
2003-02-01   716
2003-03-01   628
2003-04-01   712
2003-05-01   597
2003-06-01   703
2003-07-01   723
2003-08-01   740
2003-09-01   588
2003-10-01   618
2003-11-01   608
2003-12-01   759
2004-01-01   565
2004-02-01   547
2004-03-01   923
2004-04-01   675
2004-05-01   601
2004-06-01   719
2004-07-01   660
2004-08-01   619
2004-09-01   716
2004-10-01   782
2004-11-01   484
2004-12-01   554
2005-01-01   539
2005-02-01   483
2005-03-01   678
2005-04-01   712
2005-05-01   703
2005-06-01   769
2005-07-01   657
2005-08-01   694
2005-09-01   646
2005-10-01   635
2005-11-01   554
2005-12-01   649
2006-01-01   601
2006-02-01   566
2006-03-01   667
2006-04-01   510
2006-05-01   576
2006-06-01   438
2006-07-01   428
2006-08-01   466
2006-09-01   387
2006-10-01   556
2006-11-01   366
2006-12-01   331
2007-01-01   380
2007-02-01   391
2007-03-01   534
2007-04-01   404
2007-05-01   510
2007-06-01   405
2007-07-01   379
2007-08-01   372
2007-09-01   323
2007-10-01   354
2007-11-01   244
2007-12-01   213
2008-01-01   307
2008-02-01   375
2008-03-01   293
2008-04-01   290
2008-05-01   303
2008-06-01   303
2008-07-01   255
2008-08-01   314
