Title:               New Private Housing Units Authorized by Building Permits for Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           VIRG251BPPRIV
Source:              U.S. Bureau of the Census
Release:             Housing Units Authorized By Building Permits (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Units
Date Range:          1993-01-01 to 2018-10-01
Last Updated:        2018-11-28 8:01 AM CST
Notes:               The Saint Louis Federal Reserve Bank uses the most recent Metropolitan
                     Statistical Area definitions released by the Office of Management and
                     Budget. For more information on specific definitions visit
                     https://census.gov/programs-surveys/metro-micro.html.

DATE       VALUE
1993-01-01   618
1993-02-01   765
1993-03-01   749
1993-04-01   759
1993-05-01   784
1993-06-01   887
1993-07-01  1040
1993-08-01  1286
1993-09-01   761
1993-10-01   811
1993-11-01   706
1993-12-01   732
1994-01-01   814
1994-02-01   796
1994-03-01   917
1994-04-01   828
1994-05-01   761
1994-06-01   732
1994-07-01   598
1994-08-01   664
1994-09-01  1120
1994-10-01   649
1994-11-01   521
1994-12-01   487
1995-01-01   706
1995-02-01   474
1995-03-01  1196
1995-04-01   637
1995-05-01   624
1995-06-01   740
1995-07-01   645
1995-08-01   673
1995-09-01   668
1995-10-01   755
1995-11-01   726
1995-12-01   616
1996-01-01   432
1996-02-01   636
1996-03-01   767
1996-04-01  1127
1996-05-01   623
1996-06-01   729
1996-07-01   628
1996-08-01   653
1996-09-01   528
1996-10-01   679
1996-11-01   513
1996-12-01   570
1997-01-01   540
1997-02-01   630
1997-03-01   621
1997-04-01   630
1997-05-01   662
1997-06-01   634
1997-07-01   642
1997-08-01   656
1997-09-01   764
1997-10-01   638
1997-11-01   544
1997-12-01   613
1998-01-01   571
1998-02-01   673
1998-03-01   739
1998-04-01   727
1998-05-01   574
1998-06-01   732
1998-07-01   677
1998-08-01   611
1998-09-01   955
1998-10-01   718
1998-11-01   747
1998-12-01   641
1999-01-01   538
1999-02-01   697
1999-03-01   798
1999-04-01   768
1999-05-01   896
1999-06-01   990
1999-07-01   697
1999-08-01   635
1999-09-01   645
1999-10-01   525
1999-11-01   550
1999-12-01   476
2000-01-01   458
2000-02-01   675
2000-03-01   989
2000-04-01   597
2000-05-01   698
2000-06-01   557
2000-07-01   495
2000-08-01   599
2000-09-01   593
2000-10-01   555
2000-11-01   521
2000-12-01   457
2001-01-01   530
2001-02-01   668
2001-03-01   704
2001-04-01   733
2001-05-01   608
2001-06-01   602
2001-07-01   682
2001-08-01   878
2001-09-01   619
2001-10-01   714
2001-11-01   734
2001-12-01   510
2002-01-01   514
2002-02-01   678
2002-03-01  1717
2002-04-01   791
2002-05-01   794
2002-06-01   906
2002-07-01   722
2002-08-01   717
2002-09-01   646
2002-10-01  1088
2002-11-01   605
2002-12-01   729
2003-01-01   932
2003-02-01   752
2003-03-01   664
2003-04-01  1036
2003-05-01   678
2003-06-01   987
2003-07-01   807
2003-08-01   968
2003-09-01   647
2003-10-01  1183
2003-11-01   767
2003-12-01  1201
2004-01-01   639
2004-02-01   670
2004-03-01  1156
2004-04-01  1291
2004-05-01  1035
2004-06-01  1048
2004-07-01   856
2004-08-01   681
2004-09-01   854
2004-10-01  1031
2004-11-01   895
2004-12-01   695
2005-01-01   603
2005-02-01   696
2005-03-01  1128
2005-04-01   869
2005-05-01   824
2005-06-01   869
2005-07-01   795
2005-08-01   956
2005-09-01   831
2005-10-01  1159
2005-11-01   630
2005-12-01   930
2006-01-01   721
2006-02-01   628
2006-03-01   961
2006-04-01   628
2006-05-01   693
2006-06-01   630
2006-07-01   509
2006-08-01   568
2006-09-01   523
2006-10-01   833
2006-11-01   644
2006-12-01   521
2007-01-01   776
2007-02-01   694
2007-03-01   643
2007-04-01   502
2007-05-01   602
2007-06-01   470
2007-07-01   601
2007-08-01   405
2007-09-01   351
2007-10-01   636
2007-11-01   318
2007-12-01   278
2008-01-01   551
2008-02-01   407
2008-03-01   405
2008-04-01   403
2008-05-01   377
2008-06-01   953
2008-07-01   345
2008-08-01   583
2008-09-01   373
2008-10-01   349
2008-11-01   158
2008-12-01   141
2009-01-01   164
2009-02-01   708
2009-03-01   298
2009-04-01   488
2009-05-01   405
2009-06-01   494
2009-07-01   581
2009-08-01   345
2009-09-01   262
2009-10-01   254
2009-11-01   558
2009-12-01   443
2010-01-01   267
2010-02-01   268
2010-03-01   590
2010-04-01   470
2010-05-01   261
