Title:               Civilian Labor Force in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           VIRG251LF
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Smoothed Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 1:41 PM CST
Notes:               

DATE          VALUE
1990-01-01   677652
1990-02-01   677026
1990-03-01   676799
1990-04-01   677421
1990-05-01   677527
1990-06-01   678560
1990-07-01   682668
1990-08-01   687267
1990-09-01   689523
1990-10-01   691145
1990-11-01   694506
1990-12-01   697514
1991-01-01   697649
1991-02-01   697333
1991-03-01   697922
1991-04-01   698671
1991-05-01   700197
1991-06-01   702192
1991-07-01   703834
1991-08-01   706266
1991-09-01   709842
1991-10-01   712910
1991-11-01   714451
1991-12-01   715320
1992-01-01   717707
1992-02-01   720596
1992-03-01   721256
1992-04-01   720374
1992-05-01   719673
1992-06-01   720494
1992-07-01   721898
1992-08-01   720892
1992-09-01   718192
1992-10-01   716690
1992-11-01   717888
1992-12-01   718690
1993-01-01   716808
1993-02-01   715630
1993-03-01   715376
1993-04-01   715245
1993-05-01   716454
1993-06-01   716202
1993-07-01   713150
1993-08-01   709921
1993-09-01   708076
1993-10-01   708334
1993-11-01   709746
1993-12-01   713088
1994-01-01   717933
1994-02-01   719642
1994-03-01   719739
1994-04-01   721630
1994-05-01   723050
1994-06-01   722818
1994-07-01   723493
1994-08-01   726186
1994-09-01   728065
1994-10-01   728040
1994-11-01   727183
1994-12-01   726990
1995-01-01   728036
1995-02-01   728667
1995-03-01   729722
1995-04-01   730595
1995-05-01   729277
1995-06-01   727602
1995-07-01   725994
1995-08-01   724266
1995-09-01   724233
1995-10-01   725144
1995-11-01   724032
1995-12-01   721137
1996-01-01   719419
1996-02-01   719499
1996-03-01   719925
1996-04-01   720310
1996-05-01   721288
1996-06-01   723432
1996-07-01   725517
1996-08-01   726797
1996-09-01   728927
1996-10-01   730391
1996-11-01   729791
1996-12-01   729925
1997-01-01   731338
1997-02-01   733391
1997-03-01   736027
1997-04-01   737525
1997-05-01   738431
1997-06-01   738462
1997-07-01   736557
1997-08-01   734968
1997-09-01   734357
1997-10-01   734413
1997-11-01   735223
1997-12-01   735634
1998-01-01   735525
1998-02-01   736305
1998-03-01   737075
1998-04-01   737599
1998-05-01   739312
1998-06-01   741814
1998-07-01   745122
1998-08-01   748172
1998-09-01   749230
1998-10-01   748432
1998-11-01   747461
1998-12-01   746823
1999-01-01   746220
1999-02-01   746077
1999-03-01   746186
1999-04-01   746506
1999-05-01   746498
1999-06-01   745944
1999-07-01   745083
1999-08-01   744364
1999-09-01   744417
1999-10-01   745112
1999-11-01   746064
1999-12-01   746939
2000-01-01   729952
2000-02-01   730965
2000-03-01   730124
2000-04-01   727172
2000-05-01   724218
2000-06-01   722738
2000-07-01   722570
2000-08-01   723393
2000-09-01   724938
2000-10-01   727813
2000-11-01   732050
2000-12-01   735990
2001-01-01   738125
2001-02-01   739757
2001-03-01   742022
2001-04-01   743108
2001-05-01   742696
2001-06-01   742959
2001-07-01   743525
2001-08-01   744152
2001-09-01   746966
2001-10-01   750381
2001-11-01   752908
2001-12-01   753160
2002-01-01   753182
2002-02-01   756187
2002-03-01   758073
2002-04-01   758966
2002-05-01   760373
2002-06-01   760027
2002-07-01   760291
2002-08-01   763117
2002-09-01   766255
2002-10-01   767782
2002-11-01   768142
2002-12-01   769871
2003-01-01   772399
2003-02-01   773193
2003-03-01   771105
2003-04-01   767536
2003-05-01   766198
2003-06-01   766058
2003-07-01   764872
2003-08-01   763972
2003-09-01   764387
2003-10-01   766978
2003-11-01   769642
2003-12-01   771448
2004-01-01   773571
2004-02-01   773282
2004-03-01   771669
2004-04-01   771385
2004-05-01   771917
2004-06-01   773722
2004-07-01   776220
2004-08-01   777222
2004-09-01   777231
2004-10-01   778658
2004-11-01   780741
2004-12-01   781040
2005-01-01   780231
2005-02-01   780940
2005-03-01   784385
2005-04-01   789430
2005-05-01   793259
2005-06-01   795212
2005-07-01   797325
2005-08-01   799745
2005-09-01   799959
2005-10-01   797630
2005-11-01   795255
2005-12-01   794351
2006-01-01   794712
2006-02-01   795718
2006-03-01   797527
2006-04-01   799817
2006-05-01   801910
2006-06-01   802940
2006-07-01   803261
2006-08-01   804570
2006-09-01   806894
2006-10-01   809227
2006-11-01   810353
2006-12-01   810504
2007-01-01   809631
2007-02-01   808552
2007-03-01   808736
2007-04-01   808937
2007-05-01   809724
2007-06-01   813239
2007-07-01   817040
2007-08-01   818922
2007-09-01   819234
2007-10-01   818328
2007-11-01   818612
2007-12-01   819546
2008-01-01   819888
2008-02-01   820671
2008-03-01   822648
2008-04-01   825554
2008-05-01   828218
2008-06-01   830353
2008-07-01   831904
2008-08-01   831816
2008-09-01   830736
2008-10-01   829581
2008-11-01   827078
2008-12-01   823997
2009-01-01   821639
2009-02-01   819378
2009-03-01   818505
2009-04-01   819817
2009-05-01   820566
2009-06-01   819535
2009-07-01   817806
2009-08-01   816172
2009-09-01   814844
2009-10-01   813648
2009-11-01   814211
2009-12-01   818567
2010-01-01   823924
2010-02-01   826807
2010-03-01   830279
2010-04-01   834753
2010-05-01   835136
2010-06-01   833253
2010-07-01   834725
2010-08-01   838027
2010-09-01   838258
2010-10-01   836380
2010-11-01   836289
2010-12-01   836274
2011-01-01   834465
2011-02-01   833683
2011-03-01   835044
2011-04-01   836600
2011-05-01   837487
2011-06-01   838010
2011-07-01   839890
2011-08-01   843738
2011-09-01   845709
2011-10-01   844625
2011-11-01   843926
2011-12-01   843027
2012-01-01   841187
2012-02-01   840211
2012-03-01   838478
2012-04-01   836551
2012-05-01   836644
2012-06-01   837073
2012-07-01   836226
2012-08-01   835784
2012-09-01   838379
2012-10-01   841126
2012-11-01   841560
2012-12-01   842320
2013-01-01   842608
2013-02-01   841047
2013-03-01   839679
2013-04-01   840061
2013-05-01   842241
2013-06-01   844441
2013-07-01   845241
2013-08-01   845009
2013-09-01   843686
2013-10-01   842710
2013-11-01   843353
2013-12-01   844830
2014-01-01   846584
2014-02-01   847517
2014-03-01   846845
2014-04-01   845755
2014-05-01   846045
2014-06-01   846624
2014-07-01   845860
2014-08-01   843703
2014-09-01   842012
2014-10-01   842079
2014-11-01   841560
2014-12-01   840861
2015-01-01   840595
2015-02-01   838921
2015-03-01   837108
2015-04-01   837152
2015-05-01   837436
2015-06-01   835636
2015-07-01   832974
2015-08-01   830100
2015-09-01   828303
2015-10-01   829505
2015-11-01   831297
2015-12-01   831921
2016-01-01   832263
2016-02-01   833772
2016-03-01   835357
2016-04-01   834669
2016-05-01   833985
2016-06-01   835613
2016-07-01   836861
2016-08-01   836567
2016-09-01   837509
2016-10-01   839791
2016-11-01   840779
2016-12-01   840960
2017-01-01   843242
2017-02-01   847268
2017-03-01   850194
2017-04-01   850589
2017-05-01   849879
2017-06-01   850516
2017-07-01   851084
2017-08-01   851036
2017-09-01   850818
2017-10-01   848761
2017-11-01   846022
2017-12-01   843994
2018-01-01   842566
2018-02-01   848620
2018-03-01   851487
2018-04-01   850680
2018-05-01   852083
2018-06-01   855963
2018-07-01   857730
2018-08-01   852330
2018-09-01   849994
2018-10-01   854597
2018-11-01   855401
