Title:               All Employees: Total Nonfarm in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           VIRG251NAN
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:31 PM CST
Notes:               

DATE        VALUE
1990-01-01  591.8
1990-02-01  593.4
1990-03-01  599.7
1990-04-01  601.3
1990-05-01  610.1
1990-06-01  619.2
1990-07-01  611.1
1990-08-01  612.0
1990-09-01  611.3
1990-10-01  609.9
1990-11-01  610.3
1990-12-01  610.4
1991-01-01  587.8
1991-02-01  584.4
1991-03-01  590.3
1991-04-01  594.2
1991-05-01  602.2
1991-06-01  611.9
1991-07-01  606.0
1991-08-01  607.6
1991-09-01  609.5
1991-10-01  606.9
1991-11-01  605.7
1991-12-01  608.6
1992-01-01  588.9
1992-02-01  591.6
1992-03-01  596.3
1992-04-01  601.7
1992-05-01  609.6
1992-06-01  615.4
1992-07-01  611.1
1992-08-01  612.7
1992-09-01  615.7
1992-10-01  613.7
1992-11-01  616.4
1992-12-01  616.0
1993-01-01  599.8
1993-02-01  603.3
1993-03-01  607.0
1993-04-01  612.8
1993-05-01  618.8
1993-06-01  626.1
1993-07-01  619.4
1993-08-01  619.8
1993-09-01  621.6
1993-10-01  621.6
1993-11-01  622.8
1993-12-01  624.9
1994-01-01  607.4
1994-02-01  609.2
1994-03-01  617.8
1994-04-01  623.4
1994-05-01  630.5
1994-06-01  638.2
1994-07-01  637.8
1994-08-01  641.3
1994-09-01  644.5
1994-10-01  636.5
1994-11-01  638.1
1994-12-01  640.2
1995-01-01  624.7
1995-02-01  627.5
1995-03-01  633.7
1995-04-01  638.4
1995-05-01  648.4
1995-06-01  656.6
1995-07-01  648.3
1995-08-01  649.8
1995-09-01  652.7
1995-10-01  653.5
1995-11-01  655.7
1995-12-01  656.1
1996-01-01  637.5
1996-02-01  639.4
1996-03-01  647.7
1996-04-01  651.1
1996-05-01  658.2
1996-06-01  666.8
1996-07-01  663.7
1996-08-01  667.5
1996-09-01  671.4
1996-10-01  670.1
1996-11-01  673.7
1996-12-01  674.0
1997-01-01  657.3
1997-02-01  659.2
1997-03-01  666.8
1997-04-01  670.4
1997-05-01  678.5
1997-06-01  687.1
1997-07-01  678.3
1997-08-01  680.3
1997-09-01  684.6
1997-10-01  687.0
1997-11-01  690.8
1997-12-01  692.8
1998-01-01  669.9
1998-02-01  671.9
1998-03-01  678.7
1998-04-01  683.4
1998-05-01  694.5
1998-06-01  701.3
1998-07-01  703.1
1998-08-01  705.6
1998-09-01  705.8
1998-10-01  701.0
1998-11-01  705.2
1998-12-01  707.5
1999-01-01  683.3
1999-02-01  689.0
