Title:               New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Wilmington, NC (MSA)
Series ID:           WILM937BP1FH
Source:              U.S. Bureau of the Census
Release:             Housing Units Authorized By Building Permits (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Units
Date Range:          1988-01-01 to 2018-10-01
Last Updated:        2018-11-28 8:01 AM CST
Notes:               The Saint Louis Federal Reserve Bank uses the most recent Metropolitan
                     Statistical Area definitions released by the Office of Management and
                     Budget. For more information on specific definitions visit
                     https://census.gov/programs-surveys/metro-micro.html.

DATE       VALUE
1988-01-01    56
1988-02-01    81
1988-03-01   164
1988-04-01   126
1988-05-01    98
1988-06-01    93
1988-07-01    89
1988-08-01    91
1988-09-01    76
1988-10-01    78
1988-11-01    80
1988-12-01    67
1989-01-01    97
1989-02-01    84
1989-03-01   108
1989-04-01    82
1989-05-01   109
1989-06-01    90
1989-07-01   101
1989-08-01    98
1989-09-01    79
1989-10-01    98
1989-11-01    92
1989-12-01    66
1990-01-01    86
1990-02-01    99
1990-03-01   125
1990-04-01    80
1990-05-01   130
1990-06-01   104
1990-07-01   104
1990-08-01   107
1990-09-01   104
1990-10-01    94
1990-11-01    63
1990-12-01    58
1991-01-01    68
1991-02-01    91
1991-03-01    87
1991-04-01   114
1991-05-01   138
1991-06-01   108
1991-07-01    95
1991-08-01    63
1991-09-01   112
1991-10-01    96
1991-11-01    82
1991-12-01    80
1992-01-01   101
1992-02-01   137
1992-03-01   111
1992-04-01   143
1992-05-01    81
1992-06-01   110
1992-07-01   117
1992-08-01    88
1992-09-01   126
1992-10-01    96
1992-11-01    99
1992-12-01    86
1993-01-01   103
1993-02-01   107
1993-03-01   130
1993-04-01   122
1993-05-01   142
1993-06-01   152
1993-07-01   132
1993-08-01   194
1993-09-01   199
1993-10-01   171
1993-11-01   158
1993-12-01   160
1994-01-01   172
1994-02-01   194
1994-03-01   280
1994-04-01   251
1994-05-01   260
1994-06-01   268
1994-07-01   247
1994-08-01   250
1994-09-01   222
1994-10-01   258
1994-11-01   204
1994-12-01   234
1995-01-01   204
1995-02-01   201
1995-03-01   355
1995-04-01   198
1995-05-01   250
1995-06-01   196
1995-07-01   226
1995-08-01   215
1995-09-01   185
1995-10-01   234
1995-11-01   376
