Title:               New Private Housing Units Authorized by Building Permits for Wilmington, NC (MSA)
Series ID:           WILM937BPPRIV
Source:              U.S. Bureau of the Census
Release:             Housing Units Authorized By Building Permits (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Units
Date Range:          1988-01-01 to 2018-10-01
Last Updated:        2018-11-28 8:01 AM CST
Notes:               The Saint Louis Federal Reserve Bank uses the most recent Metropolitan
                     Statistical Area definitions released by the Office of Management and
                     Budget. For more information on specific definitions visit
                     https://census.gov/programs-surveys/metro-micro.html.

DATE       VALUE
1988-01-01    69
1988-02-01   105
1988-03-01   206
1988-04-01   170
1988-05-01   164
1988-06-01   144
1988-07-01    89
1988-08-01   126
1988-09-01   117
1988-10-01    80
1988-11-01    88
1988-12-01   101
1989-01-01   107
1989-02-01    86
1989-03-01   108
1989-04-01   205
1989-05-01   109
1989-06-01    90
1989-07-01   103
1989-08-01   122
1989-09-01   186
1989-10-01   404
1989-11-01   170
1989-12-01   320
1990-01-01   135
1990-02-01   111
1990-03-01   139
1990-04-01    94
1990-05-01   173
1990-06-01   123
1990-07-01   104
1990-08-01   123
1990-09-01   108
1990-10-01    98
1990-11-01    65
1990-12-01    68
1991-01-01    68
1991-02-01    91
1991-03-01    87
1991-04-01   114
1991-05-01   138
1991-06-01   148
1991-07-01    95
1991-08-01   122
1991-09-01   112
1991-10-01    96
1991-11-01    86
1991-12-01    80
1992-01-01   109
1992-02-01   137
1992-03-01   111
1992-04-01   153
1992-05-01    92
1992-06-01   119
1992-07-01   213
1992-08-01   136
1992-09-01   144
1992-10-01   180
1992-11-01   145
1992-12-01   244
1993-01-01   140
1993-02-01   127
1993-03-01   138
1993-04-01   130
1993-05-01   142
1993-06-01   152
1993-07-01   172
1993-08-01   194
1993-09-01   199
1993-10-01   173
1993-11-01   212
1993-12-01   160
1994-01-01   211
1994-02-01   202
1994-03-01   297
1994-04-01   263
1994-05-01   330
1994-06-01   332
1994-07-01   253
1994-08-01   250
1994-09-01   276
1994-10-01   536
1994-11-01   230
1994-12-01   266
1995-01-01   223
1995-02-01   225
1995-03-01   415
1995-04-01   217
1995-05-01   254
1995-06-01   305
1995-07-01   265
1995-08-01   352
1995-09-01   217
1995-10-01   355
1995-11-01   402
1995-12-01   308
1996-01-01   243
1996-02-01   257
1996-03-01   316
1996-04-01   370
1996-05-01   309
1996-06-01   283
1996-07-01   293
1996-08-01   232
1996-09-01   177
1996-10-01   272
1996-11-01   288
1996-12-01   288
1997-01-01   295
1997-02-01   340
1997-03-01   425
1997-04-01   420
1997-05-01   314
1997-06-01   282
1997-07-01   280
1997-08-01   526
1997-09-01   263
1997-10-01   656
1997-11-01   687
1997-12-01   381
1998-01-01   199
1998-02-01   415
1998-03-01   357
1998-04-01   382
1998-05-01   267
1998-06-01   315
1998-07-01   277
1998-08-01   227
1998-09-01   315
1998-10-01   246
1998-11-01   242
1998-12-01   508
1999-01-01   224
1999-02-01   400
1999-03-01   359
1999-04-01   262
1999-05-01   263
1999-06-01   605
1999-07-01   333
1999-08-01   349
1999-09-01   261
1999-10-01   303
1999-11-01   186
1999-12-01   215
2000-01-01   392
2000-02-01   206
2000-03-01   330
2000-04-01   225
2000-05-01   239
2000-06-01   210
2000-07-01   170
2000-08-01   195
2000-09-01   177
2000-10-01   198
2000-11-01   290
2000-12-01   142
2001-01-01   411
2001-02-01   206
2001-03-01   251
2001-04-01   437
2001-05-01   376
2001-06-01   255
2001-07-01   250
2001-08-01   235
2001-09-01   160
2001-10-01   217
2001-11-01   404
2001-12-01   329
2002-01-01   265
2002-02-01   283
2002-03-01   260
2002-04-01   364
2002-05-01   413
2002-06-01   493
2002-07-01   331
2002-08-01   310
2002-09-01   330
2002-10-01   325
2002-11-01   288
2002-12-01   627
2003-01-01   434
2003-02-01   371
2003-03-01   379
2003-04-01   408
2003-05-01   429
2003-06-01   435
2003-07-01   396
2003-08-01   483
2003-09-01   695
2003-10-01   400
2003-11-01   260
2003-12-01   379
2004-01-01   508
2004-02-01   514
2004-03-01   665
2004-04-01   656
2004-05-01   679
2004-06-01   665
2004-07-01   543
2004-08-01   656
2004-09-01   520
2004-10-01   586
2004-11-01   751
2004-12-01   644
2005-01-01   565
2005-02-01   686
2005-03-01   817
2005-04-01   837
2005-05-01   663
2005-06-01   807
2005-07-01   716
2005-08-01  1039
2005-09-01   636
2005-10-01   618
2005-11-01   567
2005-12-01   682
2006-01-01   587
2006-02-01   566
2006-03-01  1034
2006-04-01   530
2006-05-01   583
2006-06-01   615
2006-07-01   488
2006-08-01   646
2006-09-01   367
2006-10-01   504
2006-11-01   446
2006-12-01   347
2007-01-01   443
2007-02-01   741
2007-03-01   547
2007-04-01   580
2007-05-01   625
2007-06-01   538
2007-07-01   503
2007-08-01   404
2007-09-01   381
2007-10-01   350
2007-11-01   329
2007-12-01   229
2008-01-01   313
2008-02-01   458
2008-03-01   503
2008-04-01   387
2008-05-01   408
2008-06-01   314
2008-07-01   306
2008-08-01   364
2008-09-01   297
2008-10-01   232
2008-11-01   195
2008-12-01    78
2009-01-01   201
2009-02-01   141
2009-03-01   113
2009-04-01   342
2009-05-01   251
2009-06-01   191
2009-07-01   175
2009-08-01   254
2009-09-01   155
2009-10-01    97
2009-11-01   159
2009-12-01   146
2010-01-01   200
2010-02-01   206
2010-03-01   214
2010-04-01   152
2010-05-01   141
2010-06-01   294
2010-07-01   153
2010-08-01   128
2010-09-01   126
2010-10-01   111
2010-11-01    95
2010-12-01   155
2011-01-01   114
2011-02-01   123
2011-03-01   152
2011-04-01   148
2011-05-01   147
2011-06-01   157
2011-07-01   139
2011-08-01   231
2011-09-01   145
2011-10-01   140
2011-11-01   128
2011-12-01   148
2012-01-01   412
2012-02-01   145
2012-03-01   194
2012-04-01   173
2012-05-01   291
2012-06-01   207
2012-07-01   459
2012-08-01   188
2012-09-01   192
2012-10-01   220
2012-11-01   224
2012-12-01   230
2013-01-01   211
2013-02-01   227
2013-03-01   255
2013-04-01   309
2013-05-01   330
2013-06-01   283
2013-07-01   299
2013-08-01   300
2013-09-01   319
2013-10-01   351
2013-11-01   253
2013-12-01   424
2014-01-01   229
2014-02-01   189
2014-03-01   156
2014-04-01   220
2014-05-01   219
2014-06-01   190
2014-07-01   209
2014-08-01   223
2014-09-01   208
2014-10-01   244
2014-11-01   159
2014-12-01   218
2015-01-01   139
2015-02-01   107
2015-03-01   142
2015-04-01    59
2015-05-01    90
2015-06-01   175
2015-07-01   160
2015-08-01   150
2015-09-01   143
2015-10-01   158
2015-11-01    87
2015-12-01    76
2016-01-01   127
2016-02-01   118
2016-03-01   151
2016-04-01   243
2016-05-01   153
2016-06-01   113
2016-07-01    78
2016-08-01   157
2016-09-01    85
2016-10-01   137
2016-11-01   320
2016-12-01   129
2017-01-01   143
2017-02-01   104
2017-03-01   185
2017-04-01   145
2017-05-01   191
2017-06-01   176
2017-07-01   118
2017-08-01   216
2017-09-01   143
2017-10-01   449
2017-11-01   122
2017-12-01   120
