Title:               Civilian Labor Force in Winston-Salem, NC (MSA)
Series ID:           WINS137LF
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Smoothed Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 1:41 PM CST
Notes:               

DATE          VALUE
1990-01-01   270220
1990-02-01   270694
1990-03-01   270936
1990-04-01   271161
1990-05-01   271571
1990-06-01   271896
1990-07-01   272192
1990-08-01   271994
1990-09-01   271380
1990-10-01   271168
1990-11-01   271297
1990-12-01   271405
1991-01-01   271311
1991-02-01   271015
1991-03-01   270744
1991-04-01   270321
1991-05-01   269834
1991-06-01   269961
1991-07-01   270335
1991-08-01   270791
1991-09-01   271475
1991-10-01   271912
1991-11-01   272013
1991-12-01   272049
1992-01-01   272037
1992-02-01   272134
1992-03-01   272811
1992-04-01   273728
1992-05-01   274612
1992-06-01   275468
1992-07-01   276075
1992-08-01   276241
1992-09-01   275780
1992-10-01   275274
1992-11-01   275314
1992-12-01   275347
1993-01-01   275193
1993-02-01   275399
1993-03-01   275705
1993-04-01   275891
1993-05-01   276140
1993-06-01   276351
1993-07-01   276442
1993-08-01   276065
1993-09-01   275707
1993-10-01   276160
1993-11-01   276765
1993-12-01   277184
1994-01-01   277383
1994-02-01   277004
1994-03-01   276958
1994-04-01   278387
1994-05-01   280023
1994-06-01   280351
1994-07-01   280327
1994-08-01   281087
1994-09-01   282217
1994-10-01   283278
1994-11-01   284014
1994-12-01   284052
1995-01-01   283874
1995-02-01   283883
1995-03-01   283854
1995-04-01   283640
1995-05-01   283277
1995-06-01   283152
1995-07-01   283360
1995-08-01   283927
1995-09-01   284968
1995-10-01   285862
1995-11-01   286289
1995-12-01   286759
1996-01-01   287825
1996-02-01   289495
1996-03-01   291064
1996-04-01   292224
1996-05-01   293352
1996-06-01   294332
1996-07-01   294777
1996-08-01   295286
1996-09-01   296164
1996-10-01   296596
1996-11-01   296586
1996-12-01   297360
1997-01-01   298527
1997-02-01   299139
1997-03-01   299692
1997-04-01   299938
1997-05-01   299657
1997-06-01   299219
1997-07-01   298740
1997-08-01   298359
1997-09-01   297650
1997-10-01   296759
1997-11-01   296970
1997-12-01   297387
1998-01-01   297040
1998-02-01   296884
1998-03-01   296900
1998-04-01   296758
1998-05-01   296460
1998-06-01   296583
1998-07-01   297409
1998-08-01   298111
1998-09-01   298356
1998-10-01   298418
1998-11-01   298438
1998-12-01   298576
1999-01-01   298995
1999-02-01   299402
1999-03-01   299247
1999-04-01   298778
1999-05-01   298757
1999-06-01   298815
1999-07-01   298691
1999-08-01   298925
1999-09-01   299741
1999-10-01   300962
1999-11-01   301955
1999-12-01   302582
2000-01-01   301550
2000-02-01   302020
2000-03-01   302237
2000-04-01   302282
2000-05-01   302645
2000-06-01   303345
2000-07-01   304276
2000-08-01   304881
2000-09-01   304637
2000-10-01   304702
2000-11-01   305674
2000-12-01   306817
2001-01-01   307288
2001-02-01   306990
2001-03-01   306681
2001-04-01   306363
2001-05-01   306010
2001-06-01   306783
2001-07-01   307947
2001-08-01   308055
2001-09-01   308040
2001-10-01   307811
2001-11-01   307305
2001-12-01   306946
2002-01-01   306621
2002-02-01   306837
2002-03-01   307102
2002-04-01   306889
2002-05-01   306307
2002-06-01   306181
2002-07-01   306959
2002-08-01   307379
2002-09-01   307139
2002-10-01   306509
2002-11-01   305976
2002-12-01   306461
2003-01-01   307763
2003-02-01   309061
2003-03-01   310174
2003-04-01   310940
2003-05-01   310926
2003-06-01   309688
2003-07-01   307855
2003-08-01   307129
2003-09-01   307036
2003-10-01   307033
2003-11-01   307253
2003-12-01   307284
2004-01-01   307179
2004-02-01   306872
2004-03-01   306603
2004-04-01   306354
2004-05-01   306142
2004-06-01   305917
2004-07-01   305516
2004-08-01   305176
2004-09-01   305084
2004-10-01   305801
2004-11-01   306819
2004-12-01   307181
2005-01-01   307266
2005-02-01   307449
2005-03-01   307837
2005-04-01   308759
2005-05-01   309257
2005-06-01   308800
2005-07-01   308571
2005-08-01   308852
2005-09-01   309896
2005-10-01   311444
2005-11-01   311908
2005-12-01   311606
2006-01-01   311862
2006-02-01   312711
2006-03-01   313736
2006-04-01   315046
2006-05-01   316564
2006-06-01   317470
2006-07-01   318004
2006-08-01   318824
2006-09-01   319428
2006-10-01   319762
2006-11-01   320114
2006-12-01   319661
2007-01-01   318441
2007-02-01   317810
2007-03-01   317445
2007-04-01   316670
2007-05-01   316389
2007-06-01   316481
2007-07-01   315793
2007-08-01   315236
2007-09-01   315361
2007-10-01   315214
2007-11-01   315325
2007-12-01   316200
2008-01-01   317117
2008-02-01   317423
2008-03-01   317744
2008-04-01   318404
2008-05-01   318795
2008-06-01   318986
2008-07-01   318997
2008-08-01   318787
2008-09-01   318717
2008-10-01   318114
2008-11-01   321382
2008-12-01   322377
2009-01-01   322973
2009-02-01   323202
2009-03-01   322727
2009-04-01   321749
2009-05-01   320774
2009-06-01   319994
2009-07-01   319524
2009-08-01   319105
2009-09-01   318238
2009-10-01   317186
2009-11-01   316495
2009-12-01   316182
2010-01-01   317400
2010-02-01   317546
2010-03-01   317401
2010-04-01   317060
2010-05-01   316073
2010-06-01   314777
2010-07-01   313810
2010-08-01   313198
2010-09-01   312754
2010-10-01   312785
2010-11-01   313270
2010-12-01   313420
2011-01-01   313132
2011-02-01   312782
2011-03-01   312691
2011-04-01   312821
2011-05-01   313157
2011-06-01   313669
2011-07-01   314023
2011-08-01   314493
2011-09-01   314921
2011-10-01   314714
2011-11-01   314391
2011-12-01   314479
2012-01-01   314684
2012-02-01   314881
2012-03-01   314877
2012-04-01   314947
2012-05-01   315596
2012-06-01   316392
2012-07-01   316904
2012-08-01   317055
2012-09-01   317277
2012-10-01   317653
2012-11-01   317953
2012-12-01   318530
2013-01-01   318739
2013-02-01   318045
2013-03-01   317359
2013-04-01   317183
2013-05-01   317349
2013-06-01   317457
2013-07-01   317035
2013-08-01   316440
2013-09-01   316068
2013-10-01   315633
2013-11-01   314931
2013-12-01   314085
2014-01-01   313680
2014-02-01   314155
2014-03-01   314532
2014-04-01   314358
2014-05-01   314448
2014-06-01   314826
2014-07-01   315300
2014-08-01   315528
2014-09-01   315412
2014-10-01   315354
2014-11-01   315240
2014-12-01   315218
2015-01-01   315495
2015-02-01   315747
2015-03-01   316217
2015-04-01   317342
2015-05-01   318275
2015-06-01   318419
2015-07-01   318351
2015-08-01   318270
2015-09-01   318315
2015-10-01   318582
2015-11-01   318882
2015-12-01   319063
2016-01-01   319153
2016-02-01   319620
2016-03-01   320312
2016-04-01   320448
2016-05-01   320355
2016-06-01   320647
2016-07-01   321073
2016-08-01   321719
2016-09-01   322537
2016-10-01   323037
2016-11-01   323278
2016-12-01   323403
2017-01-01   323437
2017-02-01   323560
2017-03-01   323782
2017-04-01   323913
2017-05-01   323870
2017-06-01   323943
2017-07-01   324309
2017-08-01   324784
2017-09-01   325097
2017-10-01   325239
2017-11-01   325423
2017-12-01   325513
2018-01-01   325937
2018-02-01   326692
2018-03-01   327092
2018-04-01   327702
2018-05-01   328072
2018-06-01   328599
2018-07-01   327711
2018-08-01   325327
2018-09-01   325185
2018-10-01   328184
2018-11-01   328871
